caller	caller_module	callee	callee_module	cross_module
EthStatusCheckCb	other	EthStatusCheckCb	other	0
WaitValidNetState	other	WaitValidNetState	other	0
analog_speed_curve_q12	other	analog_speed_curve_q12	other	0
calculate_presented_desktop_geometry	display_backend	calculate_presented_desktop_geometry	display_backend	0
calculate_presented_desktop_geometry	display_backend	calculate_safe_desktop_geometry	other	1
calculate_presented_desktop_geometry	display_backend	region_fits_u32	other	1
calculate_safe_desktop_geometry	other	calculate_safe_desktop_geometry	other	0
calculate_safe_desktop_geometry	other	region_fits_u32	other	0
calculate_safe_desktop_geometry	other	screen_fit_geometry_valid	display_calibration	1
controller_thread	orchestration	controller_thread	orchestration	0
controller_thread	orchestration	display_confirm_remaining_seconds	display_control	1
controller_thread	orchestration	display_menu_mode_at_selection	ui	1
controller_thread	orchestration	display_menu_move_horizontal_selection	ui	1
controller_thread	orchestration	display_menu_move_vertical_selection	ui	1
controller_thread	orchestration	display_menu_open_for_active	ui	1
controller_thread	orchestration	display_mode_request_for_selection	other	1
controller_thread	orchestration	dpad_hold_velocity_q8	input	1
controller_thread	orchestration	osk_activate_selected	ui	1
controller_thread	orchestration	osk_move_horizontal	ui	1
controller_thread	orchestration	osk_move_vertical	ui	1
controller_thread	orchestration	osk_send_key_with_modifiers	ui	1
controller_thread	orchestration	ps2vnc_system_exit_accept_request	other	1
controller_thread	orchestration	ps2vnc_system_overlay_allowed	other	1
controller_thread	orchestration	ps2vnc_system_refresh_accept_request	other	1
controller_thread	orchestration	ps2vnc_system_refresh_update_state	other	1
controller_thread	orchestration	runtime_hotkey_has_hold_extension	input	1
controller_thread	orchestration	scroll_button_for_stick	other	1
controller_thread	orchestration	scroll_repeat_delay	other	1
controller_thread	orchestration	send_key_tap	input	1
controller_thread	orchestration	send_pointer_event	input	1
controller_thread	orchestration	send_scroll_pulse	other	1
controller_thread	orchestration	stick_velocity_q8	other	1
controller_thread	orchestration	wake_renderer_with_pointer_jiggle	other	1
debug_emit_geometry_snapshot	diag	debug_emit_geometry_snapshot	diag	0
debug_emit_idle_poll	diag	debug_emit_idle_poll	diag	0
debug_emit_idle_poll	diag	debug_emit_now	diag	0
debug_emit_now	diag	debug_emit_now	diag	0
debug_emit_now	diag	debug_stage_name	diag	0
debug_stage_name	diag	debug_stage_name	diag	0
debug_udp_init	diag	debug_udp_init	diag	0
discard_exact	other	discard_exact	other	0
discard_exact	other	recv_exact	rfb_transport	1
display_confirm_arm_transaction	display_control	display_confirm_arm_transaction	display_control	0
display_confirm_disarm_transaction	display_control	display_confirm_disarm_transaction	display_control	0
display_confirm_remaining_seconds	display_control	display_confirm_remaining_seconds	display_control	0
display_confirm_remaining_seconds	display_control	profile_ticks_us	diag	1
display_confirm_render_bitmap	ui	display_confirm_render_bitmap	ui	0
display_confirm_render_bitmap	ui	osk_color	ui	0
display_confirm_render_bitmap	ui	osk_draw_text_centered	ui	0
display_confirm_render_bitmap	ui	osk_fill_rect	ui	0
display_confirm_return_to_active_menu	display_control	display_confirm_return_to_active_menu	display_control	0
display_confirm_return_to_active_menu	display_control	display_menu_open_for_active	ui	1
display_live_desktop	orchestration	calculate_presented_desktop_geometry	display_backend	1
display_live_desktop	orchestration	debug_emit_geometry_snapshot	diag	1
display_live_desktop	orchestration	debug_emit_now	diag	1
display_live_desktop	orchestration	display_confirm_arm_transaction	display_control	1
display_live_desktop	orchestration	display_confirm_disarm_transaction	display_control	1
display_live_desktop	orchestration	display_confirm_remaining_seconds	display_control	1
display_live_desktop	orchestration	display_confirm_render_bitmap	ui	1
display_live_desktop	orchestration	display_confirm_return_to_active_menu	display_control	1
display_live_desktop	orchestration	display_live_desktop	orchestration	0
display_live_desktop	orchestration	display_menu_normalize_selection	ui	1
display_live_desktop	orchestration	display_menu_render_bitmap	ui	1
display_live_desktop	orchestration	display_menu_selection_for_mode	ui	1
display_live_desktop	orchestration	display_menu_tab_for_mode	ui	1
display_live_desktop	orchestration	display_mode_request_target	other	1
display_live_desktop	orchestration	display_restore_ack_render_bitmap	ui	1
display_live_desktop	orchestration	osk_render_bitmap	ui	1
display_live_desktop	orchestration	perform_manual_rfb_recovery	other	1
display_live_desktop	orchestration	profile_emit_now	diag	1
display_live_desktop	orchestration	ps2vnc_config_apply_display	config	1
display_live_desktop	orchestration	ps2vnc_config_get_display_for_mode	config	1
display_live_desktop	orchestration	ps2vnc_config_presented_geometry_for_mode	config	1
display_live_desktop	orchestration	ps2vnc_display_begin_update	other	1
display_live_desktop	orchestration	ps2vnc_display_commit_update	display_backend	1
display_live_desktop	orchestration	ps2vnc_display_create	other	1
display_live_desktop	orchestration	ps2vnc_display_direct_write_cancel	display_backend	1
display_live_desktop	orchestration	ps2vnc_display_draw_desktop	display_backend	1
display_live_desktop	orchestration	ps2vnc_display_finish_draw	display_backend	1
display_live_desktop	orchestration	ps2vnc_display_finish_update_decode	other	1
display_live_desktop	orchestration	ps2vnc_display_flip	other	1
display_live_desktop	orchestration	ps2vnc_display_logical_desktop_size	display_geometry	1
display_live_desktop	orchestration	ps2vnc_display_output_x	other	1
display_live_desktop	orchestration	ps2vnc_display_output_y	other	1
display_live_desktop	orchestration	ps2vnc_display_policy_hide_to_pi	other	1
display_live_desktop	orchestration	ps2vnc_display_policy_lock_to_pi	other	1
display_live_desktop	orchestration	ps2vnc_display_policy_refresh_from_pi	other	1
display_live_desktop	orchestration	ps2vnc_display_prepare_desktop	other	1
display_live_desktop	orchestration	ps2vnc_display_prepare_osk	other	1
display_live_desktop	orchestration	ps2vnc_display_profile_capture_active	other	1
display_live_desktop	orchestration	ps2vnc_display_profile_resolve_candidate	other	1
display_live_desktop	orchestration	ps2vnc_display_transaction_ack_to_pi	management	1
display_live_desktop	orchestration	ps2vnc_display_transaction_begin_to_pi	management	1
display_live_desktop	orchestration	ps2vnc_display_transaction_commit_to_pi	management	1
display_live_desktop	orchestration	ps2vnc_display_wait_presentation_memory_idle	display_backend	1
display_live_desktop	orchestration	ps2vnc_display_wait_texture_idle	other	1
display_live_desktop	orchestration	ps2vnc_global_rollback_display_transaction	display_control	1
display_live_desktop	orchestration	ps2vnc_remote_control_poll_idle	display_control	1
display_live_desktop	orchestration	ps2vnc_remote_display_fail	other	1
display_live_desktop	orchestration	ps2vnc_remote_display_lease_expired	other	1
display_live_desktop	orchestration	ps2vnc_remote_result_post	other	1
display_live_desktop	orchestration	ps2vnc_run_runtime_calibration	display_calibration	1
display_live_desktop	orchestration	ps2vnc_startup_finalize_display_transaction	other	1
display_live_desktop	orchestration	ps2vnc_switch_display_mode	display_control	1
display_live_desktop	orchestration	receive_framebuffer_update	rfb_decode	1
display_live_desktop	orchestration	recover_rfb_connection	rfb_transport	1
display_live_desktop	orchestration	region_fits_u32	other	1
display_live_desktop	orchestration	request_and_confirm_desktop_size	other	1
display_live_desktop	orchestration	request_framebuffer	rfb_transport	1
display_live_desktop	orchestration	run_screen_fit_calibration	display_calibration	1
display_live_desktop	orchestration	screenf	other	1
display_live_desktop	orchestration	set_live_encoding	rfb_decode	1
display_live_desktop	orchestration	set_raw_encoding	rfb_decode	1
display_live_desktop	orchestration	start_controller_thread	other	1
display_live_desktop	orchestration	system_menu_render_bitmap	ui	1
display_menu_first_visible_selection	ui	display_menu_first_visible_selection	ui	0
display_menu_first_visible_selection	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_first_visible_selection	ui	display_menu_mode_visible	ui	0
display_menu_mode_at_selection	ui	display_menu_mode_at_selection	ui	0
display_menu_mode_belongs_to_tab	ui	display_menu_mode_at_selection	ui	0
display_menu_mode_belongs_to_tab	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_mode_belongs_to_tab	ui	display_menu_tab_for_mode	ui	0
display_menu_mode_visible	ui	display_menu_mode_at_selection	ui	0
display_menu_mode_visible	ui	display_menu_mode_visible	ui	0
display_menu_move_horizontal_selection	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_move_horizontal_selection	ui	display_menu_move_horizontal_selection	ui	0
display_menu_move_horizontal_selection	ui	display_menu_next_visible_tab	ui	0
display_menu_move_horizontal_selection	ui	display_menu_normalize_selection	ui	0
display_menu_move_vertical_selection	ui	display_menu_first_visible_selection	ui	0
display_menu_move_vertical_selection	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_move_vertical_selection	ui	display_menu_mode_visible	ui	0
display_menu_move_vertical_selection	ui	display_menu_move_vertical_selection	ui	0
display_menu_next_visible_tab	ui	display_menu_next_visible_tab	ui	0
display_menu_next_visible_tab	ui	display_menu_tab_visible	ui	0
display_menu_normalize_selection	ui	display_menu_first_visible_selection	ui	0
display_menu_normalize_selection	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_normalize_selection	ui	display_menu_mode_visible	ui	0
display_menu_normalize_selection	ui	display_menu_next_visible_tab	ui	0
display_menu_normalize_selection	ui	display_menu_normalize_selection	ui	0
display_menu_normalize_selection	ui	display_menu_tab_visible	ui	0
display_menu_open_for_active	ui	display_menu_open_for_active	ui	0
display_menu_open_for_active	ui	display_menu_selection_for_mode	ui	0
display_menu_open_for_active	ui	display_menu_tab_for_mode	ui	0
display_menu_render_bitmap	ui	display_menu_mode_at_selection	ui	0
display_menu_render_bitmap	ui	display_menu_mode_belongs_to_tab	ui	0
display_menu_render_bitmap	ui	display_menu_mode_visible	ui	0
display_menu_render_bitmap	ui	display_menu_render_bitmap	ui	0
display_menu_render_bitmap	ui	display_menu_tab_label	ui	0
display_menu_render_bitmap	ui	display_menu_tab_visible	ui	0
display_menu_render_bitmap	ui	osk_color	ui	0
display_menu_render_bitmap	ui	osk_draw_text_centered	ui	0
display_menu_render_bitmap	ui	osk_fill_rect	ui	0
display_menu_selection_for_mode	ui	display_menu_selection_for_mode	ui	0
display_menu_tab_for_mode	ui	display_menu_tab_for_mode	ui	0
display_menu_tab_label	ui	display_menu_tab_label	ui	0
display_menu_tab_visible	ui	display_menu_first_visible_selection	ui	0
display_menu_tab_visible	ui	display_menu_tab_visible	ui	0
display_mode_request_for_selection	other	display_mode_request_for_selection	other	0
display_mode_request_target	other	display_menu_mode_at_selection	ui	1
display_mode_request_target	other	display_mode_request_target	other	0
display_restore_ack_render_bitmap	ui	display_restore_ack_render_bitmap	ui	0
display_restore_ack_render_bitmap	ui	osk_color	ui	0
display_restore_ack_render_bitmap	ui	osk_draw_text_centered	ui	0
display_restore_ack_render_bitmap	ui	osk_fill_rect	ui	0
dpad_hold_velocity_q8	input	analog_speed_curve_q12	other	1
dpad_hold_velocity_q8	input	dpad_hold_velocity_q8	input	0
draw_recovery_status	other	draw_recovery_status	other	0
draw_recovery_status	other	osk_color	ui	1
draw_recovery_status	other	osk_draw_text_centered	ui	1
draw_recovery_status	other	osk_fill_rect	ui	1
draw_recovery_status	other	ps2vnc_display_finish_draw	display_backend	1
