function	module	start_line	end_line	source_lines	compiled_symbol	incoming_calls	outgoing_calls	global_refs	cross_module_in	cross_module_out
ps2vnc_video_mode_default_backend	display_geometry	459	470	12	0	4	1	0	3	0
ps2vnc_video_mode_by_name	display_geometry	472	486	15	1	6	1	1	5	0
ps2vnc_hires_effective_width	display_backend	507	527	21	0	5	1	1	1	0
ps2vnc_hires_full_frame_height	display_backend	530	550	21	0	2	1	1	0	0
ps2vnc_hires_requires_horizontal_mapping	display_backend	553	572	20	0	2	2	1	0	0
ps2vnc_hires_requires_vertical_mapping	display_backend	575	594	20	1	4	2	1	0	0
ps2vnc_hires_requires_raster_mapping	display_backend	597	602	6	1	10	3	0	1	0
ps2vnc_hires_storage_width	display_backend	613	616	4	0	5	2	0	0	0
ps2vnc_hires_storage_height	display_backend	619	628	10	1	5	2	1	0	0
ps2vnc_hires_storage_bytes	display_backend	631	637	7	1	3	3	0	0	0
ps2vnc_display_logical_desktop_size	display_geometry	651	675	25	0	3	1	2	2	0
ps2vnc_display_output_x	other	677	692	16	1	5	2	2	3	1
ps2vnc_display_output_y	other	694	709	16	1	5	1	2	3	0
rfb_dirty_reset	rfb_decode	1034	1042	9	0	2	1	2	0	0
rfb_dirty_mark_rect	rfb_decode	1044	1084	41	0	2	1	8	0	0
display_menu_selection_for_mode	ui	1241	1252	12	0	5	1	1	3	0
display_menu_mode_at_selection	ui	1254	1262	9	0	7	1	1	3	0
display_mode_request_for_selection	other	1264	1271	8	0	3	1	0	2	0
display_mode_request_target	other	1273	1279	7	0	2	2	0	1	1
runtime_hotkey_has_hold_extension	input	1581	1605	25	0	2	1	1	1	0
screenf	other	1638	1651	14	1	21	1	1	11	0
sanitize_text	other	1653	1662	10	0	2	1	0	1	0
read_be16	other	1664	1668	5	0	3	1	0	2	0
read_be32	other	1670	1676	7	0	3	1	0	2	0
region_fits_u32	other	1688	1710	23	0	13	1	0	10	0
send_exact	other	1713	1728	16	0	15	1	0	10	0
send_rfb_message	rfb_transport	1738	1784	47	1	5	2	5	4	1
ps2vnc_discard_controller_rfb_queue	other	1795	1810	16	0	2	1	4	1	0
flush_rfb_outgoing	rfb_transport	1816	1854	39	1	5	2	4	2	1
reset_rfb_transport_state	other	1864	1880	17	1	6	1	8	4	0
recv_exact	rfb_transport	1923	2109	187	1	8	7	18	6	5
debug_stage_name	diag	2112	2138	27	0	2	1	0	0	0
debug_udp_init	diag	2140	2154	15	0	2	1	2	1	0
debug_emit_now	diag	2156	2239	84	1	6	2	40	4	0
profile_ticks_us	diag	2242	2249	8	0	6	1	0	4	0
ps2vnc_system_overlay_allowed	other	2262	2273	12	0	4	1	6	1	0
ps2vnc_system_refresh_update_state	other	2279	2303	25	1	3	2	5	1	1
ps2vnc_system_refresh_accept_request	other	2309	2332	24	0	2	3	6	1	0
ps2vnc_system_exit_accept_request	other	2339	2349	11	1	2	2	2	1	0
display_confirm_arm_transaction	display_control	2352	2392	41	0	2	1	22	1	0
display_confirm_disarm_transaction	display_control	2395	2418	24	1	3	1	18	1	0
display_confirm_return_to_active_menu	display_control	2422	2446	25	1	2	2	2	1	1
display_confirm_remaining_seconds	display_control	2450	2466	17	1	3	2	2	2	1
profile_emit_now	diag	2468	2513	46	1	2	2	16	1	0
debug_emit_idle_poll	diag	2516	2522	7	0	2	2	1	1	0
wait_pad_ready_after_mode_change	other	2530	2546	17	1	2	1	0	1	0
startup_force_calibration_requested	display_calibration	2559	2600	42	0	2	1	0	1	0
EthStatusCheckCb	other	2603	2606	4	1	1	1	0	0	0
WaitValidNetState	other	2608	2624	17	0	2	1	0	0	0
ethGetNetIFLinkStatus	other	2626	2631	6	0	6	1	0	4	0
ethWaitValidNetIFLinkState	other	2633	2636	4	0	2	2	0	1	0
rfb_connect_and_handshake_limited	rfb_transport	2638	2904	267	1	4	7	3	1	5
rfb_connect_and_handshake	rfb_transport	2913	2918	6	0	3	2	0	0	0
set_gs555_pixel_format	other	2921	2934	14	0	5	2	0	3	0
set_raw_encoding	rfb_decode	2978	2987	10	1	8	2	0	7	1
set_live_encoding	rfb_decode	2997	3011	15	0	5	2	0	4	1
set_raw_extended_desktop_encoding	other	3020	3034	15	0	4	2	0	2	0
send_set_desktop_size_and_probe	other	3058	3141	84	0	2	2	2	0	0
request_and_confirm_desktop_size	other	3144	3277	134	1	6	3	10	4	1
send_pointer_event	input	3279	3295	17	1	4	2	0	3	1
send_key_event	input	3309	3326	18	0	2	2	0	1	1
send_key_tap	input	3329	3354	26	1	2	2	0	1	1
send_modified_key_tap	input	3364	3404	41	1	3	2	0	2	1
osk_clear_one_shot_modifiers	ui	3406	3414	9	0	3	1	4	0	0
osk_row_length	ui	3598	3611	14	0	4	1	2	0	0
osk_color	ui	3613	3624	12	0	7	1	0	1	0
osk_fill_rect	ui	3626	3662	37	1	8	1	1	1	0
osk_find_glyph	ui	3664	3674	11	0	3	1	1	1	0
osk_draw_char	ui	3676	3703	28	0	2	3	0	0	0
osk_draw_text_centered	ui	3705	3725	21	1	7	2	0	1	0
osk_display_char	ui	3733	3754	22	0	3	2	2	0	0
osk_render_bitmap	ui	3756	3872	117	0	2	6	8	1	0
display_confirm_render_bitmap	ui	3874	3930	57	0	2	4	4	1	0
display_restore_ack_render_bitmap	ui	3933	3970	38	0	2	4	1	1	0
display_menu_tab_for_mode	ui	3974	3993	20	0	4	1	0	1	0
display_menu_tab_label	ui	3996	4014	19	0	2	1	0	0	0
display_menu_mode_belongs_to_tab	ui	4017	4030	14	0	6	3	0	0	0
display_menu_mode_visible	ui	4033	4052	20	0	5	2	3	0	0
display_menu_first_visible_selection	ui	4055	4070	16	1	4	3	0	0	0
display_menu_tab_visible	ui	4073	4083	11	0	4	2	0	0	0
display_menu_next_visible_tab	ui	4086	4112	27	0	3	2	0	0	0
display_menu_normalize_selection	ui	4115	4159	45	1	3	6	3	1	0
display_menu_open_for_active	ui	4162	4198	37	1	3	3	11	2	0
display_menu_move_vertical_selection	ui	4201	4243	43	1	2	4	2	1	0
display_menu_move_horizontal_selection	ui	4246	4275	30	0	2	4	3	1	0
display_menu_render_bitmap	ui	4278	4674	397	1	2	9	9	1	0
system_menu_render_bitmap	ui	4678	4784	107	0	2	4	4	1	0
osk_move_horizontal	ui	4787	4799	13	1	2	2	3	1	0
osk_move_vertical	ui	4801	4827	27	1	2	2	3	1	0
osk_shifted_ascii	ui	4829	4861	33	1	2	1	0	0	0
osk_send_key_with_modifiers	ui	4863	4880	18	1	3	3	2	1	1
osk_send_extended_key_with_modifiers	ui	4882	4921	40	1	2	4	3	0	2
osk_activate_selected	ui	4924	5037	114	0	2	4	8	1	0
wake_renderer_with_pointer_jiggle	other	5046	5069	24	1	2	2	1	1	1
analog_speed_curve_q12	other	5092	5170	79	0	4	1	0	1	0
stick_velocity_q8	other	5179	5216	38	1	2	2	0	1	0
scroll_button_for_stick	other	5239	5273	35	0	2	1	0	1	0
scroll_repeat_delay	other	5281	5323	43	0	2	2	0	1	0
send_scroll_pulse	other	5326	5352	27	0	2	2	0	1	1
dpad_hold_velocity_q8	input	5377	5420	44	0	2	2	0	1	1
controller_thread	orchestration	5423	6968	1546	1	1	24	53	0	23
start_controller_thread	other	6970	7009	40	0	2	1	8	1	0
request_framebuffer	rfb_transport	7011	7036	26	1	9	3	3	5	1
rfb_gs555_to_gs16	rfb_transport	7042	7045	4	0	3	1	0	2	0
hextile_store_pixel	rfb_decode	7047	7065	19	0	3	2	0	0	1
hextile_fill_rect	rfb_decode	7076	7101	26	1	3	3	1	0	1
hextile_recv_pixel	rfb_decode	7104	7112	9	0	3	2	0	0	1
hextile_recv_raw_tile	rfb_decode	7114	7156	43	0	2	5	1	0	3
hextile_recv_subrects	rfb_decode	7159	7202	44	0	2	4	0	0	1
hextile_recv_rect	rfb_decode	7205	7302	98	0	2	6	0	0	1
discard_exact	other	7318	7335	18	0	2	2	0	1	1
receive_framebuffer_update	rfb_decode	7360	7922	563	1	10	13	51	9	9
probe_extended_desktop_size	other	7938	8008	71	1	5	5	14	3	2
hires_bg_is_field_separated	display_backend	8024	8028	5	0	3	1	1	0	0
hires_bg_storage_row	display_backend	8030	8037	8	0	7	2	0	0	0
ps2vnc_hires_mapped_storage_row	display_backend	8049	8056	8	0	3	3	0	0	0
ps2vnc_display_direct_write_active	display_backend	8066	8079	14	0	4	2	3	2	0
ps2vnc_display_direct_write_row	display_backend	8081	8094	14	1	3	3	5	2	0
ps2vnc_display_direct_write_cancel	display_backend	8096	8099	4	0	7	1	1	6	0
ps2vnc_display_begin_update	other	8101	8110	10	0	2	3	2	1	2
ps2vnc_display_finish_update_decode	other	8112	8118	7	0	2	2	1	1	1
sync_copy_hires_region	display_backend	8126	8155	30	0	1	3	4	0	1
sync_copy_hires_dirty_rows	display_backend	8162	8204	43	1	2	2	10	0	0
