function	module	global
calculate_safe_desktop_geometry	other	screen_fit_full_bypass
calculate_safe_desktop_geometry	other	screen_fit_height
calculate_safe_desktop_geometry	other	screen_fit_offset_x
calculate_safe_desktop_geometry	other	screen_fit_offset_y
calculate_safe_desktop_geometry	other	screen_fit_width
controller_thread	orchestration	active_video_mode
controller_thread	orchestration	controller_loop_counter
controller_thread	orchestration	controller_pad_pause_ack
controller_thread	orchestration	controller_pad_pause_requested
controller_thread	orchestration	controller_thread_error
controller_thread	orchestration	debug_hotkey_action
controller_thread	orchestration	debug_hotkey_hold_polls
controller_thread	orchestration	debug_hotkey_latched
controller_thread	orchestration	debug_hotkey_mask
controller_thread	orchestration	debug_hotkey_quarantine
controller_thread	orchestration	debug_hotkey_settle_target
controller_thread	orchestration	debug_hotkey_stable_polls
controller_thread	orchestration	debug_hotkey_trigger
controller_thread	orchestration	desktop_height
controller_thread	orchestration	desktop_width
controller_thread	orchestration	display_calibration_request
controller_thread	orchestration	display_confirm_action
controller_thread	orchestration	display_confirm_pending
controller_thread	orchestration	display_confirm_seconds
controller_thread	orchestration	display_confirm_selection
controller_thread	orchestration	display_confirm_visible
controller_thread	orchestration	display_hide_locked_modes
controller_thread	orchestration	display_menu_error
controller_thread	orchestration	display_menu_parent_system
controller_thread	orchestration	display_menu_selection
controller_thread	orchestration	display_menu_tab
controller_thread	orchestration	display_menu_visible
controller_thread	orchestration	display_mode_locked
controller_thread	orchestration	display_mode_request
controller_thread	orchestration	display_mode_request_remote
controller_thread	orchestration	display_policy_error
controller_thread	orchestration	display_policy_loaded
controller_thread	orchestration	display_policy_request
controller_thread	orchestration	display_policy_request_selection
controller_thread	orchestration	display_policy_request_value
controller_thread	orchestration	display_restore_ack_request
controller_thread	orchestration	display_restore_ack_visible
controller_thread	orchestration	display_transition_switch_in_progress
controller_thread	orchestration	exit_requested
controller_thread	orchestration	osk_alt
controller_thread	orchestration	osk_col
controller_thread	orchestration	osk_ctrl
controller_thread	orchestration	osk_generation
controller_thread	orchestration	osk_page
controller_thread	orchestration	osk_row
controller_thread	orchestration	osk_shift
controller_thread	orchestration	osk_visible
controller_thread	orchestration	remote_display_state
controller_thread	orchestration	system_menu_countdown_action
controller_thread	orchestration	system_menu_countdown_seconds
controller_thread	orchestration	system_menu_selection
controller_thread	orchestration	system_menu_status
controller_thread	orchestration	system_menu_visible
debug_emit_geometry_snapshot	diag	debug_udp_addr
debug_emit_geometry_snapshot	diag	debug_udp_sock
debug_emit_geometry_snapshot	diag	desktop_height
debug_emit_geometry_snapshot	diag	desktop_output_x
debug_emit_geometry_snapshot	diag	desktop_output_y
debug_emit_geometry_snapshot	diag	desktop_width
debug_emit_geometry_snapshot	diag	force_screen_fit_calibration
debug_emit_geometry_snapshot	diag	ps2vnc_display_config_loaded
debug_emit_geometry_snapshot	diag	screen_fit_full_bypass
debug_emit_geometry_snapshot	diag	screen_fit_height
debug_emit_geometry_snapshot	diag	screen_fit_offset_x
debug_emit_geometry_snapshot	diag	screen_fit_offset_y
debug_emit_geometry_snapshot	diag	screen_fit_width
debug_emit_idle_poll	diag	debug_idle_poll_counter
debug_emit_now	diag	controller_loop_counter
debug_emit_now	diag	controller_pad_pause_ack
debug_emit_now	diag	controller_pad_pause_requested
debug_emit_now	diag	controller_thread_error
debug_emit_now	diag	debug_changed_bytes
debug_emit_now	diag	debug_frame_counter
debug_emit_now	diag	debug_hotkey_action
debug_emit_now	diag	debug_hotkey_hold_polls
debug_emit_now	diag	debug_hotkey_latched
debug_emit_now	diag	debug_hotkey_mask
debug_emit_now	diag	debug_hotkey_quarantine
debug_emit_now	diag	debug_hotkey_settle_target
debug_emit_now	diag	debug_hotkey_stable_polls
debug_emit_now	diag	debug_hotkey_trigger
debug_emit_now	diag	debug_stage_id
debug_emit_now	diag	debug_transition_phase
debug_emit_now	diag	debug_udp_addr
debug_emit_now	diag	debug_udp_sock
debug_emit_now	diag	display_menu_visible
debug_emit_now	diag	live_encoding
debug_emit_now	diag	live_hdr_end_end
debug_emit_now	diag	live_hdr_end_pos
debug_emit_now	diag	live_hdr_raw
debug_emit_now	diag	live_hdr_recv_call
debug_emit_now	diag	live_hdr_recv_n
debug_emit_now	diag	live_hdr_start_avail
debug_emit_now	diag	live_hdr_start_end
debug_emit_now	diag	live_hdr_start_pos
debug_emit_now	diag	live_message_type
debug_emit_now	diag	live_rect_count
debug_emit_now	diag	live_rect_h
debug_emit_now	diag	live_rect_index
debug_emit_now	diag	live_rect_w
debug_emit_now	diag	live_rect_x
debug_emit_now	diag	live_rect_y
debug_emit_now	diag	osk_visible
debug_emit_now	diag	rfb_out_count
debug_emit_now	diag	runtime_action_request
debug_emit_now	diag	system_menu_countdown_seconds
debug_emit_now	diag	system_menu_visible
debug_udp_init	diag	debug_udp_addr
debug_udp_init	diag	debug_udp_sock
display_confirm_arm_transaction	display_control	active_display_backend
display_confirm_arm_transaction	display_control	desktop_height
display_confirm_arm_transaction	display_control	desktop_width
display_confirm_arm_transaction	display_control	display_confirm_action
display_confirm_arm_transaction	display_control	display_confirm_pending
display_confirm_arm_transaction	display_control	display_confirm_previous_backend
display_confirm_arm_transaction	display_control	display_confirm_previous_desktop_h
display_confirm_arm_transaction	display_control	display_confirm_previous_desktop_w
display_confirm_arm_transaction	display_control	display_confirm_previous_h
display_confirm_arm_transaction	display_control	display_confirm_previous_mode
display_confirm_arm_transaction	display_control	display_confirm_previous_screen_fit_full_bypass
display_confirm_arm_transaction	display_control	display_confirm_previous_screen_fit_height
display_confirm_arm_transaction	display_control	display_confirm_previous_screen_fit_offset_x
display_confirm_arm_transaction	display_control	display_confirm_previous_screen_fit_offset_y
display_confirm_arm_transaction	display_control	display_confirm_previous_screen_fit_width
display_confirm_arm_transaction	display_control	display_confirm_previous_w
display_confirm_arm_transaction	display_control	display_confirm_previous_x
display_confirm_arm_transaction	display_control	display_confirm_previous_y
display_confirm_arm_transaction	display_control	display_confirm_seconds
display_confirm_arm_transaction	display_control	display_confirm_selection
display_confirm_arm_transaction	display_control	display_confirm_started_tick
display_confirm_arm_transaction	display_control	display_confirm_visible
display_confirm_disarm_transaction	display_control	display_confirm_action
display_confirm_disarm_transaction	display_control	display_confirm_pending
display_confirm_disarm_transaction	display_control	display_confirm_previous_backend
display_confirm_disarm_transaction	display_control	display_confirm_previous_desktop_h
display_confirm_disarm_transaction	display_control	display_confirm_previous_desktop_w
display_confirm_disarm_transaction	display_control	display_confirm_previous_h
display_confirm_disarm_transaction	display_control	display_confirm_previous_mode
display_confirm_disarm_transaction	display_control	display_confirm_previous_screen_fit_full_bypass
display_confirm_disarm_transaction	display_control	display_confirm_previous_screen_fit_height
display_confirm_disarm_transaction	display_control	display_confirm_previous_screen_fit_offset_x
display_confirm_disarm_transaction	display_control	display_confirm_previous_screen_fit_offset_y
display_confirm_disarm_transaction	display_control	display_confirm_previous_screen_fit_width
display_confirm_disarm_transaction	display_control	display_confirm_previous_w
display_confirm_disarm_transaction	display_control	display_confirm_previous_x
display_confirm_disarm_transaction	display_control	display_confirm_previous_y
display_confirm_disarm_transaction	display_control	display_confirm_seconds
display_confirm_disarm_transaction	display_control	display_confirm_started_tick
display_confirm_disarm_transaction	display_control	display_confirm_visible
display_confirm_remaining_seconds	display_control	display_confirm_pending
