global	compiled_size_bytes	nm_kind	referencing_functions	referencing_modules	modules
active_video_mode	4	d	33	9	config,display_backend,display_calibration,display_control,display_geometry,orchestration,other,rfb_transport,ui
desktop_width	4	d	29	8	diag,display_backend,display_calibration,display_control,orchestration,other,rfb_decode,rfb_transport
desktop_height	4	d	26	8	diag,display_backend,display_calibration,display_control,orchestration,other,rfb_decode,rfb_transport
active_display_backend	4	b	21	5	display_backend,display_calibration,display_control,display_geometry,other
desktop_output_x	4	b	14	5	diag,display_backend,display_control,orchestration,other
desktop_output_y	4	b	14	5	diag,display_backend,display_control,orchestration,other
osk_generation	4	d	14	5	display_control,orchestration,other,rfb_transport,ui
display_confirm_pending	4	b	10	4	display_control,orchestration,other,rfb_transport
desktop_output_height	4	d	9	4	display_backend,display_control,orchestration,other
desktop_output_width	4	d	9	4	display_backend,display_control,orchestration,other
live_direct_present_safe	4	b	9	2	display_backend,other
rfb_queue_sema	4	d	9	4	display_calibration,display_control,other,rfb_transport
desktop_geometry_locked	4	b	8	5	display_backend,display_control,orchestration,other,rfb_transport
display_confirm_action	4	b	8	4	display_control,orchestration,other,rfb_transport
exit_requested	4	b	8	4	input,orchestration,other,rfb_transport
hires_bg_buffer	4	b	8	2	display_backend,other
live_direct_present_buffer	4	b	8	2	display_backend,other
live_error_code	4	b	8	6	core,display_backend,display_control,orchestration,other,rfb_decode
live_linear_framebuffer_stale	4	b	8	3	display_backend,other,rfb_decode
controller_thread_error	4	b	7	5	diag,input,orchestration,other,rfb_transport
debug_stage_id	4	b	7	5	core,diag,display_backend,orchestration,other
display_menu_tab	4	b	7	2	orchestration,ui
remote_display_state	4	b	7	3	display_control,orchestration,other
screen_fit_height	4	d	7	5	diag,display_calibration,display_control,orchestration,other
screen_fit_offset_x	4	b	7	5	diag,display_calibration,display_control,orchestration,other
screen_fit_offset_y	4	b	7	5	diag,display_calibration,display_control,orchestration,other
screen_fit_width	4	d	7	5	diag,display_calibration,display_control,orchestration,other
controller_pad_pause_requested	4	b	6	5	diag,display_control,input,orchestration,other
display_menu_selection	4	b	6	2	orchestration,ui
hires_bg_back_buffer	4	b	6	2	display_backend,other
hires_bg_configured	4	b	6	2	display_backend,other
osk_alt	4	b	6	2	orchestration,ui
osk_ctrl	4	b	6	2	orchestration,ui
osk_shift	4	b	6	2	orchestration,ui
remote_display_error_code	4	b	6	3	display_control,orchestration,other
rfb_connected	4	b	6	4	display_control,orchestration,rfb_decode,rfb_transport
rfb_dirty_valid	4	b	6	2	display_backend,rfb_decode
rfb_out_count	4	b	6	3	diag,other,rfb_transport
runtime_action_request	4	b	6	4	diag,orchestration,other,rfb_transport
startup_display_transaction	68	b	6	1	other
startup_display_transaction_loaded	4	b	6	1	other
system_menu_visible	4	b	6	3	diag,orchestration,other
display_confirm_previous_mode	4	b	5	2	display_control,ui
display_confirm_seconds	4	b	5	3	display_control,orchestration,ui
display_confirm_visible	4	b	5	2	display_control,orchestration
display_hide_locked_modes	4	b	5	3	orchestration,other,ui
display_menu_visible	4	b	5	4	diag,orchestration,other,ui
display_mode_locked	22	b	5	3	orchestration,other,ui
display_restore_ack_visible	4	b	5	3	display_control,orchestration,other
osk_col	4	b	5	2	orchestration,ui
osk_row	4	d	5	2	orchestration,ui
remote_display_txid	4	b	5	3	display_control,orchestration,other
screen_fit_full_bypass	4	b	5	5	diag,display_calibration,display_control,orchestration,other
startup_authoritative_display_profile	32	b	5	1	other
startup_authoritative_display_profile_loaded	4	b	5	1	other
video_modes	88	r	5	3	display_geometry,orchestration,ui
controller_pad_pause_ack	4	b	4	3	diag,input,orchestration
debug_udp_addr	16	b	4	1	diag
debug_udp_sock	4	d	4	1	diag
display_calibration_request	4	b	4	3	display_control,orchestration,other
display_confirm_selection	4	b	4	3	display_control,orchestration,ui
display_menu_error	4	b	4	2	orchestration,ui
display_menu_tab_selection	12	d	4	1	ui
display_mode_request	4	b	4	3	display_control,orchestration,other
display_mode_request_remote	4	b	4	3	display_control,orchestration,other
display_policy_error	4	b	4	2	orchestration,ui
display_policy_loaded	4	b	4	3	orchestration,other,ui
display_policy_request	4	b	4	2	orchestration,ui
display_transition_switch_in_progress	4	b	4	3	display_control,orchestration,other
live_encoding	4	b	4	4	core,diag,orchestration,rfb_decode
live_hdr_raw	12	b	4	4	core,diag,orchestration,rfb_decode
live_message_type	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_count	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_h	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_index	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_w	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_x	4	b	4	4	core,diag,orchestration,rfb_decode
live_rect_y	4	b	4	4	core,diag,orchestration,rfb_decode
osk_page	4	b	4	2	orchestration,ui
osk_visible	4	b	4	3	diag,orchestration,other
profile_dirty_updates	4	b	4	2	diag,display_backend
profile_dirty_work_ticks	8	b	4	2	diag,display_backend
ps2vnc_display_config_loaded	4	b	4	4	config,diag,display_calibration,orchestration
remote_display_lease_seconds	4	b	4	3	display_control,orchestration,other
rfb_dirty_row_valid	1080	b	4	2	display_backend,rfb_decode
rfb_last_recv_call	4	b	4	4	core,other,rfb_decode,rfb_transport
rfb_last_recv_n	4	b	4	4	core,other,rfb_decode,rfb_transport
rfb_out_head	4	b	4	2	other,rfb_transport
rfb_out_tail	4	b	4	2	other,rfb_transport
rfb_rx_end	4	b	4	4	core,other,rfb_decode,rfb_transport
rfb_rx_pos	4	b	4	4	core,other,rfb_decode,rfb_transport
