from_module	to_module	call_edge_count
orchestration	other	34
rfb_transport	other	25
display_control	other	19
management	other	17
orchestration	ui	16
display_backend	other	13
other	management	12
other	display_backend	9
display_calibration	other	8
orchestration	display_control	8
core	other	7
rfb_decode	other	7
rfb_decode	rfb_transport	7
rfb_transport	rfb_decode	7
config	other	6
orchestration	display_backend	6
other	rfb_transport	6
display_calibration	display_backend	5
other	ui	5
rfb_decode	display_backend	5
display_control	diag	4
display_control	management	4
input	rfb_transport	4
orchestration	input	4
other	config	4
other	rfb_decode	4
config	display_calibration	3
config	display_geometry	3
display_backend	rfb_decode	3
display_calibration	input	3
display_control	display_backend	3
display_control	rfb_decode	3
display_control	rfb_transport	3
orchestration	config	3
orchestration	diag	3
orchestration	management	3
orchestration	rfb_decode	3
other	diag	3
other	display_geometry	3
ui	input	3
config	management	2
core	diag	2
display_control	display_geometry	2
display_control	input	2
display_control	ui	2
orchestration	display_calibration	2
orchestration	rfb_transport	2
other	display_calibration	2
other	input	2
rfb_transport	diag	2
config	ui	1
core	config	1
core	display_calibration	1
core	orchestration	1
display_backend	diag	1
display_backend	rfb_transport	1
display_calibration	rfb_transport	1
display_calibration	ui	1
display_control	display_calibration	1
input	other	1
management	config	1
management	display_geometry	1
orchestration	display_geometry	1
rfb_transport	display_backend	1
rfb_transport	display_control	1
