utc	carrier	address_present	listen5900
2026-09-02T22:08:16.013837977Z	0	0	0
2026-09-02T22:08:16.234791828Z	0	0	0
2026-09-02T22:08:16.455893618Z	0	0	0
2026-09-02T22:08:16.676468149Z	0	0	0
2026-09-02T22:08:16.897043642Z	0	0	0
2026-09-02T22:08:17.117711582Z	0	0	0
2026-09-02T22:08:17.338284161Z	0	0	0
2026-09-02T22:08:17.558911163Z	0	0	0
2026-09-02T22:08:17.779666717Z	0	0	0
2026-09-02T22:08:18.000302424Z	0	0	0
2026-09-02T22:08:18.220784445Z	0	0	0
2026-09-02T22:08:18.441155469Z	0	0	0
2026-09-02T22:08:18.661523252Z	0	0	0
2026-09-02T22:08:18.881933034Z	0	0	0
2026-09-02T22:08:19.102249204Z	0	0	0
2026-09-02T22:08:19.322613538Z	0	0	0
2026-09-02T22:08:19.543068924Z	0	0	0
2026-09-02T22:08:19.763569716Z	0	0	0
2026-09-02T22:08:19.984245927Z	0	0	0
2026-09-02T22:08:20.204785169Z	0	0	0
2026-09-02T22:08:20.425205534Z	0	0	0
2026-09-02T22:08:20.645681619Z	0	0	0
2026-09-02T22:08:20.888047862Z	0	0	0
2026-09-02T22:08:21.136772206Z	0	0	0
2026-09-02T22:08:21.386121567Z	0	0	0
2026-09-02T22:08:21.634917707Z	0	0	0
2026-09-02T22:08:21.884323215Z	0	0	0
2026-09-02T22:08:22.133440969Z	0	0	0
2026-09-02T22:08:22.376238147Z	0	0	0
2026-09-02T22:08:22.624425735Z	0	0	0
2026-09-02T22:08:22.874980717Z	0	0	0
2026-09-02T22:08:23.122514037Z	0	0	0
2026-09-02T22:08:23.366303329Z	0	0	0
2026-09-02T22:08:23.615593025Z	0	0	0
2026-09-02T22:08:23.862957887Z	0	0	0
2026-09-02T22:08:24.098629503Z	1	0	0
2026-09-02T22:08:24.324092187Z	1	1	0
2026-09-02T22:08:24.550735251Z	1	1	0
2026-09-02T22:08:24.772038428Z	1	1	0
2026-09-02T22:08:24.992632835Z	1	1	0
2026-09-02T22:08:25.212948649Z	1	1	0
2026-09-02T22:08:25.433450487Z	1	1	0
2026-09-02T22:08:25.653994137Z	1	1	0
2026-09-02T22:08:25.875558378Z	1	1	0
2026-09-02T22:08:26.096073735Z	1	1	0
2026-09-02T22:08:26.316527762Z	1	1	0
2026-09-02T22:08:26.536825888Z	1	1	0
2026-09-02T22:08:26.757210713Z	1	1	0
2026-09-02T22:08:26.977777939Z	1	1	0
2026-09-02T22:08:27.198146339Z	1	1	0
2026-09-02T22:08:27.418661773Z	1	1	0
2026-09-02T22:08:27.639090878Z	1	1	0
2026-09-02T22:08:27.859984483Z	1	1	0
2026-09-02T22:08:28.080926671Z	1	1	0
2026-09-02T22:08:28.301285301Z	1	1	0
2026-09-02T22:08:28.521727390Z	1	1	0
2026-09-02T22:08:28.742279679Z	1	1	0
2026-09-02T22:08:28.962612903Z	1	1	0
2026-09-02T22:08:29.183168886Z	1	1	0
2026-09-02T22:08:29.430610592Z	1	1	0
2026-09-02T22:08:29.679844576Z	1	1	0
2026-09-02T22:08:29.929565021Z	1	1	0
2026-09-02T22:08:30.180086186Z	1	1	0
2026-09-02T22:08:30.427833888Z	1	1	0
2026-09-02T22:08:30.676200250Z	1	1	0
2026-09-02T22:08:30.926468143Z	1	1	0
2026-09-02T22:08:31.176487359Z	1	1	0
2026-09-02T22:08:31.426712188Z	1	1	0
2026-09-02T22:08:31.675289069Z	1	1	0
2026-09-02T22:08:31.926192445Z	1	1	0
2026-09-02T22:08:32.174753103Z	1	1	0
2026-09-02T22:08:32.424721325Z	1	1	0
2026-09-02T22:08:32.673778233Z	1	1	0
2026-09-02T22:08:32.924227360Z	1	1	0
2026-09-02T22:08:33.173080129Z	1	1	0
2026-09-02T22:08:33.421889319Z	0	1	0
2026-09-02T22:08:33.671005626Z	0	1	0
2026-09-02T22:08:33.922520902Z	0	1	0
2026-09-02T22:08:34.171306355Z	0	1	0
2026-09-02T22:08:34.419415718Z	0	1	0
2026-09-02T22:08:34.668504168Z	0	1	0
2026-09-02T22:08:34.920509398Z	0	1	0
2026-09-02T22:08:35.167890890Z	0	1	0
2026-09-02T22:08:35.410873052Z	0	1	0
2026-09-02T22:08:35.646379897Z	0	1	0
2026-09-02T22:08:35.897206598Z	0	1	0
2026-09-02T22:08:36.145742028Z	0	1	0
2026-09-02T22:08:36.395330466Z	0	1	0
2026-09-02T22:08:36.645205798Z	0	1	0
2026-09-02T22:08:36.897434413Z	0	1	0
2026-09-02T22:08:37.146867486Z	0	1	0
2026-09-02T22:08:37.396719130Z	0	1	0
2026-09-02T22:08:37.632349311Z	0	1	0
2026-09-02T22:08:37.876498105Z	0	1	0
2026-09-02T22:08:38.125426599Z	0	1	0
2026-09-02T22:08:38.375374700Z	0	1	0
2026-09-02T22:08:38.624087599Z	0	1	0
2026-09-02T22:08:38.873676161Z	0	1	0
2026-09-02T22:08:39.125329121Z	0	1	0
2026-09-02T22:08:39.360984739Z	0	0	0
2026-09-02T22:08:39.582048703Z	0	0	0
2026-09-02T22:08:39.802624652Z	0	0	0
2026-09-02T22:08:40.023226424Z	0	0	0
2026-09-02T22:08:40.243752391Z	0	0	0
2026-09-02T22:08:40.464105570Z	0	0	0
2026-09-02T22:08:40.684579873Z	0	0	0
2026-09-02T22:08:40.905197669Z	0	0	0
2026-09-02T22:08:41.125626227Z	0	0	0
2026-09-02T22:08:41.346023976Z	0	0	0
2026-09-02T22:08:41.566393263Z	0	0	0
2026-09-02T22:08:41.787107385Z	0	0	0
2026-09-02T22:08:42.007607478Z	0	0	0
2026-09-02T22:08:42.228011743Z	0	0	0
2026-09-02T22:08:42.448502986Z	0	0	0
2026-09-02T22:08:42.668795627Z	0	0	0
2026-09-02T22:08:42.889225169Z	0	0	0
2026-09-02T22:08:43.109542830Z	0	0	0
2026-09-02T22:08:43.329878302Z	0	0	0
2026-09-02T22:08:43.550243346Z	0	0	0
2026-09-02T22:08:43.770983484Z	0	0	0
2026-09-02T22:08:43.991585961Z	0	0	0
2026-09-02T22:08:44.212084190Z	0	0	0
2026-09-02T22:08:44.456961993Z	0	0	0
2026-09-02T22:08:44.707305454Z	0	0	0
2026-09-02T22:08:44.957310172Z	0	0	0
2026-09-02T22:08:45.207348676Z	0	0	0
2026-09-02T22:08:45.456122608Z	0	0	0
2026-09-02T22:08:45.703271658Z	0	0	0
2026-09-02T22:08:45.953068448Z	0	0	0
2026-09-02T22:08:46.203120662Z	0	0	0
2026-09-02T22:08:46.451850585Z	0	0	0
2026-09-02T22:08:46.700811088Z	0	0	0
2026-09-02T22:08:46.951833562Z	0	0	0
2026-09-02T22:08:47.199236714Z	0	0	0
2026-09-02T22:08:47.442640988Z	0	0	0
2026-09-02T22:08:47.692246744Z	0	0	0
2026-09-02T22:08:47.942541632Z	0	0	0
2026-09-02T22:08:48.192462633Z	0	0	0
2026-09-02T22:08:48.442419731Z	0	0	0
2026-09-02T22:08:48.689150142Z	0	0	0
