utc	carrier	address_present	listen5900
2026-09-02T23:01:54.067316220Z	0	0	1
2026-09-02T23:01:54.300244081Z	0	0	1
2026-09-02T23:01:54.520822036Z	0	0	1
2026-09-02T23:01:54.741545804Z	0	0	1
2026-09-02T23:01:54.961995760Z	0	0	1
2026-09-02T23:01:55.182688684Z	0	0	1
2026-09-02T23:01:55.403220856Z	0	0	1
2026-09-02T23:01:55.623928471Z	0	0	1
2026-09-02T23:01:55.844546642Z	0	0	1
2026-09-02T23:01:56.065095119Z	0	0	1
2026-09-02T23:01:56.285581545Z	0	0	1
2026-09-02T23:01:56.506068192Z	0	0	1
2026-09-02T23:01:56.726695227Z	0	0	1
2026-09-02T23:01:56.947242670Z	0	0	1
2026-09-02T23:01:57.167789821Z	0	0	1
2026-09-02T23:01:57.388352461Z	0	0	1
2026-09-02T23:01:57.608767879Z	0	0	1
2026-09-02T23:01:57.829294426Z	0	0	1
2026-09-02T23:01:58.049913309Z	0	0	1
2026-09-02T23:01:58.270532717Z	0	0	1
2026-09-02T23:01:58.491214922Z	0	0	1
2026-09-02T23:01:58.711857831Z	0	0	1
2026-09-02T23:01:58.953428388Z	0	0	1
2026-09-02T23:01:59.203026099Z	0	0	1
2026-09-02T23:01:59.449373840Z	0	0	1
2026-09-02T23:01:59.698009860Z	0	0	1
2026-09-02T23:01:59.937638536Z	0	0	1
2026-09-02T23:02:00.204736824Z	1	0	1
2026-09-02T23:02:00.436977801Z	1	1	1
2026-09-02T23:02:00.669935051Z	1	1	1
2026-09-02T23:02:00.892604408Z	1	1	1
2026-09-02T23:02:01.113058794Z	1	1	1
2026-09-02T23:02:01.334760406Z	1	1	1
2026-09-02T23:02:01.555302471Z	1	1	1
2026-09-02T23:02:01.777073916Z	1	1	1
2026-09-02T23:02:01.998653658Z	1	1	1
2026-09-02T23:02:02.219272062Z	1	1	1
2026-09-02T23:02:02.439765449Z	1	1	1
2026-09-02T23:02:02.660077595Z	1	1	1
2026-09-02T23:02:02.880370909Z	1	1	1
2026-09-02T23:02:03.100751302Z	1	1	1
2026-09-02T23:02:03.321855839Z	1	1	1
2026-09-02T23:02:03.542311324Z	1	1	1
2026-09-02T23:02:03.762860309Z	1	1	1
2026-09-02T23:02:03.983245998Z	1	1	1
2026-09-02T23:02:04.203885412Z	1	1	1
2026-09-02T23:02:04.424318347Z	1	1	1
2026-09-02T23:02:04.644705838Z	1	1	1
2026-09-02T23:02:04.865091329Z	1	1	1
2026-09-02T23:02:05.085408400Z	1	1	1
2026-09-02T23:02:05.328383496Z	1	1	1
2026-09-02T23:02:05.577735162Z	1	1	1
2026-09-02T23:02:05.826661665Z	1	1	1
2026-09-02T23:02:06.076374318Z	1	1	1
2026-09-02T23:02:06.326266488Z	1	1	1
2026-09-02T23:02:06.576653711Z	1	1	1
2026-09-02T23:02:06.825539035Z	1	1	1
2026-09-02T23:02:07.074235198Z	1	1	1
2026-09-02T23:02:07.323071548Z	1	1	1
2026-09-02T23:02:07.572068915Z	1	1	1
2026-09-02T23:02:07.816816381Z	1	1	1
2026-09-02T23:02:08.065049479Z	1	1	1
2026-09-02T23:02:08.315410009Z	1	1	1
2026-09-02T23:02:08.561874359Z	1	1	1
2026-09-02T23:02:08.805312561Z	1	1	1
2026-09-02T23:02:09.053740181Z	1	1	1
2026-09-02T23:02:09.302961519Z	1	1	1
2026-09-02T23:02:09.553890939Z	1	1	1
2026-09-02T23:02:09.800731421Z	1	1	1
2026-09-02T23:02:10.039365028Z	1	1	1
2026-09-02T23:02:10.280597453Z	1	1	1
2026-09-02T23:02:10.524210790Z	1	1	1
2026-09-02T23:02:10.773581390Z	1	1	1
2026-09-02T23:02:11.022725863Z	1	1	1
2026-09-02T23:02:11.273102665Z	1	1	1
2026-09-02T23:02:11.522914080Z	1	1	1
2026-09-02T23:02:11.772308405Z	1	1	1
2026-09-02T23:02:12.020785719Z	1	1	1
2026-09-02T23:02:12.270706895Z	1	1	1
2026-09-02T23:02:12.519848410Z	1	1	1
2026-09-02T23:02:12.768620222Z	1	1	1
2026-09-02T23:02:13.018390105Z	1	1	1
2026-09-02T23:02:13.267181530Z	1	1	1
2026-09-02T23:02:13.517292522Z	1	1	1
2026-09-02T23:02:13.765351489Z	1	1	1
2026-09-02T23:02:14.004032599Z	1	1	1
2026-09-02T23:02:14.253657021Z	1	1	1
2026-09-02T23:02:14.502167597Z	1	1	1
2026-09-02T23:02:14.737120284Z	1	1	1
2026-09-02T23:02:14.984664772Z	1	1	1
2026-09-02T23:02:15.233794511Z	1	1	1
2026-09-02T23:02:15.487404412Z	1	1	1
2026-09-02T23:02:15.710939492Z	1	1	1
2026-09-02T23:02:15.931413533Z	1	1	1
2026-09-02T23:02:16.151894788Z	1	1	1
2026-09-02T23:02:16.372455086Z	1	1	1
2026-09-02T23:02:16.592896885Z	1	1	1
2026-09-02T23:02:16.813410738Z	1	1	1
2026-09-02T23:02:17.033772853Z	1	1	1
2026-09-02T23:02:17.254387463Z	1	1	1
2026-09-02T23:02:17.474940462Z	1	1	1
2026-09-02T23:02:17.695487628Z	1	1	1
2026-09-02T23:02:17.915923794Z	1	1	1
2026-09-02T23:02:18.136294185Z	1	1	1
2026-09-02T23:02:18.356839163Z	1	1	1
2026-09-02T23:02:18.577301603Z	1	1	1
2026-09-02T23:02:18.797812488Z	1	1	1
2026-09-02T23:02:19.018266466Z	1	1	1
2026-09-02T23:02:19.239042031Z	1	1	1
2026-09-02T23:02:19.459644079Z	1	1	1
2026-09-02T23:02:19.680112886Z	1	1	1
2026-09-02T23:02:19.900543489Z	1	1	1
2026-09-02T23:02:20.120986340Z	1	1	1
2026-09-02T23:02:20.341730235Z	1	1	1
2026-09-02T23:02:20.583306598Z	1	1	1
2026-09-02T23:02:20.831731206Z	1	1	1
2026-09-02T23:02:21.080859775Z	1	1	1
2026-09-02T23:02:21.325973933Z	1	1	1
2026-09-02T23:02:21.574169928Z	1	1	1
2026-09-02T23:02:21.824259061Z	1	1	1
2026-09-02T23:02:22.073919459Z	1	1	1
2026-09-02T23:02:22.323894794Z	1	1	1
2026-09-02T23:02:22.569191095Z	1	1	1
2026-09-02T23:02:22.817971861Z	1	1	1
2026-09-02T23:02:23.066788463Z	1	1	1
2026-09-02T23:02:23.315680651Z	1	1	1
2026-09-02T23:02:23.564433820Z	1	1	1
2026-09-02T23:02:23.804231774Z	1	1	1
2026-09-02T23:02:24.047429473Z	1	1	1
2026-09-02T23:02:24.296082713Z	1	1	1
2026-09-02T23:02:24.545981114Z	1	1	1
2026-09-02T23:02:24.795668941Z	1	1	1
2026-09-02T23:02:25.044752719Z	1	1	1
2026-09-02T23:02:25.293893303Z	1	1	1
2026-09-02T23:02:25.544098791Z	1	1	1
2026-09-02T23:02:25.790539833Z	1	1	1
2026-09-02T23:02:26.029219857Z	1	1	1
2026-09-02T23:02:26.278898527Z	1	1	1
2026-09-02T23:02:26.525913468Z	1	1	1
2026-09-02T23:02:26.774004682Z	1	1	1
2026-09-02T23:02:27.022669321Z	1	1	1
2026-09-02T23:02:27.271803821Z	1	1	1
