utc	carrier	address_present	listen5900
2026-09-02T22:45:03.617884270Z	0	0	1
2026-09-02T22:45:03.838475852Z	0	0	1
2026-09-02T22:45:04.059171042Z	0	0	1
2026-09-02T22:45:04.279723845Z	0	0	1
2026-09-02T22:45:04.500227000Z	0	0	1
2026-09-02T22:45:04.720694933Z	0	0	1
2026-09-02T22:45:04.941168384Z	0	0	1
2026-09-02T22:45:05.161684730Z	0	0	1
2026-09-02T22:45:05.382259423Z	0	0	1
2026-09-02T22:45:05.602692818Z	0	0	1
2026-09-02T22:45:05.823344918Z	0	0	1
2026-09-02T22:45:06.044041461Z	0	0	1
2026-09-02T22:45:06.264507708Z	0	0	1
2026-09-02T22:45:06.484944437Z	0	0	1
2026-09-02T22:45:06.705374925Z	0	0	1
2026-09-02T22:45:06.925844876Z	0	0	1
2026-09-02T22:45:07.146238426Z	0	0	1
2026-09-02T22:45:07.366590099Z	0	0	1
2026-09-02T22:45:07.587076976Z	0	0	1
2026-09-02T22:45:07.807775411Z	0	0	1
2026-09-02T22:45:08.028395084Z	0	0	1
2026-09-02T22:45:08.248844331Z	0	0	1
2026-09-02T22:45:08.488601708Z	0	0	1
2026-09-02T22:45:08.728132193Z	0	0	1
2026-09-02T22:45:08.974411410Z	0	0	1
2026-09-02T22:45:09.222560879Z	0	0	1
2026-09-02T22:45:09.462124142Z	0	0	1
2026-09-02T22:45:09.710206535Z	0	0	1
2026-09-02T22:45:09.960050865Z	0	0	1
2026-09-02T22:45:10.209093099Z	0	0	1
2026-09-02T22:45:10.459213836Z	0	0	1
2026-09-02T22:45:10.708147214Z	0	0	1
2026-09-02T22:45:10.959187439Z	0	0	1
2026-09-02T22:45:11.207876039Z	0	0	1
2026-09-02T22:45:11.458117997Z	0	0	1
2026-09-02T22:45:11.707264188Z	0	0	1
2026-09-02T22:45:11.933228342Z	1	1	1
2026-09-02T22:45:12.159968063Z	1	1	1
2026-09-02T22:45:12.380633387Z	1	1	1
2026-09-02T22:45:12.602158883Z	1	1	1
2026-09-02T22:45:12.822880392Z	1	1	1
2026-09-02T22:45:13.043450565Z	1	1	1
2026-09-02T22:45:13.263816905Z	1	1	1
2026-09-02T22:45:13.484222191Z	1	1	1
2026-09-02T22:45:13.704598273Z	1	1	1
2026-09-02T22:45:13.924958003Z	1	1	1
2026-09-02T22:45:14.145246731Z	1	1	1
2026-09-02T22:45:14.365581794Z	1	1	1
2026-09-02T22:45:14.585811468Z	1	1	1
2026-09-02T22:45:14.806001864Z	1	1	1
