utc	carrier	address_present	listen5900
2026-09-02T22:50:33.855664243Z	0	0	1
2026-09-02T22:50:34.076125386Z	0	0	1
2026-09-02T22:50:34.296801483Z	0	0	1
2026-09-02T22:50:34.517035512Z	0	0	1
2026-09-02T22:50:34.737521945Z	0	0	1
2026-09-02T22:50:34.958074728Z	0	0	1
2026-09-02T22:50:35.178436933Z	0	0	1
2026-09-02T22:50:35.398797450Z	0	0	1
2026-09-02T22:50:35.619187912Z	0	0	1
2026-09-02T22:50:35.839635428Z	0	0	1
2026-09-02T22:50:36.060185830Z	0	0	1
2026-09-02T22:50:36.280693984Z	0	0	1
2026-09-02T22:50:36.501005511Z	0	0	1
2026-09-02T22:50:36.721336760Z	0	0	1
2026-09-02T22:50:36.941764415Z	0	0	1
2026-09-02T22:50:37.162102230Z	0	0	1
2026-09-02T22:50:37.382570579Z	0	0	1
2026-09-02T22:50:37.602869763Z	0	0	1
2026-09-02T22:50:37.823600941Z	0	0	1
2026-09-02T22:50:38.044057474Z	0	0	1
2026-09-02T22:50:38.264474147Z	0	0	1
2026-09-02T22:50:38.484847098Z	0	0	1
2026-09-02T22:50:38.726523204Z	0	0	1
2026-09-02T22:50:38.973076041Z	0	0	1
2026-09-02T22:50:39.221773449Z	0	0	1
2026-09-02T22:50:39.471550879Z	0	0	1
2026-09-02T22:50:39.721547047Z	0	0	1
2026-09-02T22:50:39.968895676Z	0	0	1
2026-09-02T22:50:40.217454632Z	0	0	1
2026-09-02T22:50:40.485676132Z	0	0	1
2026-09-02T22:50:40.721271152Z	1	1	1
2026-09-02T22:50:40.949802954Z	1	1	1
2026-09-02T22:50:41.171636136Z	1	1	1
2026-09-02T22:50:41.392031206Z	1	1	1
2026-09-02T22:50:41.612291686Z	1	1	1
2026-09-02T22:50:41.833449561Z	1	1	1
2026-09-02T22:50:42.053852499Z	1	1	1
2026-09-02T22:50:42.274027711Z	1	1	1
2026-09-02T22:50:42.494280144Z	1	1	1
2026-09-02T22:50:42.714722167Z	1	1	1
2026-09-02T22:50:42.935279632Z	1	1	1
2026-09-02T22:50:43.155540114Z	1	1	1
2026-09-02T22:50:43.375890870Z	1	1	1
2026-09-02T22:50:43.596220922Z	1	1	1
2026-09-02T22:50:43.816614139Z	1	1	1
2026-09-02T22:50:44.036855044Z	1	1	1
2026-09-02T22:50:44.257109236Z	1	1	1
2026-09-02T22:50:44.477217522Z	1	1	1
2026-09-02T22:50:44.697640526Z	1	1	1
2026-09-02T22:50:44.917994809Z	1	1	1
2026-09-02T22:50:45.138369792Z	1	1	1
2026-09-02T22:50:45.358675659Z	1	1	1
2026-09-02T22:50:45.600045770Z	1	1	1
2026-09-02T22:50:45.848552171Z	1	1	1
2026-09-02T22:50:46.097473749Z	1	1	1
2026-09-02T22:50:46.341450128Z	1	1	1
2026-09-02T22:50:46.589414489Z	1	1	1
2026-09-02T22:50:46.838318837Z	1	1	1
2026-09-02T22:50:47.087126018Z	1	1	1
2026-09-02T22:50:47.334997295Z	1	1	1
2026-09-02T22:50:47.583398713Z	1	1	1
2026-09-02T22:50:47.832135904Z	1	1	1
2026-09-02T22:50:48.080577431Z	1	1	1
2026-09-02T22:50:48.330140581Z	1	1	1
2026-09-02T22:50:48.578653895Z	1	1	1
2026-09-02T22:50:48.827466852Z	1	1	1
2026-09-02T22:50:49.076040885Z	1	1	1
2026-09-02T22:50:49.324467892Z	1	1	1
2026-09-02T22:50:49.574019291Z	1	1	1
2026-09-02T22:50:49.823857446Z	1	1	1
2026-09-02T22:50:50.072332636Z	1	1	1
