utc	carrier	address_present	listen5900
2026-09-02T22:25:22.813212306Z	0	0	1
2026-09-02T22:25:23.033915453Z	0	0	1
2026-09-02T22:25:23.254625170Z	0	0	1
2026-09-02T22:25:23.475220053Z	0	0	1
2026-09-02T22:25:23.695786454Z	0	0	1
2026-09-02T22:25:23.916522319Z	0	0	1
2026-09-02T22:25:24.136978858Z	0	0	1
2026-09-02T22:25:24.357343748Z	0	0	1
2026-09-02T22:25:24.577768954Z	0	0	1
2026-09-02T22:25:24.798212733Z	0	0	1
2026-09-02T22:25:25.018760955Z	0	0	1
2026-09-02T22:25:25.239278837Z	0	0	1
2026-09-02T22:25:25.459748108Z	0	0	1
2026-09-02T22:25:25.680231805Z	0	0	1
2026-09-02T22:25:25.900754279Z	0	0	1
2026-09-02T22:25:26.121202026Z	0	0	1
2026-09-02T22:25:26.341714843Z	0	0	1
2026-09-02T22:25:26.562225124Z	0	0	1
2026-09-02T22:25:26.782761867Z	0	0	1
2026-09-02T22:25:27.003361241Z	0	0	1
2026-09-02T22:25:27.223811309Z	0	0	1
2026-09-02T22:25:27.444233950Z	0	0	1
2026-09-02T22:25:27.683972376Z	0	0	1
2026-09-02T22:25:27.933373943Z	0	0	1
2026-09-02T22:25:28.180113529Z	0	0	1
2026-09-02T22:25:28.429285099Z	0	0	1
2026-09-02T22:25:28.668897956Z	0	0	1
2026-09-02T22:25:28.918671752Z	0	0	1
2026-09-02T22:25:29.169845431Z	0	0	1
2026-09-02T22:25:29.420688387Z	0	0	1
2026-09-02T22:25:29.671345100Z	0	0	1
2026-09-02T22:25:29.921611589Z	0	0	1
2026-09-02T22:25:30.161519291Z	1	0	1
2026-09-02T22:25:30.386414844Z	1	1	1
2026-09-02T22:25:30.619917544Z	1	1	1
2026-09-02T22:25:30.843984332Z	1	1	1
2026-09-02T22:25:31.064642733Z	1	1	1
2026-09-02T22:25:31.291395437Z	1	1	1
2026-09-02T22:25:31.511998991Z	1	1	1
2026-09-02T22:25:31.732651767Z	1	1	1
2026-09-02T22:25:31.953067653Z	1	1	1
2026-09-02T22:25:32.173336096Z	1	1	1
2026-09-02T22:25:32.393561306Z	1	1	1
2026-09-02T22:25:32.613879314Z	1	1	1
2026-09-02T22:25:32.834240247Z	1	1	1
2026-09-02T22:25:33.054679634Z	1	1	1
2026-09-02T22:25:33.275090060Z	1	1	1
2026-09-02T22:25:33.495585283Z	1	1	1
2026-09-02T22:25:33.716039080Z	1	1	1
2026-09-02T22:25:33.936576636Z	1	1	1
2026-09-02T22:25:34.157031939Z	1	1	1
2026-09-02T22:25:34.377314653Z	1	1	1
2026-09-02T22:25:34.597630904Z	1	1	1
2026-09-02T22:25:34.818075323Z	1	1	1
2026-09-02T22:25:35.038334345Z	1	1	1
2026-09-02T22:25:35.258721849Z	1	1	1
2026-09-02T22:25:35.500213410Z	1	1	1
2026-09-02T22:25:35.743469093Z	1	1	1
2026-09-02T22:25:35.992772808Z	1	1	1
2026-09-02T22:25:36.241499973Z	1	1	1
2026-09-02T22:25:36.489091999Z	1	1	1
2026-09-02T22:25:36.731574055Z	1	1	1
2026-09-02T22:25:36.978535505Z	1	1	1
2026-09-02T22:25:37.228116089Z	1	1	1
2026-09-02T22:25:37.478113042Z	1	1	1
2026-09-02T22:25:37.727951419Z	1	1	1
2026-09-02T22:25:37.977099960Z	1	1	1
2026-09-02T22:25:38.225614842Z	1	1	1
2026-09-02T22:25:38.474414053Z	1	1	1
2026-09-02T22:25:38.722765893Z	1	1	1
2026-09-02T22:25:38.972942814Z	1	1	1
2026-09-02T22:25:39.222874395Z	1	1	1
2026-09-02T22:25:39.472530673Z	1	1	1
2026-09-02T22:25:39.720965556Z	1	1	1
2026-09-02T22:25:39.970859075Z	1	1	1
2026-09-02T22:25:40.218941025Z	1	1	1
2026-09-02T22:25:40.467975213Z	1	1	1
2026-09-02T22:25:40.717081531Z	1	1	1
2026-09-02T22:25:40.957196569Z	1	1	1
2026-09-02T22:25:41.206134143Z	1	1	1
2026-09-02T22:25:41.455979471Z	1	1	1
2026-09-02T22:25:41.695499792Z	1	1	1
2026-09-02T22:25:41.934254666Z	1	1	1
2026-09-02T22:25:42.182808991Z	1	1	1
2026-09-02T22:25:42.432878012Z	1	1	1
2026-09-02T22:25:42.677587141Z	1	1	1
2026-09-02T22:25:42.927354401Z	1	1	1
2026-09-02T22:25:43.177158593Z	1	1	1
2026-09-02T22:25:43.426959304Z	1	1	1
2026-09-02T22:25:43.674903194Z	1	1	1
2026-09-02T22:25:43.923825439Z	1	1	1
2026-09-02T22:25:44.156770489Z	1	1	1
2026-09-02T22:25:44.404762126Z	1	1	1
2026-09-02T22:25:44.653534360Z	1	1	1
2026-09-02T22:25:44.905555994Z	1	1	1
2026-09-02T22:25:45.154013995Z	1	1	1
2026-09-02T22:25:45.389880581Z	1	1	1
2026-09-02T22:25:45.611674470Z	1	1	1
2026-09-02T22:25:45.832285114Z	1	1	1
2026-09-02T22:25:46.052749900Z	1	1	1
2026-09-02T22:25:46.273110482Z	1	1	1
2026-09-02T22:25:46.493598713Z	1	1	1
2026-09-02T22:25:46.713936777Z	1	1	1
2026-09-02T22:25:46.934552361Z	1	1	1
2026-09-02T22:25:47.154899136Z	1	1	1
2026-09-02T22:25:47.375397714Z	1	1	1
2026-09-02T22:25:47.595849476Z	1	1	1
2026-09-02T22:25:47.816471591Z	1	1	1
2026-09-02T22:25:48.036769090Z	1	1	1
2026-09-02T22:25:48.256963662Z	1	1	1
2026-09-02T22:25:48.477429734Z	1	1	1
2026-09-02T22:25:48.697786195Z	1	1	1
2026-09-02T22:25:48.918263823Z	1	1	1
2026-09-02T22:25:49.138571468Z	1	1	1
2026-09-02T22:25:49.358879813Z	1	1	1
2026-09-02T22:25:49.579312418Z	1	1	1
2026-09-02T22:25:49.800093189Z	1	1	1
2026-09-02T22:25:50.020522383Z	1	1	1
2026-09-02T22:25:50.240792834Z	1	1	1
2026-09-02T22:25:50.485329511Z	1	1	1
2026-09-02T22:25:50.735395962Z	1	1	1
2026-09-02T22:25:50.985188356Z	1	1	1
2026-09-02T22:25:51.235298096Z	1	1	1
2026-09-02T22:25:51.474771845Z	1	1	1
2026-09-02T22:25:51.721036999Z	1	1	1
2026-09-02T22:25:51.960063673Z	1	1	1
2026-09-02T22:25:52.203280468Z	1	1	1
2026-09-02T22:25:52.452425859Z	1	1	1
2026-09-02T22:25:52.702500159Z	1	1	1
2026-09-02T22:25:52.952997701Z	1	1	1
2026-09-02T22:25:53.202641853Z	1	1	1
2026-09-02T22:25:53.452212716Z	1	1	1
2026-09-02T22:25:53.702339322Z	1	1	1
2026-09-02T22:25:53.952385594Z	1	1	1
2026-09-02T22:25:54.187374988Z	1	1	1
2026-09-02T22:25:54.429700367Z	1	1	1
2026-09-02T22:25:54.679221999Z	1	1	1
2026-09-02T22:25:54.928558038Z	1	1	1
2026-09-02T22:25:55.177341085Z	1	1	1
2026-09-02T22:25:55.426659411Z	1	1	1
2026-09-02T22:25:55.674907902Z	1	1	1
2026-09-02T22:25:55.925315378Z	1	1	1
2026-09-02T22:25:56.174427912Z	1	1	1
2026-09-02T22:25:56.424140248Z	1	1	1
2026-09-02T22:25:56.674245380Z	1	1	1
2026-09-02T22:25:56.924454828Z	1	1	1
2026-09-02T22:25:57.173144691Z	1	1	1
2026-09-02T22:25:57.422195276Z	1	1	1
