utc	carrier	address_present	listen5900
2026-09-02T22:35:59.702605643Z	0	0	1
2026-09-02T22:35:59.923373894Z	0	0	1
2026-09-02T22:36:00.143862320Z	0	0	1
2026-09-02T22:36:00.364373689Z	0	0	1
2026-09-02T22:36:00.584792821Z	0	0	1
2026-09-02T22:36:00.805159918Z	0	0	1
2026-09-02T22:36:01.025510812Z	0	0	1
2026-09-02T22:36:01.245746392Z	0	0	1
2026-09-02T22:36:01.466043247Z	0	0	1
2026-09-02T22:36:01.686402748Z	0	0	1
2026-09-02T22:36:01.907096661Z	0	0	1
2026-09-02T22:36:02.127551843Z	0	0	1
2026-09-02T22:36:02.347963449Z	0	0	1
2026-09-02T22:36:02.568437460Z	0	0	1
2026-09-02T22:36:02.788823882Z	0	0	1
2026-09-02T22:36:03.009084272Z	0	0	1
2026-09-02T22:36:03.229583074Z	0	0	1
2026-09-02T22:36:03.450002306Z	0	0	1
2026-09-02T22:36:03.670465536Z	0	0	1
2026-09-02T22:36:03.890913285Z	0	0	1
2026-09-02T22:36:04.111365105Z	0	0	1
2026-09-02T22:36:04.331857089Z	0	0	1
2026-09-02T22:36:04.571620791Z	0	0	1
2026-09-02T22:36:04.820941651Z	0	0	1
2026-09-02T22:36:05.069780419Z	0	0	1
2026-09-02T22:36:05.304669467Z	0	0	1
2026-09-02T22:36:05.552025571Z	0	0	1
2026-09-02T22:36:05.793049716Z	0	0	1
2026-09-02T22:36:06.034941417Z	0	0	1
2026-09-02T22:36:06.275701384Z	0	0	1
2026-09-02T22:36:06.518671185Z	0	0	1
2026-09-02T22:36:06.767908966Z	0	0	1
2026-09-02T22:36:07.022747143Z	1	0	1
2026-09-02T22:36:07.255653747Z	1	1	1
2026-09-02T22:36:07.480468003Z	1	1	1
2026-09-02T22:36:07.701880808Z	1	1	1
2026-09-02T22:36:07.922448814Z	1	1	1
2026-09-02T22:36:08.142846289Z	1	1	1
2026-09-02T22:36:08.363154599Z	1	1	1
2026-09-02T22:36:08.584504218Z	1	1	1
2026-09-02T22:36:08.805237991Z	1	1	1
2026-09-02T22:36:09.025613687Z	1	1	1
2026-09-02T22:36:09.245984028Z	1	1	1
2026-09-02T22:36:09.466515640Z	1	1	1
2026-09-02T22:36:09.686928016Z	1	1	1
2026-09-02T22:36:09.907422148Z	1	1	1
2026-09-02T22:36:10.127759599Z	1	1	1
2026-09-02T22:36:10.348065476Z	1	1	1
2026-09-02T22:36:10.568401462Z	1	1	1
2026-09-02T22:36:10.788867629Z	1	1	1
2026-09-02T22:36:11.009183709Z	1	1	1
2026-09-02T22:36:11.229384290Z	1	1	1
2026-09-02T22:36:11.449782863Z	1	1	1
2026-09-02T22:36:11.670124623Z	1	1	1
2026-09-02T22:36:11.890483865Z	1	1	1
2026-09-02T22:36:12.110832587Z	1	1	1
2026-09-02T22:36:12.352283519Z	1	1	1
2026-09-02T22:36:12.600820249Z	1	1	1
2026-09-02T22:36:12.850117465Z	1	1	1
2026-09-02T22:36:13.098926164Z	1	1	1
2026-09-02T22:36:13.347343505Z	1	1	1
2026-09-02T22:36:13.595637851Z	1	1	1
2026-09-02T22:36:13.844571801Z	1	1	1
2026-09-02T22:36:14.093998618Z	1	1	1
2026-09-02T22:36:14.342297867Z	1	1	1
2026-09-02T22:36:14.590789461Z	1	1	1
2026-09-02T22:36:14.840700958Z	1	1	1
2026-09-02T22:36:15.087658466Z	1	1	1
2026-09-02T22:36:15.327676187Z	1	1	1
2026-09-02T22:36:15.576571982Z	1	1	1
2026-09-02T22:36:15.825626214Z	1	1	1
2026-09-02T22:36:16.075514281Z	1	1	1
2026-09-02T22:36:16.325281387Z	1	1	1
2026-09-02T22:36:16.573886060Z	1	1	1
2026-09-02T22:36:16.823456934Z	1	1	1
