section	alloc	m0_addr	m1_addr	addr_delta	m0_size	m1_size	size_delta	payload_equal	m0_sha256	m1_sha256
<NULL>	NO	0x00000000	0x00000000	0	0	0	0	YES	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
.text	YES	0x00100000	0x00100000	0	375144	373720	-1424	NO	2bc6e6bf9dfa0216d8dd10574b9142ae434380a41a687c399fb2d037bf015df3	372cec573a8daec9034859ae61735977f378af96cf4c59a1d27dae4786c2fed3
.ctors	YES	0x0015b970	0x0015b3e0	-1424	24	24	0	NO	9b596e0ddc07283d93e7d0c1b78c98a1e553d38d6d90533e1487b0e4cf7e6561	9dbccf46134c7791ca416ebd93ac1017b8f1f2e50839d310ae16910424f1fe02
.dtors	YES	0x0015b990	0x0015b400	-1424	8	8	0	YES	72a4fa3544e43a836ffcb268ce06ccdbc55d44d5e6b1b1c19216a53ea98301fd	72a4fa3544e43a836ffcb268ce06ccdbc55d44d5e6b1b1c19216a53ea98301fd
.reginfo	NO	0x0015b998	0x0015b408	-1424	24	24	0	NO	c7b9bde3b75a30784329ace3740f10d53cc92fc00bc96ec449213f45db70061e	9f36b31cae4e719401633e9687f730b0578853d44c15aaf2e388ccad269118bf
.data	YES	0x0015ba00	0x0015b480	-1408	44456	44456	0	NO	ba337163741fedec8735cbf993fc4b0e21314b6f2924682cee1088c4a484202c	c0d28367cf7114b9ddeb2c911782feedc08537dabf1a6a49dcb55431f0cad448
.rodata	YES	0x00166800	0x00166280	-1408	28000	28000	0	NO	c6cf57837d3e1802d1f7e37bfda1fa43dc9234859a02fe11d34b137440163211	329bc9ff70fe9b4f600a9661b373cd919661b87bff74fb22f3184dea6d2ef3b2
.MIPS.abiflags	YES	0x0016d560	0x0016cfe0	-1408	24	24	0	YES	ef0b8f038998f6fe8da1fcfb35201e78d6431f71c0fd56569875a702e159abba	ef0b8f038998f6fe8da1fcfb35201e78d6431f71c0fd56569875a702e159abba
.eh_frame	YES	0x0016d578	0x0016cff8	-1408	4	4	0	YES	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
.sdata	YES	0x0016d580	0x0016d000	-1408	8	8	0	NO	42c7636232bf37149fb8b0937c5218cddd7757be02ddbfbc82d0aa589a192902	30d6d7540ffa0f090128052d16e9a6ce3b8d76f1155941a4bd428882a45843aa
.bss	YES	0x0016d600	0x0016d080	-1408	758536	758536	0	YES	NOBITS	NOBITS
.pdr	NO	0x00000000	0x00000000	0	35360	35424	64	NO	a1e23d8b13084ee6478d71d433a92ce39b6ff11730904cca01d03575d9a6c307	b3803e69ac3e8e1feb77546d83ae5bd6016070bc4444590634f52c65b363d602
.comment	NO	0x00000000	0x00000000	0	18	18	0	YES	1cf64521291d6c752b30932f3b36088f5903a9bb1ea7a08559237b1280c9f226	1cf64521291d6c752b30932f3b36088f5903a9bb1ea7a08559237b1280c9f226
.gnu.attributes	NO	0x00000000	0x00000000	0	16	16	0	YES	b11839c00f9a46ab10f579ad74944e3a7bdfef92df5d5532479cdd9eb924ae31	b11839c00f9a46ab10f579ad74944e3a7bdfef92df5d5532479cdd9eb924ae31
.debug_info	NO	0x00000000	0x00000000	0	922028	921260	-768	NO	dc8ab2b151f7c628feff2c307ac385fcc742f08d908389457659d4f52d552483	690f69c41b072bc6665d8e1ffb21a02eaf27df679c324f90aeeb9be538e02dcc
.debug_abbrev	NO	0x00000000	0x00000000	0	191742	191947	205	NO	6cf6712ef951e5c8fe6c1acef36dad6d7ba06abb53c4638200240a36ebdf2b64	b0f9ecdce8254d360390ba5a305bf7146e6ab7666f0d11eaaecec4e494f7c635
.debug_loclists	NO	0x00000000	0x00000000	0	37994	37994	0	NO	d5c08e89c9fd6354784a62b232d0254d1f15dd83b5d9ed8fbaaf4d1afe97c4bb	66125a08446152c8a67b372c1e3bce541b1b35ae5ffa44fc53cf8db02be0ec6f
.debug_aranges	NO	0x00000000	0x00000000	0	14016	14048	32	NO	145c828732997e00f7e20addaff8fa3810fb681fdcd1cc04aeae937c241b04e6	1393b8259b1761a2bc8edbf0a10ba8b3dab96bd630491b53a6fbcf9cc88b83e8
.debug_rnglists	NO	0x00000000	0x00000000	0	5610	5610	0	NO	890bd5d50b02cc9b9adde0f1b74c81260c02bbde5d682f16ccc6414c9d2e38c9	94ff73da102bd4d71bbd872e8eee6bcc08b7f72e94b86413573d92d2b7aa15cd
.debug_line	NO	0x00000000	0x00000000	0	452848	451621	-1227	NO	6c6a6675a59afe441474a9033e3207fe6bac7a7b8e37c741b807ce42e49b08f8	b3289b43c51417b6c2d391d34e155ca26ca06528219878e460064cf1e8e07931
.debug_str	NO	0x00000000	0x00000000	0	79632	79653	21	NO	1194c7d9401213ea34c40f16637c7e10d62dd37576573b7ae6df240b35cea586	5a8965c30399aa446faec4ddda4a37e6728af704ab09c11aa1ad7d0b0ae5414f
.debug_frame	NO	0x00000000	0x00000000	0	41664	41720	56	NO	7a4bd731863a79d3e4aadfb49b55f8e89d268af56395aa2278b573ed4c22b242	5eb87f51ac49ab084c911428ef6744fd7ab9afd711bc2bdf04df700b8695ebe2
