direction	function
SERVICE_TO_MAIN	display_menu_mode_at_selection
SERVICE_TO_MAIN	display_menu_selection_for_mode
SERVICE_TO_MAIN	ethGetNetIFLinkStatus
SERVICE_TO_MAIN	flush_rfb_outgoing
SERVICE_TO_MAIN	osk_color
SERVICE_TO_MAIN	osk_draw_text_centered
SERVICE_TO_MAIN	osk_fill_rect
SERVICE_TO_MAIN	osk_find_glyph
SERVICE_TO_MAIN	probe_extended_desktop_size
SERVICE_TO_MAIN	profile_ticks_us
SERVICE_TO_MAIN	ps2vnc_display_direct_write_cancel
SERVICE_TO_MAIN	ps2vnc_display_output_x
SERVICE_TO_MAIN	ps2vnc_display_output_y
SERVICE_TO_MAIN	ps2vnc_display_publish_full_desktop
SERVICE_TO_MAIN	ps2vnc_hires_effective_width
SERVICE_TO_MAIN	ps2vnc_hires_requires_raster_mapping
SERVICE_TO_MAIN	ps2vnc_hires_storage_bytes
SERVICE_TO_MAIN	ps2vnc_hires_storage_height
SERVICE_TO_MAIN	ps2vnc_hires_storage_width
SERVICE_TO_MAIN	ps2vnc_video_mode_by_name
SERVICE_TO_MAIN	ps2vnc_video_mode_default_backend
SERVICE_TO_MAIN	publish_hires_background
SERVICE_TO_MAIN	receive_framebuffer_update
SERVICE_TO_MAIN	region_fits_u32
SERVICE_TO_MAIN	request_and_confirm_desktop_size
SERVICE_TO_MAIN	request_framebuffer
SERVICE_TO_MAIN	reset_rfb_transport_state
SERVICE_TO_MAIN	rfb_connect_and_handshake
SERVICE_TO_MAIN	rfb_connect_and_handshake_limited
SERVICE_TO_MAIN	screenf
SERVICE_TO_MAIN	send_exact
SERVICE_TO_MAIN	set_gs555_pixel_format
SERVICE_TO_MAIN	set_live_encoding
SERVICE_TO_MAIN	set_raw_encoding
SERVICE_TO_MAIN	set_raw_extended_desktop_encoding
MAIN_TO_SERVICE	calculate_presented_desktop_geometry
MAIN_TO_SERVICE	debug_emit_geometry_snapshot
MAIN_TO_SERVICE	draw_recovery_status
MAIN_TO_SERVICE	perform_manual_rfb_recovery
MAIN_TO_SERVICE	ps2vnc_config_apply_display
MAIN_TO_SERVICE	ps2vnc_config_get_display_for_mode
MAIN_TO_SERVICE	ps2vnc_config_load_from_pi
MAIN_TO_SERVICE	ps2vnc_config_presented_geometry_for_mode
MAIN_TO_SERVICE	ps2vnc_controller_pad_acquire
MAIN_TO_SERVICE	ps2vnc_controller_pad_release
MAIN_TO_SERVICE	ps2vnc_display_create
MAIN_TO_SERVICE	ps2vnc_display_destroy
MAIN_TO_SERVICE	ps2vnc_display_draw_desktop
MAIN_TO_SERVICE	ps2vnc_display_finish_draw
MAIN_TO_SERVICE	ps2vnc_display_flip
MAIN_TO_SERVICE	ps2vnc_display_policy_hide_to_pi
MAIN_TO_SERVICE	ps2vnc_display_policy_lock_to_pi
MAIN_TO_SERVICE	ps2vnc_display_policy_refresh_from_pi
MAIN_TO_SERVICE	ps2vnc_display_prepare_desktop
MAIN_TO_SERVICE	ps2vnc_display_prepare_osk
MAIN_TO_SERVICE	ps2vnc_display_profile_capture_active
MAIN_TO_SERVICE	ps2vnc_display_profile_resolve_candidate
MAIN_TO_SERVICE	ps2vnc_display_transaction_ack_to_pi
MAIN_TO_SERVICE	ps2vnc_display_transaction_begin_to_pi
MAIN_TO_SERVICE	ps2vnc_display_transaction_commit_to_pi
MAIN_TO_SERVICE	ps2vnc_display_transaction_restore_to_pi
MAIN_TO_SERVICE	ps2vnc_display_transaction_restored_to_pi
MAIN_TO_SERVICE	ps2vnc_display_transaction_startup_preflight
MAIN_TO_SERVICE	ps2vnc_display_tx_profiles_equal
MAIN_TO_SERVICE	ps2vnc_display_wait_presentation_memory_idle
MAIN_TO_SERVICE	ps2vnc_display_wait_texture_idle
MAIN_TO_SERVICE	ps2vnc_management_get_bounded_quiet
MAIN_TO_SERVICE	ps2vnc_management_post_text
MAIN_TO_SERVICE	ps2vnc_run_runtime_calibration
MAIN_TO_SERVICE	ps2vnc_startup_apply_authoritative_profile
MAIN_TO_SERVICE	ps2vnc_startup_connect_reconciled
MAIN_TO_SERVICE	ps2vnc_startup_prepare_display_transaction
MAIN_TO_SERVICE	recover_rfb_connection
MAIN_TO_SERVICE	recover_rfb_transport_for_display_rollback
MAIN_TO_SERVICE	run_screen_fit_calibration
MAIN_TO_SERVICE	screen_fit_apply_preset
