direction	caller	callee
SERVICE_TO_MAIN	calculate_presented_desktop_geometry	region_fits_u32
SERVICE_TO_MAIN	calculate_safe_desktop_geometry	region_fits_u32
MAIN_TO_SERVICE	display_live_desktop	calculate_presented_desktop_geometry
MAIN_TO_SERVICE	display_live_desktop	debug_emit_geometry_snapshot
MAIN_TO_SERVICE	display_live_desktop	perform_manual_rfb_recovery
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_config_apply_display
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_config_get_display_for_mode
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_config_presented_geometry_for_mode
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_create
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_draw_desktop
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_finish_draw
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_flip
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_policy_hide_to_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_policy_lock_to_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_policy_refresh_from_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_prepare_desktop
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_prepare_osk
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_profile_capture_active
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_profile_resolve_candidate
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_transaction_ack_to_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_transaction_begin_to_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_transaction_commit_to_pi
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_wait_presentation_memory_idle
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_display_wait_texture_idle
MAIN_TO_SERVICE	display_live_desktop	ps2vnc_run_runtime_calibration
MAIN_TO_SERVICE	display_live_desktop	recover_rfb_connection
