global	owner_side	owner_file	main_users	service_users
active_display_backend	MAIN	working/b4a/ps2vnc_runtime_support.inc	display_confirm_arm_transaction,ps2vnc_display_begin_update,ps2vnc_display_commit_update,ps2vnc_display_direct_write_active,ps2vnc_display_logical_desktop_size,ps2vnc_display_output_x,ps2vnc_display_output_y,ps2vnc_display_publish_full_desktop,ps2vnc_rollback_display_transaction	ps2vnc_display_create,ps2vnc_display_destroy,ps2vnc_display_draw_desktop,ps2vnc_display_finish_draw,ps2vnc_display_flip,ps2vnc_display_prepare_desktop,ps2vnc_display_profile_capture_active,ps2vnc_display_wait_presentation_memory_idle,ps2vnc_display_wait_texture_idle,ps2vnc_reconfigure_current_desktop_hires,ps2vnc_reconfigure_current_desktop_standard,ps2vnc_run_runtime_calibration
active_video_mode	MAIN	working/b4a/ps2vnc_runtime_support.inc	controller_thread,display_confirm_render_bitmap,display_live_desktop,display_menu_mode_visible,display_menu_open_for_active,display_menu_render_bitmap,hires_bg_is_field_separated,ps2vnc_display_logical_desktop_size,ps2vnc_display_output_x,ps2vnc_display_output_y,ps2vnc_global_rollback_display_transaction,ps2vnc_hires_effective_width,ps2vnc_hires_full_frame_height,ps2vnc_hires_requires_horizontal_mapping,ps2vnc_hires_requires_vertical_mapping,ps2vnc_hires_storage_height,ps2vnc_publish_restored_ack,ps2vnc_remote_control_poll_idle,ps2vnc_remote_result_post,ps2vnc_rollback_display_transaction,ps2vnc_switch_display_mode_core	ps2vnc_config_load_from_pi,ps2vnc_display_create,ps2vnc_display_create_hires,ps2vnc_display_create_standard,ps2vnc_display_policy_lock_to_pi,ps2vnc_display_profile_capture_active,ps2vnc_display_save_to_pi,ps2vnc_reconfigure_current_desktop_standard,ps2vnc_startup_apply_authoritative_profile,ps2vnc_startup_connect_reconciled,recover_rfb_transport_for_display_rollback,screen_fit_geometry_valid
controller_pad_pause_ack	MAIN	working/b4a/ps2vnc_runtime_support.inc	controller_thread,debug_emit_now	ps2vnc_controller_pad_acquire,ps2vnc_controller_pad_release
controller_pad_pause_requested	MAIN	working/b4a/ps2vnc_runtime_support.inc	controller_thread,debug_emit_now,ps2vnc_remote_control_poll_idle,ps2vnc_system_overlay_allowed	ps2vnc_controller_pad_acquire,ps2vnc_controller_pad_release
controller_thread_error	MAIN	working/b4a/ps2vnc_runtime_support.inc	controller_thread,debug_emit_now,display_live_desktop,start_controller_thread	ps2vnc_controller_pad_acquire,recover_rfb_connection,recover_rfb_transport_for_display_rollback
debug_stage_id	MAIN	working/b4a/ps2vnc_runtime_support.inc	debug_emit_now,display_live_desktop,main,ps2vnc_display_publish_full_desktop_standard	ps2vnc_display_create_hires,ps2vnc_display_create_standard,ps2vnc_display_prepare_desktop_standard
debug_udp_addr	MAIN	working/b4a/ps2vnc_runtime_support.inc	debug_emit_now,debug_udp_init,profile_emit_now	debug_emit_geometry_snapshot
debug_udp_sock	MAIN	working/b4a/ps2vnc_runtime_support.inc	debug_emit_now,debug_udp_init,profile_emit_now	debug_emit_geometry_snapshot
desktop_geometry_locked	MAIN	working/b4a/ps2vnc_runtime_support.inc	display_live_desktop,ps2vnc_switch_display_mode_core,rfb_connect_and_handshake_limited	ps2vnc_reconfigure_current_desktop_hires,ps2vnc_reconfigure_current_desktop_standard,ps2vnc_startup_connect_reconciled,recover_rfb_connection,recover_rfb_transport_for_display_rollback
desktop_height	MAIN	working/b4a/ps2vnc_runtime_support.inc	controller_thread,display_confirm_arm_transaction,display_live_desktop,probe_extended_desktop_size,ps2vnc_display_commit_update_standard,ps2vnc_display_direct_write_row,ps2vnc_display_publish_full_desktop_standard,ps2vnc_rollback_display_transaction,ps2vnc_switch_display_mode_core,ps2vnc_update_mapped_hires_dirty_buffer,publish_hires_background,receive_framebuffer_update,request_framebuffer,rfb_connect_and_handshake_limited,sync_copy_hires_dirty_rows,sync_copy_hires_region,update_hires_background_region	debug_emit_geometry_snapshot,ps2vnc_display_draw_desktop,ps2vnc_display_prepare_desktop_standard,ps2vnc_display_profile_capture_active,ps2vnc_reconfigure_current_desktop_hires,ps2vnc_reconfigure_current_desktop_standard,ps2vnc_startup_connect_reconciled,recover_rfb_connection,run_screen_fit_calibration
