consumer	identifier	provider
runtime	controller_thread	aux-function:ps2vnc_ui_controller.inc
ui	DBG_STAGE_CONTROLLER_ERROR	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_CONTROLLER_START	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_LOOP_BEGIN	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_NET_READY	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_DRAW	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_FLIP	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_QUEUE	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_RECEIVE	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_REQUEST	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_POST_TEXTURE	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_PRE_DRAW	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_PRE_FLIP	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_PRE_QUEUE	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_PRE_REQUEST	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_PRE_TEXTURE	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_RECEIVE_ERROR	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_REQUEST_ERROR	compile:ps2vnc_runtime_support.inc
ui	DBG_STAGE_WAIT_RFB	compile:ps2vnc_runtime_support.inc
ui	DEV9_irx	data:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_ACTION_KEEP	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_ACTION_NONE	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_ACTION_ROLLBACK	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_ACTION_ROLLBACK_IN_PROGRESS	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_GO_BACK	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_CONFIRM_KEEP	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_MODE_REQUEST_NONE	macro:ps2vnc_runtime_support.inc
ui	DISPLAY_POLICY_REQUEST_HIDE_LOCKED	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_POLICY_REQUEST_LOCK	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_POLICY_REQUEST_NONE	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_POLICY_REQUEST_REFRESH	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_TAB_ADVANCED	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_TAB_COUNT	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_TAB_TV_DTV	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_TAB_VGA_60	compile:ps2vnc_runtime_support.inc
ui	DISPLAY_TAB_VGA_OTHER	compile:ps2vnc_runtime_support.inc
ui	HOTKEY_TRIGGER_HOLD	compile:ps2vnc_runtime_support.inc
ui	HOTKEY_TRIGGER_RELEASE	compile:ps2vnc_runtime_support.inc
ui	HOTKEY_TRIGGER_SETTLE	compile:ps2vnc_runtime_support.inc
ui	NETMAN_irx	compile:ps2vnc_runtime_support.inc
ui	OSK_HEIGHT	macro:ps2vnc_runtime_support.inc
ui	OSK_PAGE_ABC	compile:ps2vnc_runtime_support.inc
ui	OSK_PAGE_FUNC	compile:ps2vnc_runtime_support.inc
ui	OSK_ROWS	macro:ps2vnc_runtime_support.inc
ui	OSK_WIDTH	macro:ps2vnc_runtime_support.inc
ui	OUTPUT_HEIGHT	macro:ps2vnc_runtime_support.inc
ui	OUTPUT_WIDTH	macro:ps2vnc_runtime_support.inc
ui	PS2VNC_DISPLAY_CONTROL_MAX_BYTES	macro:ps2vnc_runtime_support.inc
ui	PS2VNC_DISPLAY_CONTROL_PENDING_PATH	macro:ps2vnc_runtime_support.inc
ui	PS2VNC_DISPLAY_CONTROL_RESULT_PATH	macro:ps2vnc_runtime_support.inc
ui	PS2VNC_REMOTE_CONTROL_GET_BUDGET_US	macro:ps2vnc_runtime_support.inc
ui	PS2VNC_REMOTE_CONTROL_POLL_US	macro:ps2vnc_runtime_support.inc
ui	REMOTE_DISPLAY_ACTIVE_TEMP	compile:ps2vnc_runtime_support.inc
ui	REMOTE_DISPLAY_IDLE	compile:ps2vnc_runtime_support.inc
ui	REMOTE_DISPLAY_RESTORING	compile:ps2vnc_runtime_support.inc
ui	REMOTE_DISPLAY_SWITCHING	compile:ps2vnc_runtime_support.inc
ui	REMOTE_DISPLAY_SWITCH_REQUESTED	compile:ps2vnc_runtime_support.inc
ui	RFB_RECEIVE_LOCAL_REDRAW	macro:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_DISPLAY_SETTINGS	data:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_EXIT_TO_SYSTEM_MENU	data:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_NONE	data:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_REFRESH_RFB	data:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_SEND_ENTER	data:ps2vnc_runtime_support.inc
ui	RUNTIME_ACTION_SEND_TAB	data:ps2vnc_runtime_support.inc
ui	RUNTIME_HOTKEY_BUTTON_MASK	macro:ps2vnc_runtime_support.inc
ui	RUNTIME_HOTKEY_EXTENDABLE_SETTLE_POLLS	macro:ps2vnc_runtime_support.inc
ui	RUNTIME_HOTKEY_SETTLE_POLLS	macro:ps2vnc_runtime_support.inc
ui	SMAP_irx	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_CHORD_HOLD_POLLS	macro:ps2vnc_runtime_support.inc
ui	SYSTEM_MENU_DISPLAY	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_MENU_EXIT	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_MENU_ITEM_COUNT	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_MENU_REFRESH	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_MENU_STATUS_NONE	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_REFRESH_COOLDOWN	compile:ps2vnc_runtime_support.inc
ui	SYSTEM_REFRESH_REFRESHING	compile:ps2vnc_runtime_support.inc
ui	TEST29_DISCARD_LIVE_PIXELS	macro:ps2vnc_runtime_support.inc
ui	VIDEO_MODE_COUNT	macro:ps2vnc_runtime.c:preamble
ui	VNC_HEIGHT	macro:ps2vnc_runtime_support.inc
ui	VNC_WIDTH	macro:ps2vnc_runtime_support.inc
ui	XK_BACKSPACE	macro:ps2vnc_runtime_support.inc
ui	XK_DELETE	macro:ps2vnc_runtime_support.inc
ui	XK_DOWN	macro:ps2vnc_runtime_support.inc
ui	XK_ESCAPE	macro:ps2vnc_runtime_support.inc
ui	XK_LEFT	macro:ps2vnc_runtime_support.inc
ui	XK_RETURN	macro:ps2vnc_runtime_support.inc
ui	XK_RIGHT	macro:ps2vnc_runtime_support.inc
ui	XK_SHIFT_L	macro:ps2vnc_runtime_support.inc
ui	XK_TAB	macro:ps2vnc_runtime_support.inc
ui	XK_UP	macro:ps2vnc_runtime_support.inc
ui	controller_loop_counter	data:ps2vnc_runtime_support.inc
ui	debug_changed_bytes	data:ps2vnc_runtime_support.inc
ui	debug_emit_now	aux-function:ps2vnc_runtime_support.inc
ui	debug_frame_counter	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_action	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_hold_polls	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_latched	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_mask	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_quarantine	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_settle_target	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_stable_polls	data:ps2vnc_runtime_support.inc
ui	debug_hotkey_trigger	data:ps2vnc_runtime_support.inc
ui	debug_transition_phase	data:ps2vnc_runtime_support.inc
ui	debug_udp_init	aux-function:ps2vnc_runtime_support.inc
ui	display_calibration_request	data:ps2vnc_runtime_support.inc
ui	display_confirm_action	data:ps2vnc_runtime_support.inc
ui	display_confirm_arm_transaction	aux-function:ps2vnc_runtime_support.inc
ui	display_confirm_disarm_transaction	aux-function:ps2vnc_runtime_support.inc
ui	display_confirm_pending	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_backend	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_desktop_h	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_desktop_w	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_h	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_mode	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_screen_fit_full_bypass	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_screen_fit_height	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_screen_fit_offset_x	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_screen_fit_offset_y	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_screen_fit_width	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_w	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_x	data:ps2vnc_runtime_support.inc
ui	display_confirm_previous_y	data:ps2vnc_runtime_support.inc
ui	display_confirm_remaining_seconds	aux-function:ps2vnc_runtime_support.inc
ui	display_confirm_return_to_active_menu	aux-function:ps2vnc_runtime_support.inc
ui	display_confirm_seconds	data:ps2vnc_runtime_support.inc
ui	display_confirm_selection	data:ps2vnc_runtime_support.inc
ui	display_confirm_visible	data:ps2vnc_runtime_support.inc
ui	display_menu_error	data:ps2vnc_runtime_support.inc
