identifier	class	provider
CONTROLLER_STACK_SIZE	macro	ps2vnc_runtime_support.inc
HEXTILE_ANY_SUBRECTS	macro	ps2vnc_runtime_support.inc
HEXTILE_BACKGROUND_SPECIFIED	macro	ps2vnc_runtime_support.inc
HEXTILE_FOREGROUND_SPECIFIED	macro	ps2vnc_runtime_support.inc
HEXTILE_RAW	macro	ps2vnc_runtime_support.inc
HEXTILE_SUBRECTS_COLORED	macro	ps2vnc_runtime_support.inc
RFB_ENCODING_EXTENDED_DESKTOP_SIZE	macro	ps2vnc_runtime_support.inc
RFB_ENCODING_HEXTILE	macro	ps2vnc_runtime_support.inc
RFB_ENCODING_RAW	macro	ps2vnc_runtime_support.inc
TEST31_HDR_SENTINEL	macro	ps2vnc_runtime_support.inc
controller_sock	data	ps2vnc_runtime_support.inc
controller_stack	data	ps2vnc_runtime_support.inc
controller_thread_id	data	ps2vnc_runtime_support.inc
live_hdr_end_end	data	ps2vnc_runtime_support.inc
live_hdr_end_pos	data	ps2vnc_runtime_support.inc
live_hdr_recv_call	data	ps2vnc_runtime_support.inc
live_hdr_start_end	data	ps2vnc_runtime_support.inc
live_hdr_start_pos	data	ps2vnc_runtime_support.inc
live_update_end_end	data	ps2vnc_runtime_support.inc
live_update_end_pos	data	ps2vnc_runtime_support.inc
live_update_recv_call	data	ps2vnc_runtime_support.inc
live_update_start_end	data	ps2vnc_runtime_support.inc
live_update_start_pos	data	ps2vnc_runtime_support.inc
profile_dirty_updates	data	ps2vnc_runtime_support.inc
profile_dirty_work_start_tick	data	ps2vnc_runtime_support.inc
profile_dirty_work_ticks	data	ps2vnc_runtime_support.inc
profile_hextile_active	data	ps2vnc_runtime_support.inc
profile_hextile_rects	data	ps2vnc_runtime_support.inc
profile_hextile_ticks	data	ps2vnc_runtime_support.inc
profile_raw_rects	data	ps2vnc_runtime_support.inc
ps2vnc_hires_requires_vertical_mapping	function	ps2vnc_runtime_support.inc
read_be16	function	ps2vnc_runtime_support.inc
read_be32	function	ps2vnc_runtime_support.inc
recv_exact	function	ps2vnc_runtime_support.inc
rfb_dirty_mark_rect	function	ps2vnc_runtime_support.inc
rfb_dirty_reset	function	ps2vnc_runtime_support.inc
rfb_dirty_row_valid	data	ps2vnc_runtime_support.inc
rfb_dirty_row_x0	data	ps2vnc_runtime_support.inc
rfb_dirty_row_x1	data	ps2vnc_runtime_support.inc
rfb_dirty_valid	data	ps2vnc_runtime_support.inc
rfb_dirty_y0	data	ps2vnc_runtime_support.inc
rfb_dirty_y1	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_height	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_reason	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_result	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_screen_count	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_seen	data	ps2vnc_runtime_support.inc
rfb_extended_desktop_width	data	ps2vnc_runtime_support.inc
rfb_first_screen_flags	data	ps2vnc_runtime_support.inc
rfb_first_screen_height	data	ps2vnc_runtime_support.inc
rfb_first_screen_id	data	ps2vnc_runtime_support.inc
rfb_first_screen_width	data	ps2vnc_runtime_support.inc
rfb_first_screen_x	data	ps2vnc_runtime_support.inc
rfb_first_screen_y	data	ps2vnc_runtime_support.inc
rfb_message_boundary_local_yield	data	ps2vnc_runtime_support.inc
rfb_out_count	data	ps2vnc_runtime_support.inc
rfb_out_head	data	ps2vnc_runtime_support.inc
rfb_out_tail	data	ps2vnc_runtime_support.inc
rfb_resize_expected	data	ps2vnc_runtime_support.inc
rfb_resize_expected_height	data	ps2vnc_runtime_support.inc
rfb_resize_expected_width	data	ps2vnc_runtime_support.inc
test29_row_scratch	data	ps2vnc_runtime_support.inc
