identifier	kind	provider	static_promotions
debug_emit_idle_poll	function	tail	2
debug_stage_name	function	core	1
display_menu_open_for_active	function	external	0
read_be16	function	core	0
read_be32	function	core	0
recv_exact	function	core	0
sanitize_text	function	core	1
send_rfb_message	function	core	1
DISPLAY_CONFIRM_TIMEOUT_SECONDS	macro	core-compiletime	0
DISPLAY_MODE_REQUEST_NONE	macro	core-compiletime	0
OSK_HEIGHT	macro	core-compiletime	0
OSK_ROWS	macro	core-compiletime	0
OSK_WIDTH	macro	core-compiletime	0
OUTPUT_HEIGHT	macro	core-compiletime	0
OUTPUT_WIDTH	macro	core-compiletime	0
PS2VNC_BOOTSTRAP_PI_IP	macro	core-compiletime	0
SYSTEM_REFRESH_COOLDOWN_SECONDS	macro	core-compiletime	0
VNC_HEIGHT	macro	core-compiletime	0
VNC_PORT	macro	core-compiletime	0
VNC_WIDTH	macro	core-compiletime	0
XK_ALT_L	macro	core-compiletime	0
XK_CAPS_LOCK	macro	core-compiletime	0
XK_CONTROL_L	macro	core-compiletime	0
XK_DOWN	macro	core-compiletime	0
XK_END	macro	core-compiletime	0
XK_F1	macro	core-compiletime	0
XK_F10	macro	core-compiletime	0
XK_F11	macro	core-compiletime	0
XK_F12	macro	core-compiletime	0
XK_F2	macro	core-compiletime	0
XK_F3	macro	core-compiletime	0
XK_F4	macro	core-compiletime	0
XK_F5	macro	core-compiletime	0
XK_F6	macro	core-compiletime	0
XK_F7	macro	core-compiletime	0
XK_F8	macro	core-compiletime	0
XK_F9	macro	core-compiletime	0
XK_HOME	macro	core-compiletime	0
XK_INSERT	macro	core-compiletime	0
XK_LEFT	macro	core-compiletime	0
XK_PAGE_DOWN	macro	core-compiletime	0
XK_PAGE_UP	macro	core-compiletime	0
XK_PAUSE	macro	core-compiletime	0
XK_PRINT	macro	core-compiletime	0
XK_RIGHT	macro	core-compiletime	0
XK_UP	macro	core-compiletime	0
DISPLAY_CONFIRM_ACTION_NONE	enum	core-compiletime	0
DISPLAY_CONFIRM_GO_BACK	enum	core-compiletime	0
RUNTIME_ACTION_EXIT_TO_SYSTEM_MENU	enum	core-compiletime	0
RUNTIME_ACTION_NONE	enum	core-compiletime	0
RUNTIME_ACTION_REFRESH_RFB	enum	core-compiletime	0
SYSTEM_MENU_REFRESH	enum	core-compiletime	0
SYSTEM_MENU_STATUS_NONE	enum	core-compiletime	0
SYSTEM_MENU_STATUS_REFRESHING	enum	core-compiletime	0
SYSTEM_REFRESH_COOLDOWN	enum	core-compiletime	0
SYSTEM_REFRESH_READY	enum	core-compiletime	0
SYSTEM_REFRESH_REFRESHING	enum	core-compiletime	0
controller_loop_counter	data	core	0
debug_changed_bytes	data	core	0
debug_frame_counter	data	core	0
debug_hotkey_action	data	core	0
debug_hotkey_hold_polls	data	core	0
debug_hotkey_latched	data	core	0
debug_hotkey_mask	data	core	0
debug_hotkey_quarantine	data	core	0
debug_hotkey_settle_target	data	core	0
debug_hotkey_stable_polls	data	core	0
debug_hotkey_trigger	data	core	0
debug_idle_poll_counter	data	core	0
debug_transition_phase	data	core	0
display_calibration_request	data	core	0
display_confirm_action	data	core	0
display_confirm_pending	data	core	0
display_confirm_previous_backend	data	core	0
display_confirm_previous_desktop_h	data	core	0
display_confirm_previous_desktop_w	data	core	0
display_confirm_previous_h	data	core	0
display_confirm_previous_mode	data	core	0
display_confirm_previous_screen_fit_full_bypass	data	core	0
display_confirm_previous_screen_fit_height	data	core	0
display_confirm_previous_screen_fit_offset_x	data	core	0
display_confirm_previous_screen_fit_offset_y	data	core	0
display_confirm_previous_screen_fit_width	data	core	0
display_confirm_previous_w	data	core	0
display_confirm_previous_x	data	core	0
display_confirm_previous_y	data	core	0
display_confirm_seconds	data	core	0
display_confirm_selection	data	core	0
display_confirm_started_tick	data	core	0
display_confirm_visible	data	core	0
display_menu_visible	data	core	0
display_mode_request	data	core	0
display_restore_ack_visible	data	core	0
display_transition_switch_in_progress	data	core	0
live_encoding	data	core	0
live_error_code	data	core	0
live_hdr_end_end	data	core	0
live_hdr_end_pos	data	core	0
live_hdr_raw	data	core	0
live_hdr_recv_call	data	core	0
live_hdr_recv_n	data	core	0
live_hdr_start_avail	data	core	0
live_hdr_start_end	data	core	0
live_hdr_start_pos	data	core	0
live_message_type	data	core	0
live_rect_count	data	core	0
live_rect_h	data	core	0
live_rect_index	data	core	0
live_rect_w	data	core	0
live_rect_x	data	core	0
live_rect_y	data	core	0
osk_alt	data	core	0
osk_col	data	core	0
osk_ctrl	data	core	0
osk_page	data	core	0
osk_row	data	core	0
osk_shift	data	core	0
osk_visible	data	core	0
profile_changed_bytes	data	core	0
profile_dirty_updates	data	core	0
profile_dirty_wait_ticks	data	core	0
profile_dirty_work_ticks	data	core	0
profile_flip_ticks	data	core	0
profile_hextile_rects	data	core	0
profile_hextile_rx_wait_ticks	data	core	0
profile_hextile_ticks	data	core	0
profile_present_sync_ticks	data	core	0
profile_raw_rects	data	core	0
profile_rfb_ticks	data	core	0
profile_rfb_updates	data	core	0
profile_rx_wait_ticks	data	core	0
remote_display_suppress_next_active_menu_return	data	core	0
rfb_out_count	data	core	0
