identifier	declaration
controller_loop_counter	extern volatile unsigned int controller_loop_counter ;
debug_changed_bytes	extern volatile int debug_changed_bytes ;
debug_frame_counter	extern volatile unsigned int debug_frame_counter ;
debug_hotkey_action	extern volatile int debug_hotkey_action ;
debug_hotkey_hold_polls	extern volatile unsigned int debug_hotkey_hold_polls ;
debug_hotkey_latched	extern volatile int debug_hotkey_latched ;
debug_hotkey_mask	extern volatile unsigned int debug_hotkey_mask ;
debug_hotkey_quarantine	extern volatile unsigned int debug_hotkey_quarantine ;
debug_hotkey_settle_target	extern volatile unsigned int debug_hotkey_settle_target ;
debug_hotkey_stable_polls	extern volatile unsigned int debug_hotkey_stable_polls ;
debug_hotkey_trigger	extern volatile int debug_hotkey_trigger ;
debug_idle_poll_counter	extern unsigned int debug_idle_poll_counter ;
debug_transition_phase	extern volatile unsigned int debug_transition_phase ;
display_calibration_request	extern volatile int display_calibration_request ;
display_confirm_action	extern volatile int display_confirm_action ;
display_confirm_pending	extern volatile int display_confirm_pending ;
display_confirm_previous_backend	extern ps2vnc_backend_t display_confirm_previous_backend ;
display_confirm_previous_desktop_h	extern unsigned int display_confirm_previous_desktop_h ;
display_confirm_previous_desktop_w	extern unsigned int display_confirm_previous_desktop_w ;
display_confirm_previous_h	extern unsigned int display_confirm_previous_h ;
display_confirm_previous_mode	extern const ps2vnc_video_mode_t *display_confirm_previous_mode ;
display_confirm_previous_screen_fit_full_bypass	extern int display_confirm_previous_screen_fit_full_bypass ;
display_confirm_previous_screen_fit_height	extern int display_confirm_previous_screen_fit_height ;
display_confirm_previous_screen_fit_offset_x	extern int display_confirm_previous_screen_fit_offset_x ;
display_confirm_previous_screen_fit_offset_y	extern int display_confirm_previous_screen_fit_offset_y ;
display_confirm_previous_screen_fit_width	extern int display_confirm_previous_screen_fit_width ;
display_confirm_previous_w	extern unsigned int display_confirm_previous_w ;
display_confirm_previous_x	extern unsigned int display_confirm_previous_x ;
display_confirm_previous_y	extern unsigned int display_confirm_previous_y ;
display_confirm_seconds	extern volatile unsigned int display_confirm_seconds ;
display_confirm_selection	extern volatile int display_confirm_selection ;
display_confirm_started_tick	extern volatile u64 display_confirm_started_tick ;
display_confirm_visible	extern volatile int display_confirm_visible ;
display_menu_visible	extern volatile int display_menu_visible ;
display_mode_request	extern volatile int display_mode_request ;
display_restore_ack_visible	extern volatile int display_restore_ack_visible ;
display_transition_switch_in_progress	extern volatile int display_transition_switch_in_progress ;
live_encoding	extern volatile unsigned int live_encoding ;
live_error_code	extern volatile int live_error_code ;
live_hdr_end_end	extern volatile unsigned int live_hdr_end_end ;
live_hdr_end_pos	extern volatile unsigned int live_hdr_end_pos ;
live_hdr_raw	extern volatile unsigned char live_hdr_raw[12];
live_hdr_recv_call	extern volatile unsigned int live_hdr_recv_call ;
live_hdr_recv_n	extern volatile int live_hdr_recv_n ;
live_hdr_start_avail	extern volatile unsigned int live_hdr_start_avail ;
live_hdr_start_end	extern volatile unsigned int live_hdr_start_end ;
live_hdr_start_pos	extern volatile unsigned int live_hdr_start_pos ;
live_message_type	extern volatile unsigned int live_message_type ;
live_rect_count	extern volatile unsigned int live_rect_count ;
live_rect_h	extern volatile unsigned int live_rect_h ;
live_rect_index	extern volatile unsigned int live_rect_index ;
live_rect_w	extern volatile unsigned int live_rect_w ;
live_rect_x	extern volatile unsigned int live_rect_x ;
live_rect_y	extern volatile unsigned int live_rect_y ;
osk_alt	extern volatile int osk_alt ;
osk_col	extern volatile int osk_col ;
osk_ctrl	extern volatile int osk_ctrl ;
osk_page	extern volatile int osk_page ;
osk_row	extern volatile int osk_row ;
osk_shift	extern volatile int osk_shift ;
osk_visible	extern volatile int osk_visible ;
profile_changed_bytes	extern unsigned int profile_changed_bytes ;
profile_dirty_updates	extern unsigned int profile_dirty_updates ;
profile_dirty_wait_ticks	extern u64 profile_dirty_wait_ticks ;
profile_dirty_work_ticks	extern u64 profile_dirty_work_ticks ;
profile_flip_ticks	extern u64 profile_flip_ticks ;
profile_hextile_rects	extern unsigned int profile_hextile_rects ;
profile_hextile_rx_wait_ticks	extern u64 profile_hextile_rx_wait_ticks ;
profile_hextile_ticks	extern u64 profile_hextile_ticks ;
profile_present_sync_ticks	extern u64 profile_present_sync_ticks ;
profile_raw_rects	extern unsigned int profile_raw_rects ;
profile_rfb_ticks	extern u64 profile_rfb_ticks ;
profile_rfb_updates	extern unsigned int profile_rfb_updates ;
profile_rx_wait_ticks	extern u64 profile_rx_wait_ticks ;
remote_display_suppress_next_active_menu_return	extern volatile int remote_display_suppress_next_active_menu_return ;
rfb_out_count	extern volatile unsigned int rfb_out_count ;
