rank	leaf	logical_lines	size_class
1	ps2vnc_runtime_tail.inc	1717	OPTIONAL_SIZE
2	ps2vnc_runtime_core.inc	1694	OPTIONAL_SIZE
3	ps2vnc_display_tail.inc	1690	OPTIONAL_SIZE
4	ps2vnc_calibration_tail.inc	1635	OPTIONAL_SIZE
5	ps2vnc_calibration_core.inc	1619	OPTIONAL_SIZE
6	ps2vnc_management_tail.inc	1586	OPTIONAL_SIZE
7	ps2vnc_ui_core.inc	1548	OPTIONAL_SIZE
8	ps2vnc_ui_tail.inc	1546	OPTIONAL_SIZE
9	ps2vnc_management_core.inc	1534	OPTIONAL_SIZE
10	ps2vnc_framebuffer_core.inc	1266	ACCEPTED_SIZE
11	ps2vnc_framebuffer_tail.inc	1234	ACCEPTED_SIZE
12	ps2vnc_display_core.inc	1232	ACCEPTED_SIZE
