file	logical_lines	local_inc_children
ps2vnc_calibration_state.inc	2	ps2vnc_calibration_core.inc,ps2vnc_calibration_tail.inc
ps2vnc_display_orchestration.inc	2	ps2vnc_display_core.inc,ps2vnc_display_tail.inc
ps2vnc_framebuffer_engine.inc	2	ps2vnc_framebuffer_core.inc,ps2vnc_framebuffer_tail.inc
ps2vnc_macro_body.inc	9	ps2vnc_macro_region1.inc,ps2vnc_macro_region2.inc,ps2vnc_macro_region3.inc
ps2vnc_macro_region1.inc	3	ps2vnc_runtime_support.inc,ps2vnc_ui_controller.inc
ps2vnc_macro_region2.inc	2	ps2vnc_framebuffer_engine.inc
ps2vnc_macro_region3.inc	2	ps2vnc_display_orchestration.inc
ps2vnc_management_config.inc	12	ps2vnc_management_core.inc,ps2vnc_management_tail.inc
ps2vnc_runtime_support.inc	2	ps2vnc_runtime_core.inc,ps2vnc_runtime_tail.inc
ps2vnc_ui_controller.inc	2	ps2vnc_ui_core.inc,ps2vnc_ui_tail.inc
