consumer	provider	symbol
ps2vnc_calibration_tail.o	ps2vnc_framebuffer.o	ps2vnc_display_direct_write_cancel
ps2vnc_calibration_tail.o	ps2vnc_framebuffer.o	receive_framebuffer_update
ps2vnc_calibration_tail.o	ps2vnc_framebuffer.o	request_framebuffer
ps2vnc_calibration_tail.o	ps2vnc_framebuffer_tail.o	ps2vnc_display_publish_full_desktop
ps2vnc_calibration_tail.o	ps2vnc_framebuffer_tail.o	publish_hires_background
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	active_display_backend
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	active_video_mode
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	controller_pad_pause_ack
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	controller_pad_pause_requested
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	controller_thread_error
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	debug_stage_id
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_geometry_locked
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_height
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_output_height
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_output_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_output_x
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_output_y
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	desktop_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	exit_requested
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	flush_rfb_outgoing
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	hires_bg_back_buffer
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	hires_bg_buffer
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	hires_bg_configured
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	hires_mapped_source_framebuffer
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	live_direct_present_buffer
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	live_direct_present_safe
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	live_linear_framebuffer_stale
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	osk_pixels
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_x
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_y
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_effective_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_requires_raster_mapping
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_bytes
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_height
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_default_backend
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_supports_backend
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	rfb_queue_sema
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	screenf
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	osk_find_glyph
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	set_live_encoding
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	set_raw_encoding
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	set_raw_extended_desktop_encoding
ps2vnc_calibration_tail.o	ps2vnc_services.o	debug_emit_geometry_snapshot
ps2vnc_calibration_tail.o	ps2vnc_services.o	ps2vnc_display_config_loaded
ps2vnc_calibration_tail.o	ps2vnc_services.o	ps2vnc_display_save_to_pi
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_apply_preset
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_clamp_interactive
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_full_bypass
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_geometry_valid
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_height
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_offset_x
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_offset_y
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_prim_sprite
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_width
ps2vnc_display.o	ps2ip.o	startup_authoritative_display_profile
ps2vnc_display.o	ps2ip.o	startup_authoritative_display_profile_loaded
ps2vnc_display.o	ps2ip.o	startup_display_commit_finish_required
ps2vnc_display.o	ps2ip.o	startup_display_restore_ack_required
ps2vnc_display.o	ps2ip.o	startup_display_restored_mark_required
ps2vnc_display.o	ps2ip.o	startup_display_transaction
ps2vnc_display.o	ps2ip.o	startup_display_transaction_loaded
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_controller_pad_acquire
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_controller_pad_release
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_create
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_destroy
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_draw_desktop
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_finish_draw
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_flip
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_desktop
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_prepare_osk
ps2vnc_display.o	ps2vnc_framebuffer.o	ps2vnc_display_direct_write_cancel
ps2vnc_display.o	ps2vnc_framebuffer.o	receive_framebuffer_update
ps2vnc_display.o	ps2vnc_framebuffer.o	request_framebuffer
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_profile_capture_active
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_ack_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_commit_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_restore_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_transaction_restored_to_pi
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_display_tx_profiles_equal
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_management_get_bounded_quiet
ps2vnc_display.o	ps2vnc_management_tail.o	ps2vnc_management_post_text
ps2vnc_display.o	ps2vnc_runtime.o	active_display_backend
ps2vnc_display.o	ps2vnc_runtime.o	active_video_mode
ps2vnc_display.o	ps2vnc_runtime.o	controller_pad_pause_requested
ps2vnc_display.o	ps2vnc_runtime.o	debug_transition_phase
ps2vnc_display.o	ps2vnc_runtime.o	desktop_geometry_locked
ps2vnc_display.o	ps2vnc_runtime.o	desktop_height
ps2vnc_display.o	ps2vnc_runtime.o	desktop_output_height
ps2vnc_display.o	ps2vnc_runtime.o	desktop_output_width
ps2vnc_display.o	ps2vnc_runtime.o	desktop_output_x
ps2vnc_display.o	ps2vnc_runtime.o	desktop_output_y
ps2vnc_display.o	ps2vnc_runtime.o	desktop_width
ps2vnc_display.o	ps2vnc_runtime.o	display_calibration_request
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_action
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_pending
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_backend
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_desktop_h
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_desktop_w
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_h
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_mode
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_screen_fit_full_bypass
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_screen_fit_height
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_screen_fit_offset_x
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_screen_fit_offset_y
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_screen_fit_width
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_w
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_x
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_previous_y
ps2vnc_display.o	ps2vnc_runtime.o	display_confirm_visible
ps2vnc_display.o	ps2vnc_runtime.o	display_menu_selection_for_mode
ps2vnc_display.o	ps2vnc_runtime.o	display_menu_visible
ps2vnc_display.o	ps2vnc_runtime.o	display_mode_request
ps2vnc_display.o	ps2vnc_runtime.o	display_mode_request_for_selection
ps2vnc_display.o	ps2vnc_runtime.o	display_mode_request_remote
ps2vnc_display.o	ps2vnc_runtime.o	display_restore_ack_mode
ps2vnc_display.o	ps2vnc_runtime.o	display_restore_ack_request
ps2vnc_display.o	ps2vnc_runtime.o	display_restore_ack_visible
ps2vnc_display.o	ps2vnc_runtime.o	display_switch_failure_stage
ps2vnc_display.o	ps2vnc_runtime.o	display_transition_switch_in_progress
ps2vnc_display.o	ps2vnc_runtime.o	flush_rfb_outgoing
ps2vnc_display.o	ps2vnc_runtime.o	live_error_code
ps2vnc_display.o	ps2vnc_runtime.o	osk_generation
ps2vnc_display.o	ps2vnc_runtime.o	osk_visible
ps2vnc_display.o	ps2vnc_runtime.o	ps2vnc_discard_controller_rfb_queue
ps2vnc_display.o	ps2vnc_runtime.o	ps2vnc_display_logical_desktop_size
ps2vnc_display.o	ps2vnc_runtime.o	ps2vnc_video_mode_by_name
ps2vnc_display.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_baseline_mode
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_error_code
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_last_poll_tick
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_lease_seconds
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_lease_started_tick
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_requested_mode
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_state
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_suppress_next_active_menu_return
ps2vnc_display.o	ps2vnc_runtime.o	remote_display_txid
ps2vnc_display.o	ps2vnc_runtime.o	reset_rfb_transport_state
ps2vnc_display.o	ps2vnc_runtime.o	rfb_connected
ps2vnc_display.o	ps2vnc_runtime.o	rfb_queue_sema
ps2vnc_display.o	ps2vnc_runtime.o	screenf
ps2vnc_display.o	ps2vnc_runtime.o	system_menu_visible
ps2vnc_display.o	ps2vnc_runtime_tail.o	debug_emit_now
ps2vnc_display.o	ps2vnc_runtime_tail.o	display_confirm_disarm_transaction
ps2vnc_display.o	ps2vnc_runtime_tail.o	profile_ticks_us
ps2vnc_display.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_display.o	ps2vnc_runtime_tail.o	set_live_encoding
ps2vnc_display.o	ps2vnc_runtime_tail.o	set_raw_encoding
ps2vnc_display.o	ps2vnc_runtime_tail.o	set_raw_extended_desktop_encoding
ps2vnc_display.o	ps2vnc_services.o	debug_emit_geometry_snapshot
ps2vnc_display.o	ps2vnc_services.o	draw_recovery_status
ps2vnc_display.o	ps2vnc_services.o	recover_rfb_transport_for_display_rollback
ps2vnc_display.o	ps2vnc_services.o	screen_fit_apply_preset
ps2vnc_display.o	ps2vnc_services.o	screen_fit_full_bypass
ps2vnc_display.o	ps2vnc_services.o	screen_fit_height
ps2vnc_display.o	ps2vnc_services.o	screen_fit_offset_x
ps2vnc_display.o	ps2vnc_services.o	screen_fit_offset_y
ps2vnc_display.o	ps2vnc_services.o	screen_fit_width
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	calculate_presented_desktop_geometry
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_create
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_draw_desktop
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_finish_draw
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	ps2vnc_display_flip
