object	mutability	type	size_hex	symbol
ps2ip.o	MUTABLE	B	00000020	startup_authoritative_display_profile
ps2ip.o	MUTABLE	B	00000004	startup_authoritative_display_profile_loaded
ps2ip.o	MUTABLE	B	00000020	startup_confirmed_display_profile
ps2ip.o	MUTABLE	B	00000004	startup_confirmed_display_profile_loaded
ps2ip.o	MUTABLE	B	00000004	startup_display_commit_finish_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restore_ack_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restore_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restored_mark_required
ps2ip.o	MUTABLE	B	00000044	startup_display_transaction
ps2ip.o	MUTABLE	B	00000004	startup_display_transaction_loaded
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_desktop_height.14
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_desktop_width.15
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_dst_h.0
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_dst_w.1
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_dst_x0.5
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_dst_y0.4
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_h.10
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_height.16
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_w.11
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_width.17
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_x.13
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_y.12
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_storage_height.18
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_storage_width.19
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	map_valid.20
ps2vnc_framebuffer_tail.o	MUTABLE	b	00001e04	x_edge.7
ps2vnc_framebuffer_tail.o	MUTABLE	b	00001e00	x_sample.9
ps2vnc_framebuffer_tail.o	MUTABLE	b	000010e4	y_edge.6
ps2vnc_framebuffer_tail.o	MUTABLE	b	000010e0	y_sample.8
ps2vnc_runtime.o	MUTABLE	B	00000004	active_display_backend
ps2vnc_runtime.o	MUTABLE	D	00000004	active_video_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	controller_loop_counter
ps2vnc_runtime.o	MUTABLE	B	00000004	controller_pad_pause_ack
ps2vnc_runtime.o	MUTABLE	B	00000004	controller_pad_pause_requested
ps2vnc_runtime.o	MUTABLE	D	00000004	controller_sock
ps2vnc_runtime.o	MUTABLE	B	00002000	controller_stack
ps2vnc_runtime.o	MUTABLE	B	00000004	controller_thread_error
ps2vnc_runtime.o	MUTABLE	D	00000004	controller_thread_id
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_changed_bytes
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_frame_counter
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_action
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_hold_polls
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_latched
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_mask
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_quarantine
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_settle_target
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_stable_polls
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_hotkey_trigger
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_idle_poll_counter
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_stage_id
ps2vnc_runtime.o	MUTABLE	B	00000004	debug_transition_phase
ps2vnc_runtime.o	MUTABLE	B	00000010	debug_udp_addr
ps2vnc_runtime.o	MUTABLE	D	00000004	debug_udp_sock
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_geometry_locked
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_height
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_output_height
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_output_width
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_output_x
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_output_y
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_width
ps2vnc_runtime.o	MUTABLE	B	00000004	display_calibration_request
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_action
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_pending
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_backend
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_desktop_h
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_desktop_w
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_h
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_full_bypass
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_height
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_offset_x
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_offset_y
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_width
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_w
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_x
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_y
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_seconds
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_selection
ps2vnc_runtime.o	MUTABLE	B	00000008	display_confirm_started_tick
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_visible
ps2vnc_runtime.o	MUTABLE	B	00000004	display_hide_locked_modes
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_error
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_parent_system
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_selection
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_tab
ps2vnc_runtime.o	MUTABLE	D	0000000c	display_menu_tab_selection
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_visible
ps2vnc_runtime.o	MUTABLE	B	00000016	display_mode_locked
ps2vnc_runtime.o	MUTABLE	B	00000004	display_mode_request
ps2vnc_runtime.o	MUTABLE	B	00000004	display_mode_request_remote
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_error
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_loaded
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_request
ps2vnc_runtime.o	MUTABLE	D	00000004	display_policy_request_selection
