consumer	symbol
ps2vnc_calibration_tail.o	SyncDCache
ps2vnc_calibration_tail.o	dmaKit_wait_fast
ps2vnc_calibration_tail.o	free
ps2vnc_calibration_tail.o	gsKit_clear
ps2vnc_calibration_tail.o	gsKit_deinit_global
ps2vnc_calibration_tail.o	gsKit_hires_deinit_global
ps2vnc_calibration_tail.o	gsKit_hires_flip
ps2vnc_calibration_tail.o	gsKit_hires_init_global
ps2vnc_calibration_tail.o	gsKit_hires_init_screen
ps2vnc_calibration_tail.o	gsKit_hires_sync
ps2vnc_calibration_tail.o	gsKit_init_global_custom
ps2vnc_calibration_tail.o	gsKit_init_screen
ps2vnc_calibration_tail.o	gsKit_mode_switch
ps2vnc_calibration_tail.o	gsKit_prim_sprite_texture_3d
ps2vnc_calibration_tail.o	gsKit_queue_exec
ps2vnc_calibration_tail.o	gsKit_set_clamp
ps2vnc_calibration_tail.o	gsKit_set_display_offset
ps2vnc_calibration_tail.o	gsKit_sync_flip
ps2vnc_calibration_tail.o	gsKit_texture_size
ps2vnc_calibration_tail.o	gsKit_texture_upload
ps2vnc_calibration_tail.o	gsKit_vram_alloc
ps2vnc_calibration_tail.o	gsKit_vram_clear
ps2vnc_calibration_tail.o	memalign
ps2vnc_calibration_tail.o	memcpy
ps2vnc_calibration_tail.o	memset
ps2vnc_calibration_tail.o	nanosleep
ps2vnc_calibration_tail.o	padGetState
ps2vnc_calibration_tail.o	padRead
ps2vnc_calibration_tail.o	strlen
ps2vnc_display.o	GetTimerSystemTime
ps2vnc_display.o	TimerBusClock2USec
ps2vnc_display.o	close
ps2vnc_display.o	memcpy
ps2vnc_display.o	nanosleep
ps2vnc_display.o	snprintf
ps2vnc_display.o	strchr
ps2vnc_display.o	strlen
ps2vnc_display.o	strncmp
ps2vnc_display.o	strtoul
ps2vnc_display_tail.o	DEV9_irx
ps2vnc_display_tail.o	GetTimerSystemTime
ps2vnc_display_tail.o	LoadExecPS2
ps2vnc_display_tail.o	NETMAN_irx
ps2vnc_display_tail.o	NetManInit
ps2vnc_display_tail.o	SMAP_irx
ps2vnc_display_tail.o	SifExecModuleBuffer
ps2vnc_display_tail.o	SifInitIopHeap
ps2vnc_display_tail.o	SifIopReset
ps2vnc_display_tail.o	SifIopSync
ps2vnc_display_tail.o	SifLoadFileInit
ps2vnc_display_tail.o	SifLoadModule
ps2vnc_display_tail.o	SleepThread
ps2vnc_display_tail.o	dmaKit_chan_init
ps2vnc_display_tail.o	dmaKit_init
ps2vnc_display_tail.o	gsKit_prim_sprite_texture_3d
ps2vnc_display_tail.o	gsKit_texture_upload
ps2vnc_display_tail.o	init_scr
ps2vnc_display_tail.o	memalign
ps2vnc_display_tail.o	memset
ps2vnc_display_tail.o	padInit
ps2vnc_display_tail.o	padPortOpen
ps2vnc_display_tail.o	padSetMainMode
ps2vnc_display_tail.o	ps2ipInit
ps2vnc_display_tail.o	sbv_patch_enable_lmb
ps2vnc_display_tail.o	sceSifInitRpc
ps2vnc_display_tail.o	scr_setCursor
ps2vnc_display_tail.o	size_DEV9_irx
ps2vnc_display_tail.o	size_NETMAN_irx
ps2vnc_display_tail.o	size_SMAP_irx
ps2vnc_framebuffer.o	CreateSema
ps2vnc_framebuffer.o	CreateThread
ps2vnc_framebuffer.o	GetTimerSystemTime
ps2vnc_framebuffer.o	StartThread
ps2vnc_framebuffer.o	SyncDCache
ps2vnc_framebuffer.o	_gp
ps2vnc_framebuffer.o	memcpy
ps2vnc_framebuffer_tail.o	GetTimerSystemTime
ps2vnc_framebuffer_tail.o	SyncDCache
ps2vnc_framebuffer_tail.o	__udivdi3
ps2vnc_framebuffer_tail.o	gsKit_hires_set_bg
ps2vnc_framebuffer_tail.o	gsKit_texture_upload
ps2vnc_framebuffer_tail.o	memcpy
ps2vnc_management_tail.o	GetTimerSystemTime
ps2vnc_management_tail.o	close
ps2vnc_management_tail.o	connect
ps2vnc_management_tail.o	errno
ps2vnc_management_tail.o	fcntl
ps2vnc_management_tail.o	free
ps2vnc_management_tail.o	getsockopt
ps2vnc_management_tail.o	libcglue_inet_addr
ps2vnc_management_tail.o	malloc
ps2vnc_management_tail.o	memchr
ps2vnc_management_tail.o	memcmp
ps2vnc_management_tail.o	memcpy
ps2vnc_management_tail.o	memset
ps2vnc_management_tail.o	ps2vnc_config_parse_bool
ps2vnc_management_tail.o	ps2vnc_config_parse_int
ps2vnc_management_tail.o	ps2vnc_config_trim_left
ps2vnc_management_tail.o	ps2vnc_config_trim_right
ps2vnc_management_tail.o	recv
ps2vnc_management_tail.o	select
ps2vnc_management_tail.o	send
ps2vnc_management_tail.o	snprintf
ps2vnc_management_tail.o	socket
ps2vnc_management_tail.o	strchr
ps2vnc_management_tail.o	strcmp
ps2vnc_management_tail.o	strlen
ps2vnc_management_tail.o	strncmp
ps2vnc_runtime.o	GetTimerSystemTime
ps2vnc_runtime.o	SignalSema
ps2vnc_runtime.o	WaitSema
ps2vnc_runtime.o	errno
ps2vnc_runtime.o	libcglue_inet_addr
ps2vnc_runtime.o	memcpy
ps2vnc_runtime.o	memset
