consumer	provider	referenced_symbol_count
ps2vnc_runtime_tail.o	ps2vnc_runtime.o	105
ps2vnc_display_tail.o	ps2vnc_runtime.o	87
ps2vnc_framebuffer.o	ps2vnc_runtime.o	68
ps2vnc_display.o	ps2vnc_runtime.o	60
ps2vnc_ui_tail.o	ps2vnc_runtime.o	57
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	35
ps2vnc_framebuffer_tail.o	ps2vnc_runtime.o	31
ps2vnc_ui_display.o	ps2vnc_runtime.o	31
ps2vnc_services.o	ps2vnc_runtime.o	29
ps2vnc_management_tail.o	ps2vnc_runtime.o	18
ps2vnc_display_tail.o	ps2vnc_services.o	17
ps2vnc_framebuffer.o	ps2vnc_runtime_tail.o	16
ps2vnc_display_tail.o	ps2vnc_runtime_tail.o	13
ps2vnc_ui_tail.o	ps2vnc_ui_display.o	13
ps2vnc_calibration_tail.o	ps2vnc_services.o	12
ps2vnc_display_tail.o	ps2vnc_calibration_tail.o	11
ps2vnc_services.o	ps2ip.o	10
ps2vnc_services.o	ps2vnc_runtime_tail.o	10
ps2vnc_ui_display.o	ps2vnc_runtime_tail.o	10
ps2vnc_display.o	ps2vnc_calibration_tail.o	9
ps2vnc_display.o	ps2vnc_services.o	9
ps2vnc_display.o	ps2vnc_management_tail.o	8
ps2vnc_display_tail.o	ps2vnc_management_tail.o	8
ps2vnc_display.o	ps2ip.o	7
ps2vnc_display.o	ps2vnc_runtime_tail.o	7
ps2vnc_display_tail.o	ps2vnc_display.o	7
ps2vnc_services.o	ps2vnc_management_tail.o	7
ps2vnc_ui_tail.o	ps2vnc_runtime_tail.o	7
ps2vnc_display_tail.o	ps2vnc_framebuffer.o	6
ps2vnc_display_tail.o	ps2vnc_ui_display.o	6
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	5
ps2vnc_management_tail.o	ps2vnc_services.o	4
ps2vnc_services.o	ps2vnc_calibration_tail.o	4
ps2vnc_calibration_tail.o	ps2vnc_framebuffer.o	3
ps2vnc_display.o	ps2vnc_framebuffer.o	3
ps2vnc_framebuffer_tail.o	ps2vnc_framebuffer.o	3
ps2vnc_runtime.o	ps2vnc_runtime_tail.o	3
ps2vnc_services.o	ps2vnc_framebuffer.o	3
ps2vnc_calibration_tail.o	ps2vnc_framebuffer_tail.o	2
ps2vnc_runtime.o	ps2vnc_display.o	2
ps2vnc_runtime_tail.o	ps2vnc_ui_display.o	2
ps2vnc_display_tail.o	ps2vnc_framebuffer_tail.o	1
ps2vnc_framebuffer.o	ps2vnc_ui_tail.o	1
ps2vnc_framebuffer_tail.o	ps2vnc_calibration_tail.o	1
ps2vnc_management_tail.o	ps2vnc_runtime_tail.o	1
ps2vnc_runtime_tail.o	ps2vnc_framebuffer.o	1
ps2vnc_services.o	ps2vnc_framebuffer_tail.o	1
