address	size	type	symbol	source
00000000	000000a0	t	ps2vnc_display_release_ee_buffers	/work/ps2vnc_calibration_tail.inc:1273
000000a0	000001d8	t	screen_fit_draw_corner_marker.constprop.0	/work/ps2vnc_calibration_tail.inc:142
00000278	000001a0	t	screen_fit_draw_text_centered.constprop.0	/work/ps2vnc_calibration_tail.inc:69
00000418	000009a8	T	run_screen_fit_calibration	/work/ps2vnc_calibration_tail.inc:414
00000dc0	00000198	T	calculate_presented_desktop_geometry	/work/ps2vnc_calibration_tail.inc:714
00000f58	000000d8	T	ps2vnc_controller_pad_acquire	/work/ps2vnc_calibration_tail.inc:804
00001030	00000088	T	ps2vnc_controller_pad_release	/work/ps2vnc_calibration_tail.inc:852
000010b8	00000494	T	ps2vnc_run_runtime_calibration	/work/ps2vnc_calibration_tail.inc:1025
00001550	00000214	T	ps2vnc_display_create	/work/ps2vnc_calibration_tail.inc:1246
00001768	00000060	T	ps2vnc_display_wait_presentation_memory_idle	/work/ps2vnc_calibration_tail.inc:1317
000017c8	00000058	T	ps2vnc_display_wait_texture_idle	/work/ps2vnc_calibration_tail.inc:1343
00001820	00000070	T	ps2vnc_display_finish_draw	/work/ps2vnc_calibration_tail.inc:1370
00001890	00000070	T	ps2vnc_display_flip	/work/ps2vnc_calibration_tail.inc:1394
00001900	000000d0	T	ps2vnc_display_destroy	/work/ps2vnc_calibration_tail.inc:1412
000019d0	00000278	T	ps2vnc_display_prepare_desktop	/work/ps2vnc_calibration_tail.inc:1546
00001c48	00000310	T	ps2vnc_display_draw_desktop	/work/ps2vnc_calibration_tail.inc:1575
00001f58	00000084	T	ps2vnc_display_prepare_osk	/work/ps2vnc_calibration_tail.inc:1616
