address	size	type	symbol	source
00000000	000001b8	t	ps2vnc_management_post	/work/ps2vnc_management_tail.inc:144
000001b8	000001dc	t	ps2vnc_socket_wait_bounded	/work/ps2vnc_management_tail.inc:605
00000398	000003cc	t	ps2vnc_config_parse_display_policy.constprop.0	/work/ps2vnc_management_tail.inc:1094
00000768	00000140	T	ps2vnc_display_profile_valid	/work/ps2vnc_management_tail.inc:7
000008a8	000000a8	T	ps2vnc_display_profile_capture_active	/work/ps2vnc_management_tail.inc:66
00000950	000000e4	T	ps2vnc_display_profile_resolve_candidate	/work/ps2vnc_management_tail.inc:102
00000a38	000001a0	T	ps2vnc_display_transaction_begin_to_pi	/work/ps2vnc_management_tail.inc:251
00000bd8	00000014	T	ps2vnc_display_transaction_commit_to_pi	/work/ps2vnc_management_tail.inc:329
00000bf0	00000014	T	ps2vnc_display_transaction_restore_to_pi	/work/ps2vnc_management_tail.inc:338
00000c08	00000014	T	ps2vnc_display_transaction_restored_to_pi	/work/ps2vnc_management_tail.inc:347
00000c20	00000014	T	ps2vnc_display_transaction_ack_to_pi	/work/ps2vnc_management_tail.inc:356
00000c38	00000310	T	ps2vnc_management_get	/work/ps2vnc_management_tail.inc:368
00000f48	000003e8	T	ps2vnc_management_get_bounded_quiet	/work/ps2vnc_management_tail.inc:681
00001330	000001bc	T	ps2vnc_management_post_text	/work/ps2vnc_management_tail.inc:952
000014f0	0000010c	T	ps2vnc_display_policy_refresh_from_pi	/work/ps2vnc_management_tail.inc:1286
00001600	00000098	T	ps2vnc_display_policy_lock_to_pi	/work/ps2vnc_management_tail.inc:1350
00001698	00000080	T	ps2vnc_display_policy_hide_to_pi	/work/ps2vnc_management_tail.inc:1384
00001718	00000138	T	ps2vnc_display_tx_take_line	/work/ps2vnc_management_tail.inc:1425
00001850	000003ec	T	ps2vnc_display_tx_parse_profile	/work/ps2vnc_management_tail.inc:1519
00001c40	0000009c	T	ps2vnc_display_tx_profiles_equal	/work/ps2vnc_management_tail.inc:1584
