address	size	type	symbol	source
00000000	00000028	T	ps2vnc_video_mode_supports_backend	/work/ps2vnc_runtime.c:273
00000028	00000034	T	ps2vnc_video_mode_default_backend	/work/ps2vnc_runtime_core.inc:4
00000060	000000e8	T	ps2vnc_video_mode_by_name	/work/ps2vnc_runtime_core.inc:19
00000148	00000038	T	ps2vnc_hires_effective_width	/work/ps2vnc_runtime_core.inc:53
00000180	00000080	T	ps2vnc_hires_requires_vertical_mapping	/work/ps2vnc_runtime_core.inc:121
00000200	00000058	T	ps2vnc_hires_requires_raster_mapping	/work/ps2vnc_runtime_core.inc:99
00000258	00000038	T	ps2vnc_hires_storage_width	/work/ps2vnc_runtime_core.inc:53
00000290	00000080	T	ps2vnc_hires_storage_height	/work/ps2vnc_runtime_core.inc:163
00000310	00000080	T	ps2vnc_hires_storage_bytes	/work/ps2vnc_runtime_core.inc:53
00000390	00000090	T	ps2vnc_display_logical_desktop_size	/work/ps2vnc_runtime_core.inc:199
00000420	0000010c	T	ps2vnc_display_output_x	/work/ps2vnc_runtime_core.inc:223
00000530	000000dc	T	ps2vnc_display_output_y	/work/ps2vnc_runtime_core.inc:240
00000610	0000001c	T	rfb_dirty_reset	/work/ps2vnc_runtime_core.inc:579
00000630	0000015c	T	rfb_dirty_mark_rect	/work/ps2vnc_runtime_core.inc:594
00000790	00000040	T	display_menu_selection_for_mode	/work/ps2vnc_runtime_core.inc:788 (discriminator 1)
000007d0	00000028	T	display_menu_mode_at_selection	/work/ps2vnc_runtime_core.inc:799
000007f8	00000018	T	display_mode_request_for_selection	/work/ps2vnc_runtime_core.inc:808
00000810	0000002c	T	display_mode_request_target	/work/ps2vnc_runtime_core.inc:818
00000840	00000054	T	runtime_hotkey_lookup	/work/ps2vnc_runtime_core.inc:1090 (discriminator 1)
00000898	00000070	T	runtime_hotkey_has_hold_extension	/work/ps2vnc_runtime_core.inc:1128 (discriminator 1)
00000908	0000007c	T	screenf	/work/ps2vnc_runtime_core.inc:1179
00000988	0000003c	T	sanitize_text	/work/ps2vnc_runtime_core.inc:1197 (discriminator 1)
000009c8	00000024	T	read_be16	/work/ps2vnc_runtime_core.inc:1206 (discriminator 1)
000009f0	0000002c	T	read_be32	/work/ps2vnc_runtime_core.inc:1212
00000a20	00000054	T	region_fits_u32	/work/ps2vnc_runtime_core.inc:1236
00000a78	00000088	T	send_exact	/work/ps2vnc_runtime_core.inc:1254
00000b00	000001b8	T	send_rfb_message	/work/ps2vnc_runtime_core.inc:1279
00000cb8	00000070	T	ps2vnc_discard_controller_rfb_queue	/work/ps2vnc_runtime_core.inc:1337
00000d28	000001b8	T	flush_rfb_outgoing	/work/ps2vnc_runtime_core.inc:1357
00000ee0	0000008c	T	reset_rfb_transport_state	/work/ps2vnc_runtime_core.inc:1409
00000f70	00000418	T	recv_exact	/work/ps2vnc_runtime_core.inc:1467
00001388	00000034	T	debug_stage_name	/work/ps2vnc_runtime_core.inc:1654
000013c0	00000080	T	debug_udp_init	/work/ps2vnc_runtime_core.inc:1681
