address	size	type	symbol	source
00000000	00000008	t	EthStatusCheckCb	/work/ps2vnc_runtime_tail.inc:450
00000008	000003f8	T	debug_emit_now	/work/ps2vnc_runtime_tail.inc:6
00000400	00000048	T	profile_ticks_us	/work/ps2vnc_runtime_tail.inc:88
00000448	0000006c	T	ps2vnc_system_overlay_allowed	/work/ps2vnc_runtime_tail.inc:109
000004b8	000000e0	T	ps2vnc_system_refresh_update_state	/work/ps2vnc_runtime_tail.inc:128
00000598	000000e8	T	ps2vnc_system_refresh_accept_request	/work/ps2vnc_runtime_tail.inc:155
00000680	0000008c	T	ps2vnc_system_exit_accept_request	/work/ps2vnc_runtime_tail.inc:109
00000710	000000d8	T	display_confirm_arm_transaction	/work/ps2vnc_runtime_tail.inc:210
000007e8	00000094	T	display_confirm_disarm_transaction	/work/ps2vnc_runtime_tail.inc:243
00000880	00000038	T	display_confirm_return_to_active_menu	/work/ps2vnc_runtime_tail.inc:277
000008b8	000000f8	T	display_confirm_remaining_seconds	/work/ps2vnc_runtime_tail.inc:299
000009b0	00000390	T	profile_emit_now	/work/ps2vnc_runtime_tail.inc:318
00000d40	00000050	T	debug_emit_idle_poll	/work/ps2vnc_runtime_tail.inc:363
00000d90	0000009c	T	wait_pad_ready_after_mode_change	/work/ps2vnc_runtime_tail.inc:377
00000e30	000000e0	T	startup_force_calibration_requested	/work/ps2vnc_runtime_tail.inc:406
00000f10	00000034	T	ethGetNetIFLinkStatus	/work/ps2vnc_runtime_tail.inc:472
00000f48	000000ac	T	ethWaitValidNetIFLinkState	/work/ps2vnc_runtime_tail.inc:479
00000ff8	0000067c	T	rfb_connect_and_handshake_limited	/work/ps2vnc_runtime_tail.inc:486
00001678	00000014	T	rfb_connect_and_handshake	/work/ps2vnc_runtime_tail.inc:761
00001690	00000030	T	set_gs555_pixel_format	/work/ps2vnc_runtime_tail.inc:778
000016c0	00000030	T	set_raw_encoding	/work/ps2vnc_runtime_tail.inc:831
000016f0	00000030	T	set_live_encoding	/work/ps2vnc_runtime_tail.inc:855
00001720	00000030	T	set_raw_extended_desktop_encoding	/work/ps2vnc_runtime_tail.inc:878
00001750	00000310	T	request_and_confirm_desktop_size	/work/ps2vnc_runtime_tail.inc:995
00001a60	00000060	T	send_pointer_event	/work/ps2vnc_runtime_tail.inc:1134
00001ac0	00000064	T	send_key_event	/work/ps2vnc_runtime_tail.inc:1167
00001b28	00000068	T	send_key_tap	/work/ps2vnc_runtime_tail.inc:1182
00001b90	000002b0	T	send_modified_key_tap	/work/ps2vnc_runtime_tail.inc:1214
00001e40	00000058	T	osk_clear_one_shot_modifiers	/work/ps2vnc_runtime_tail.inc:1253
00001e98	00000044	T	osk_row_length	/work/ps2vnc_runtime_tail.inc:1447
00001ee0	00000024	T	osk_color	/work/ps2vnc_runtime_tail.inc:1467
00001f08	0000014c	T	osk_fill_rect	/work/ps2vnc_runtime_tail.inc:1481
00002058	00000048	T	osk_find_glyph	/work/ps2vnc_runtime_tail.inc:1513 (discriminator 1)
000020a0	00000180	T	osk_draw_text_centered	/work/ps2vnc_runtime_tail.inc:1558
00002220	00000098	T	osk_display_char	/work/ps2vnc_runtime_tail.inc:1582
000022b8	00000400	T	osk_render_bitmap	/work/ps2vnc_runtime_tail.inc:1602
