address	size	type	symbol	source
00000000	00000090	t	screen_fit_geometry_valid_for_mode	/work/ps2vnc_management_core.inc:682
00000090	00000520	t	ps2vnc_config_parse_display_section	/work/ps2vnc_management_core.inc:1015
000005b0	00000124	t	ps2vnc_config_parse_display_for_mode	/work/ps2vnc_management_core.inc:1352
000006d8	00000070	t	ps2vnc_http_find_header_end.part.0	/work/ps2vnc_management_core.inc:1456 (discriminator 1)
00000748	00000310	t	ps2vnc_config_parse_startup_mode.constprop.0	/work/ps2vnc_management_core.inc:869
00000a58	000003a0	T	draw_recovery_status	/work/ps2vnc_management_core.inc:8
00000df8	00000360	T	recover_rfb_connection	/work/ps2vnc_management_core.inc:224
00001158	000001dc	T	recover_rfb_transport_for_display_rollback	/work/ps2vnc_management_core.inc:444
00001338	000000f0	T	perform_manual_rfb_recovery	/work/ps2vnc_management_core.inc:577
00001428	0000009c	T	screen_fit_geometry_valid	/work/ps2vnc_management_core.inc:734
000014c8	00000144	T	screen_fit_apply_preset	/work/ps2vnc_management_core.inc:762
00001610	00000100	T	ps2vnc_config_apply_display	/work/ps2vnc_management_core.inc:1401
00001710	00000028	T	ps2vnc_http_find_header_end	/work/ps2vnc_management_core.inc:1453
00001738	000000b8	T	ps2vnc_http_status_is_200	/work/ps2vnc_management_core.inc:1482
000017f0	0000003c	T	ps2vnc_backend_transaction_name	/work/ps2vnc_management_core.inc:1509
00001830	00000074	T	ps2vnc_backend_from_transaction_name	/work/ps2vnc_management_core.inc:1522
000018a8	000005fc	T	ps2vnc_display_transaction_startup_preflight	/work/ps2vnc_calibration_core.inc:295
00001ea8	000000b4	T	ps2vnc_startup_prepare_display_transaction	/work/ps2vnc_calibration_core.inc:357
00001f60	0000051c	T	ps2vnc_startup_connect_reconciled	/work/ps2vnc_calibration_core.inc:406
00002480	000001ec	T	ps2vnc_display_save_to_pi	/work/ps2vnc_management_core.inc:734
00002670	000000cc	T	ps2vnc_config_get_display_for_mode	/work/ps2vnc_calibration_core.inc:996
00002740	00000130	T	ps2vnc_config_presented_geometry_for_mode	/work/ps2vnc_calibration_core.inc:1043
00002870	00000388	T	ps2vnc_startup_apply_authoritative_profile	/work/ps2vnc_calibration_core.inc:1134
00002bf8	00000370	T	ps2vnc_config_load_from_pi	/work/ps2vnc_calibration_core.inc:1293
00002f68	000000d8	T	debug_emit_geometry_snapshot	/work/ps2vnc_calibration_core.inc:1494
00003040	00000108	T	screen_fit_clamp_interactive	/work/ps2vnc_calibration_core.inc:1551
00003148	0000009c	T	screen_fit_prim_sprite	/work/ps2vnc_calibration_core.inc:1593
