address	size	type	symbol	source
00000000	000000b8	t	osk_send_extended_key_with_modifiers	/work/ps2vnc_ui_core.inc:1014
000000b8	00000110	t	display_menu_first_visible_selection	/work/ps2vnc_ui_core.inc:184
000001c8	00000240	T	display_confirm_render_bitmap	/work/ps2vnc_ui_core.inc:3
00000408	00000164	T	display_restore_ack_render_bitmap	/work/ps2vnc_ui_core.inc:62
00000570	00000038	T	display_menu_tab_for_mode	/work/ps2vnc_ui_core.inc:105
000005a8	00000310	T	display_menu_normalize_selection	/work/ps2vnc_ui_core.inc:244
000008b8	00000108	T	display_menu_open_for_active	/work/ps2vnc_ui_core.inc:291
000009c0	00000284	T	display_menu_move_vertical_selection	/work/ps2vnc_ui_core.inc:332
00000c48	00000170	T	display_menu_move_horizontal_selection	/work/ps2vnc_ui_core.inc:377
00000db8	00000834	T	display_menu_render_bitmap	/work/ps2vnc_ui_core.inc:407
000015f0	000002c4	T	system_menu_render_bitmap	/work/ps2vnc_ui_core.inc:807
000018b8	00000098	T	osk_move_horizontal	/work/ps2vnc_ui_core.inc:916
00001950	000000cc	T	osk_move_vertical	/work/ps2vnc_ui_core.inc:930
00001a20	00000108	T	osk_shifted_ascii	/work/ps2vnc_ui_core.inc:959
00001b28	00000048	T	osk_send_key_with_modifiers	/work/ps2vnc_ui_core.inc:994
00001b70	00000238	T	osk_activate_selected	/work/ps2vnc_ui_core.inc:1056
00001da8	00000088	T	wake_renderer_with_pointer_jiggle	/work/ps2vnc_ui_core.inc:1181
00001e30	000001e0	T	stick_velocity_q8	/work/ps2vnc_ui_core.inc:1309
00002010	000000a4	T	scroll_button_for_stick	/work/ps2vnc_ui_core.inc:1372
000020b8	000001b8	T	scroll_repeat_delay	/work/ps2vnc_ui_core.inc:1227
00002270	00000068	T	send_scroll_pulse	/work/ps2vnc_ui_core.inc:1460
000022d8	000001e0	T	dpad_hold_velocity_q8	/work/ps2vnc_ui_core.inc:1511
