header	line	kind	text
ps2vnc_calibration_core_to_tail.h	2	MACRO	#define PS2VNC_CALIBRATION_CORE_TO_TAIL_H
ps2vnc_calibration_core_to_tail.h	12	MACRO	#define SCREEN_FIT_FINE_STEP            1
ps2vnc_calibration_core_to_tail.h	13	MACRO	#define SCREEN_FIT_FAST_STEP            4
ps2vnc_calibration_core_to_tail.h	14	MACRO	#define SCREEN_FIT_BORDER               4
ps2vnc_calibration_core_to_tail.h	15	MACRO	#define SCREEN_FIT_CORNER_SIZE          56
ps2vnc_calibration_core_to_tail.h	16	MACRO	#define SCREEN_FIT_REPEAT_DELAY_POLLS  18
ps2vnc_calibration_core_to_tail.h	17	MACRO	#define SCREEN_FIT_REPEAT_POLLS         4
ps2vnc_calibration_core_to_tail.h	18	MACRO	#define SCREEN_FIT_START_WIDTH   (OUTPUT_WIDTH)
ps2vnc_calibration_core_to_tail.h	19	MACRO	#define SCREEN_FIT_START_HEIGHT  (OUTPUT_HEIGHT)
ps2vnc_calibration_core_to_tail.h	20	MACRO	#define SCREEN_FIT_ACTION_MOVE   0x10000u
ps2vnc_calibration_core_to_tail.h	22	EXTERN	extern int ps2vnc_display_save_to_pi (int width, int height, int offset_x, int offset_y);
ps2vnc_calibration_core_to_tail.h	23	EXTERN	extern void screen_fit_clamp_interactive (int *width, int *height, int *offset_x, int *offset_y);
ps2vnc_calibration_core_to_tail.h	24	EXTERN	extern int screen_fit_geometry_valid (int width, int height, int offset_x, int offset_y);
ps2vnc_calibration_core_to_tail.h	25	EXTERN	extern void screen_fit_prim_sprite (GSGLOBAL *g, int x0, int y0, int x1, int y1, int z, u64 color);
ps2vnc_config_text.h	2	MACRO	#define PS2VNC_CONFIG_TEXT_H
ps2vnc_config_text.h	4	PROTOTYPE	char *ps2vnc_config_trim_left(char *text);
ps2vnc_config_text.h	5	PROTOTYPE	void ps2vnc_config_trim_right(char *text);
ps2vnc_cross_types.h	2	MACRO	#define PS2VNC_CROSS_TYPES_H
ps2vnc_cross_types.h	6	TYPEDEF	typedef struct {
ps2vnc_display_core_to_tail.h	2	MACRO	#define PS2VNC_DISPLAY_CORE_TO_TAIL_H
ps2vnc_display_core_to_tail.h	11	EXTERN	extern int ps2vnc_global_rollback_display_transaction (int old_sock, int transport_dirty, short unsigned int *rfb_framebuffer, short unsigned int *gs_framebuffer, GSGLOBAL **display, GSTEXTURE *tex, GSTEXTURE *osk_tex);
ps2vnc_display_core_to_tail.h	12	EXTERN	extern int ps2vnc_remote_control_poll_idle (void);
ps2vnc_display_core_to_tail.h	13	EXTERN	extern void ps2vnc_remote_display_fail (unsigned int error_code);
ps2vnc_display_core_to_tail.h	14	EXTERN	extern int ps2vnc_remote_display_lease_expired (void);
ps2vnc_display_core_to_tail.h	15	EXTERN	extern int ps2vnc_remote_result_post (const char *state, unsigned int error_code);
ps2vnc_display_core_to_tail.h	16	EXTERN	extern int ps2vnc_startup_finalize_display_transaction (void);
ps2vnc_display_core_to_tail.h	17	EXTERN	extern int ps2vnc_switch_display_mode (int sock, short unsigned int *rfb_framebuffer, short unsigned int *gs_framebuffer, GSGLOBAL **display, GSTEXTURE *tex, GSTEXTURE *osk_tex, const ps2vnc_video_mode_t *mode, unsigned int out_x, unsigned int out_y, unsigned int width, unsigned int height);
ps2vnc_framebuffer_core_to_tail.h	2	MACRO	#define PS2VNC_FRAMEBUFFER_CORE_TO_TAIL_H
ps2vnc_framebuffer_core_to_tail.h	11	EXTERN	extern int hires_bg_is_field_separated (void);
ps2vnc_framebuffer_core_to_tail.h	12	EXTERN	extern unsigned int hires_bg_storage_row (unsigned int raster_y);
ps2vnc_framebuffer_core_to_tail.h	13	EXTERN	extern unsigned int ps2vnc_hires_mapped_storage_row (unsigned int presentation_y);
ps2vnc_framebuffer_core_to_tail.h	14	EXTERN	extern int sync_copy_hires_dirty_rows (short unsigned int *dst, const short unsigned int *src);
ps2vnc_management_core_to_tail.h	2	MACRO	#define PS2VNC_MANAGEMENT_CORE_TO_TAIL_H
ps2vnc_management_core_to_tail.h	12	MACRO	#define PS2VNC_CONFIG_MAX_BYTES  16384
ps2vnc_management_core_to_tail.h	13	MACRO	#define PS2VNC_CONFIG_MAX_LINE     512
ps2vnc_management_core_to_tail.h	15	EXTERN	extern int ps2vnc_http_find_header_end(
ps2vnc_management_core_to_tail.h	19	EXTERN	extern int ps2vnc_http_status_is_200(
ps2vnc_management_core_to_tail.h	23	EXTERN	extern const char *ps2vnc_backend_transaction_name(
ps2vnc_management_core_to_tail.h	26	EXTERN	extern ps2vnc_backend_t ps2vnc_backend_from_transaction_name(
ps2vnc_management_tail_to_services.h	2	MACRO	#define PS2VNC_MANAGEMENT_TAIL_TO_SERVICES_H
ps2vnc_management_tail_to_services.h	11	EXTERN	extern int ps2vnc_display_profile_valid(
ps2vnc_management_tail_to_services.h	14	EXTERN	extern int ps2vnc_management_get(
