header	logical_lines	local_fan_in	local_fan_out	defines	extern_lines	typedef_tokens	struct_tokens	enum_tokens	static_inline_tokens
ps2vnc_calibration_core_to_tail.h	27	1	0	10	4	0	0	0	0
ps2vnc_config_text.h	18	3	0	1	0	0	0	0	0
ps2vnc_cross_types.h	13	10	0	1	0	1	1	0	0
ps2vnc_display_core_to_tail.h	19	1	0	1	7	0	0	0	0
ps2vnc_framebuffer_core_to_tail.h	16	1	0	1	4	0	0	0	0
ps2vnc_management_core_to_tail.h	29	1	0	3	4	0	0	0	0
ps2vnc_management_tail_to_services.h	32	1	0	1	4	0	0	0	0
ps2vnc_runtime_compat.h	167	9	1	3	0	6	3	3	0
ps2vnc_runtime_core_to_tail.h	212	1	0	39	83	1	0	6	0
ps2vnc_runtime_tail_to_core.h	11	1	0	1	1	0	0	0	0
ps2vnc_runtime_to_framebuffer.h	136	2	0	11	52	0	0	0	0
ps2vnc_runtime_to_ui_display.h	498	6	0	31	141	2	1	13	0
ps2vnc_services_compat.h	246	3	3	27	0	7	3	9	0
ps2vnc_services_exports.h	59	11	0	1	6	0	0	0	0
ps2vnc_services_imports.h	102	9	0	1	49	0	1	0	0
ps2vnc_ui_core_to_tail.h	30	1	0	7	13	0	0	0	0
ps2vnc_ui_display_to_runtime.h	13	4	0	1	1	0	0	0	0
ps2vnc_ui_to_display.h	16	2	0	1	6	0	0	0	0
