kind	symbol	object	classification
FUNCTION	run_screen_fit_calibration	ps2vnc_calibration_tail.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_apply_preset	ps2vnc_services.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_clamp_interactive	ps2vnc_services.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_draw_corner_marker.constprop.0	ps2vnc_calibration_tail.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_draw_text_centered.constprop.0	ps2vnc_calibration_tail.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_geometry_valid	ps2vnc_services.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_geometry_valid_for_mode	ps2vnc_services.o	CALIBRATION_CANDIDATE
FUNCTION	screen_fit_prim_sprite	ps2vnc_services.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_calibration_request	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_confirm_previous_screen_fit_full_bypass	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_confirm_previous_screen_fit_height	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_confirm_previous_screen_fit_offset_x	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_confirm_previous_screen_fit_offset_y	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	display_confirm_previous_screen_fit_width	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	force_screen_fit_calibration	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	live_direct_present_safe	ps2vnc_runtime.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	screen_fit_full_bypass	ps2vnc_services.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	screen_fit_height	ps2vnc_services.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	screen_fit_offset_x	ps2vnc_services.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	screen_fit_offset_y	ps2vnc_services.o	CALIBRATION_CANDIDATE
MUTABLE_STATE	screen_fit_width	ps2vnc_services.o	CALIBRATION_CANDIDATE
FUNCTION	hires_bg_is_field_separated	ps2vnc_framebuffer.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	hires_bg_storage_row	ps2vnc_framebuffer.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_display_create	ps2vnc_calibration_tail.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_display_flip	ps2vnc_calibration_tail.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_effective_width	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_mapped_storage_row	ps2vnc_framebuffer.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_requires_raster_mapping	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_requires_vertical_mapping	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_storage_bytes	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_storage_height	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_hires_storage_width	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	ps2vnc_update_mapped_hires_dirty_buffer	ps2vnc_framebuffer_tail.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	publish_hires_background	ps2vnc_framebuffer_tail.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	sync_copy_hires_dirty_rows	ps2vnc_framebuffer.o	PLATFORM_GRAPHICS_CANDIDATE
MUTABLE_STATE	hires_bg_back_buffer	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
MUTABLE_STATE	hires_bg_buffer	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
MUTABLE_STATE	hires_bg_configured	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
MUTABLE_STATE	hires_mapped_source_framebuffer	ps2vnc_runtime.o	PLATFORM_GRAPHICS_CANDIDATE
FUNCTION	probe_extended_desktop_size	ps2vnc_framebuffer.o	RFB_RESIZE_CANDIDATE
FUNCTION	recover_rfb_transport_for_display_rollback	ps2vnc_services.o	RFB_RESIZE_CANDIDATE
FUNCTION	set_raw_extended_desktop_encoding	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_height	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_reason	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_result	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_screen_count	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_seen	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_extended_desktop_width	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_flags	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_height	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_id	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_width	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_x	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_first_screen_y	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_resize_expected_height	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
MUTABLE_STATE	rfb_resize_expected_width	ps2vnc_runtime_tail.o	RFB_RESIZE_CANDIDATE
FUNCTION	display_confirm_arm_transaction	ps2vnc_runtime_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_confirm_disarm_transaction	ps2vnc_runtime_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_confirm_remaining_seconds	ps2vnc_runtime_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_confirm_return_to_active_menu	ps2vnc_runtime_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_first_visible_selection	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_move_horizontal_selection	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_move_vertical_selection	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_normalize_selection	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_open_for_active	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_selection_for_mode	ps2vnc_runtime.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	display_menu_tab_for_mode	ps2vnc_ui_display.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	osk_display_char	ps2vnc_runtime_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_apply_display	ps2vnc_services.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_get_display_for_mode	ps2vnc_services.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_parse_display_for_mode	ps2vnc_services.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_parse_display_policy.constprop.0	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_parse_display_section	ps2vnc_services.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_config_parse_startup_mode.constprop.0	ps2vnc_services.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_begin_update	ps2vnc_framebuffer.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_commit_update	ps2vnc_framebuffer_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_destroy	ps2vnc_calibration_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_direct_write_cancel	ps2vnc_framebuffer.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_direct_write_row	ps2vnc_framebuffer.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_finish_draw	ps2vnc_calibration_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_finish_update_decode	ps2vnc_framebuffer.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_output_x	ps2vnc_runtime.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_output_y	ps2vnc_runtime.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_policy_hide_to_pi	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_policy_lock_to_pi	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_policy_refresh_from_pi	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_prepare_osk	ps2vnc_calibration_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_profile_capture_active	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_profile_resolve_candidate	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
FUNCTION	ps2vnc_display_profile_valid	ps2vnc_management_tail.o	UNCLASSIFIED_VIDEO_NEIGHBORHOOD
