consumer	provider	symbol
ps2vnc_calibration_tail.o	ps2vnc_framebuffer.o	ps2vnc_display_direct_write_cancel
ps2vnc_calibration_tail.o	ps2vnc_framebuffer_tail.o	ps2vnc_display_publish_full_desktop
ps2vnc_calibration_tail.o	ps2vnc_framebuffer_tail.o	publish_hires_background
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_x
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_display_output_y
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_effective_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_requires_raster_mapping
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_bytes
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_height
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_hires_storage_width
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_default_backend
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	ps2vnc_video_mode_supports_backend
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	region_fits_u32
ps2vnc_calibration_tail.o	ps2vnc_runtime.o	screenf
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	request_and_confirm_desktop_size
ps2vnc_calibration_tail.o	ps2vnc_runtime_tail.o	set_raw_extended_desktop_encoding
ps2vnc_calibration_tail.o	ps2vnc_services.o	debug_emit_geometry_snapshot
ps2vnc_calibration_tail.o	ps2vnc_services.o	ps2vnc_display_save_to_pi
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_apply_preset
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_clamp_interactive
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_geometry_valid
ps2vnc_calibration_tail.o	ps2vnc_services.o	screen_fit_prim_sprite
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_create
ps2vnc_display.o	ps2vnc_calibration_tail.o	ps2vnc_display_destroy
