object	mutability	type	size_hex	symbol
ps2ip.o	MUTABLE	B	00000020	startup_authoritative_display_profile
ps2ip.o	MUTABLE	B	00000004	startup_authoritative_display_profile_loaded
ps2ip.o	MUTABLE	B	00000020	startup_confirmed_display_profile
ps2ip.o	MUTABLE	B	00000004	startup_confirmed_display_profile_loaded
ps2ip.o	MUTABLE	B	00000004	startup_display_commit_finish_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restore_ack_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restore_required
ps2ip.o	MUTABLE	B	00000004	startup_display_restored_mark_required
ps2ip.o	MUTABLE	B	00000044	startup_display_transaction
ps2ip.o	MUTABLE	B	00000004	startup_display_transaction_loaded
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_desktop_height.14
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_desktop_width.15
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_height.16
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_output_width.17
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_storage_height.18
ps2vnc_framebuffer_tail.o	MUTABLE	b	00000004	cached_storage_width.19
ps2vnc_runtime.o	MUTABLE	B	00000004	active_display_backend
ps2vnc_runtime.o	MUTABLE	D	00000004	active_video_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_geometry_locked
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_height
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_output_height
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_output_width
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_output_x
ps2vnc_runtime.o	MUTABLE	B	00000004	desktop_output_y
ps2vnc_runtime.o	MUTABLE	D	00000004	desktop_width
ps2vnc_runtime.o	MUTABLE	B	00000004	display_calibration_request
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_action
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_pending
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_backend
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_desktop_h
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_desktop_w
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_h
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_full_bypass
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_height
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_offset_x
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_offset_y
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_screen_fit_width
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_w
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_x
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_previous_y
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_seconds
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_selection
ps2vnc_runtime.o	MUTABLE	B	00000008	display_confirm_started_tick
ps2vnc_runtime.o	MUTABLE	B	00000004	display_confirm_visible
ps2vnc_runtime.o	MUTABLE	B	00000004	display_hide_locked_modes
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_error
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_parent_system
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_selection
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_tab
ps2vnc_runtime.o	MUTABLE	D	0000000c	display_menu_tab_selection
ps2vnc_runtime.o	MUTABLE	B	00000004	display_menu_visible
ps2vnc_runtime.o	MUTABLE	B	00000016	display_mode_locked
ps2vnc_runtime.o	MUTABLE	B	00000004	display_mode_request
ps2vnc_runtime.o	MUTABLE	B	00000004	display_mode_request_remote
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_error
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_loaded
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_request
ps2vnc_runtime.o	MUTABLE	D	00000004	display_policy_request_selection
ps2vnc_runtime.o	MUTABLE	B	00000004	display_policy_request_value
ps2vnc_runtime.o	MUTABLE	B	00000004	display_restore_ack_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	display_restore_ack_request
ps2vnc_runtime.o	MUTABLE	B	00000004	display_restore_ack_visible
ps2vnc_runtime.o	MUTABLE	B	00000004	display_switch_failure_stage
ps2vnc_runtime.o	MUTABLE	B	00000004	display_transition_switch_in_progress
ps2vnc_runtime.o	MUTABLE	B	00000004	force_screen_fit_calibration
ps2vnc_runtime.o	MUTABLE	B	00000004	hires_bg_back_buffer
ps2vnc_runtime.o	MUTABLE	B	00000004	hires_bg_buffer
ps2vnc_runtime.o	MUTABLE	B	00000004	hires_bg_configured
ps2vnc_runtime.o	MUTABLE	B	00000004	hires_mapped_source_framebuffer
ps2vnc_runtime.o	MUTABLE	B	00000004	live_direct_present_buffer
ps2vnc_runtime.o	MUTABLE	B	00000004	live_direct_present_safe
ps2vnc_runtime.o	MUTABLE	B	00000008	profile_present_sync_ticks
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_baseline_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_error_code
ps2vnc_runtime.o	MUTABLE	B	00000008	remote_display_last_poll_tick
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_lease_seconds
ps2vnc_runtime.o	MUTABLE	B	00000008	remote_display_lease_started_tick
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_requested_mode
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_state
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_suppress_next_active_menu_return
ps2vnc_runtime.o	MUTABLE	B	00000004	remote_display_txid
ps2vnc_runtime.o	MUTABLE	B	00000004	screen_row
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_height
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_reason
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_result
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_screen_count
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_seen
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_extended_desktop_width
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_first_screen_flags
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_first_screen_height
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_first_screen_id
ps2vnc_runtime_tail.o	MUTABLE	B	00000004	rfb_first_screen_width
