object	nm_symbol	canonical_symbol	occurrence_count	locations
ps2ip.o	startup_authoritative_display_profile	startup_authoritative_display_profile	12	ps2ip.c:29,ps2vnc_calibration_core.inc:173,ps2vnc_calibration_core.inc:175,ps2vnc_calibration_core.inc:287,ps2vnc_calibration_core.inc:325,ps2vnc_calibration_core.inc:326,ps2vnc_calibration_core.inc:327,ps2vnc_calibration_core.inc:400,ps2vnc_calibration_core.inc:443,ps2vnc_calibration_core.inc:1150,ps2vnc_display_core.inc:612,ps2vnc_services_imports.h:38
ps2ip.o	startup_authoritative_display_profile_loaded	startup_authoritative_display_profile_loaded	8	ps2ip.c:31,ps2vnc_calibration_core.inc:165,ps2vnc_calibration_core.inc:288,ps2vnc_calibration_core.inc:322,ps2vnc_calibration_core.inc:423,ps2vnc_calibration_core.inc:1134,ps2vnc_display_core.inc:606,ps2vnc_services_imports.h:39
ps2ip.o	startup_confirmed_display_profile	startup_confirmed_display_profile	13	ps2ip.c:25,ps2vnc_calibration_core.inc:194,ps2vnc_calibration_core.inc:210,ps2vnc_calibration_core.inc:213,ps2vnc_calibration_core.inc:235,ps2vnc_calibration_core.inc:252,ps2vnc_calibration_core.inc:268,ps2vnc_calibration_core.inc:1191,ps2vnc_calibration_core.inc:1198,ps2vnc_calibration_core.inc:1313,ps2vnc_calibration_core.inc:1315,ps2vnc_calibration_core.inc:1459,ps2vnc_services_imports.h:40
ps2ip.o	startup_confirmed_display_profile_loaded	startup_confirmed_display_profile_loaded	11	ps2ip.c:27,ps2vnc_calibration_core.inc:191,ps2vnc_calibration_core.inc:208,ps2vnc_calibration_core.inc:233,ps2vnc_calibration_core.inc:250,ps2vnc_calibration_core.inc:266,ps2vnc_calibration_core.inc:1189,ps2vnc_calibration_core.inc:1196,ps2vnc_calibration_core.inc:1310,ps2vnc_calibration_core.inc:1466,ps2vnc_services_imports.h:41
ps2ip.o	startup_display_commit_finish_required	startup_display_commit_finish_required	7	ps2ip.c:40,ps2vnc_calibration_core.inc:167,ps2vnc_calibration_core.inc:221,ps2vnc_display_core.inc:628,ps2vnc_display_core.inc:641,ps2vnc_display_core.inc:656,ps2vnc_services_imports.h:42
ps2ip.o	startup_display_restore_ack_required	startup_display_restore_ack_required	9	ps2ip.c:43,ps2vnc_calibration_core.inc:170,ps2vnc_calibration_core.inc:245,ps2vnc_calibration_core.inc:261,ps2vnc_calibration_core.inc:276,ps2vnc_display_core.inc:630,ps2vnc_display_core.inc:680,ps2vnc_display_core.inc:706,ps2vnc_services_imports.h:43
ps2ip.o	startup_display_restore_required	startup_display_restore_required	6	ps2ip.c:41,ps2vnc_calibration_core.inc:168,ps2vnc_calibration_core.inc:243,ps2vnc_calibration_core.inc:360,ps2vnc_calibration_core.inc:378,ps2vnc_services_imports.h:44
ps2ip.o	startup_display_restored_mark_required	startup_display_restored_mark_required	8	ps2ip.c:42,ps2vnc_calibration_core.inc:169,ps2vnc_calibration_core.inc:244,ps2vnc_calibration_core.inc:260,ps2vnc_display_core.inc:629,ps2vnc_display_core.inc:679,ps2vnc_display_core.inc:695,ps2vnc_services_imports.h:45
ps2ip.o	startup_display_transaction	startup_display_transaction	28	ps2ip.c:16,ps2vnc_calibration_core.inc:180,ps2vnc_calibration_core.inc:211,ps2vnc_calibration_core.inc:214,ps2vnc_calibration_core.inc:220,ps2vnc_calibration_core.inc:236,ps2vnc_calibration_core.inc:242,ps2vnc_calibration_core.inc:253,ps2vnc_calibration_core.inc:259,ps2vnc_calibration_core.inc:269,ps2vnc_calibration_core.inc:275,ps2vnc_calibration_core.inc:299,ps2vnc_calibration_core.inc:301,ps2vnc_calibration_core.inc:304,ps2vnc_calibration_core.inc:315,ps2vnc_calibration_core.inc:332,ps2vnc_calibration_core.inc:338,ps2vnc_calibration_core.inc:363,ps2vnc_calibration_core.inc:375,ps2vnc_calibration_core.inc:426,ps2vnc_calibration_core.inc:1137,ps2vnc_calibration_core.inc:1194,ps2vnc_calibration_core.inc:1199,ps2vnc_display_core.inc:608,ps2vnc_display_core.inc:624,ps2vnc_display_core.inc:657,ps2vnc_display_core.inc:696,ps2vnc_services_imports.h:46
ps2ip.o	startup_display_transaction_loaded	startup_display_transaction_loaded	11	ps2ip.c:18,ps2vnc_calibration_core.inc:177,ps2vnc_calibration_core.inc:296,ps2vnc_calibration_core.inc:310,ps2vnc_calibration_core.inc:357,ps2vnc_calibration_core.inc:425,ps2vnc_calibration_core.inc:438,ps2vnc_calibration_core.inc:1136,ps2vnc_calibration_core.inc:1147,ps2vnc_display_core.inc:603,ps2vnc_services_imports.h:47
