symbol	object	source_file	source_line	classification
debug_emit_geometry_snapshot	ps2vnc_services.o	ps2vnc_calibration_core.inc	1494	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
screen_fit_clamp_interactive	ps2vnc_services.o	ps2vnc_calibration_core.inc	1551	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
calculate_presented_desktop_geometry	ps2vnc_calibration_tail.o	ps2vnc_calibration_tail.inc	714	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
probe_extended_desktop_size	ps2vnc_framebuffer.o	ps2vnc_framebuffer_core.inc	976	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
screen_fit_geometry_valid_for_mode	ps2vnc_services.o	ps2vnc_management_core.inc	682	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
screen_fit_geometry_valid	ps2vnc_services.o	ps2vnc_management_core.inc	734	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
ps2vnc_config_parse_startup_mode.constprop.0	ps2vnc_services.o	ps2vnc_management_core.inc	869	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
display_mode_request_for_selection	ps2vnc_runtime.o	ps2vnc_runtime_core.inc	808	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
wait_pad_ready_after_mode_change	ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	377	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
set_raw_extended_desktop_encoding	ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	878	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
request_and_confirm_desktop_size	ps2vnc_runtime_tail.o	ps2vnc_runtime_tail.inc	995	HOST_TEST_CANDIDATE_REQUIRES_BODY_REVIEW
