symbol	file	line	text
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	889	if (active_display_backend != PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	974	if (active_display_backend != PS2VNC_BACKEND_STANDARD ||
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1034	if (active_display_backend != PS2VNC_BACKEND_HIRES &&
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1035	active_display_backend != PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1071	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1257	active_display_backend = backend;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1320	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1326	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1346	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1351	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1373	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1378	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1397	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1402	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1413	active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1417	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1419	active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1423	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1425	active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1546	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1550	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1578	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1581	if (active_display_backend != PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_display_core.inc	519	active_display_backend != previous_backend ||
active_display_backend	working/b4a/ps2vnc_framebuffer_core.inc	1107	return active_display_backend == PS2VNC_BACKEND_HIRES &&
active_display_backend	working/b4a/ps2vnc_framebuffer_core.inc	1137	if (active_display_backend == PS2VNC_BACKEND_HIRES &&
active_display_backend	working/b4a/ps2vnc_framebuffer_tail.inc	685	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_framebuffer_tail.inc	691	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_framebuffer_tail.inc	1041	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_framebuffer_tail.inc	1045	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_management_core.inc	501	* Do not alter active_display_backend here: the candidate GS object
active_display_backend	working/b4a/ps2vnc_management_tail.inc	68	active_display_backend == PS2VNC_BACKEND_NONE)
active_display_backend	working/b4a/ps2vnc_management_tail.inc	72	profile->backend = active_display_backend;
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	32	ps2vnc_backend_t active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	202	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	205	} else if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	223	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	225	else if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_runtime_core.inc	240	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
