header	line	kind	text
ps2vnc_calibration_core_to_tail.h	12	MACRO	#define SCREEN_FIT_FINE_STEP            1
ps2vnc_calibration_core_to_tail.h	13	MACRO	#define SCREEN_FIT_FAST_STEP            4
ps2vnc_calibration_core_to_tail.h	14	MACRO	#define SCREEN_FIT_BORDER               4
ps2vnc_calibration_core_to_tail.h	15	MACRO	#define SCREEN_FIT_CORNER_SIZE          56
ps2vnc_calibration_core_to_tail.h	16	MACRO	#define SCREEN_FIT_REPEAT_DELAY_POLLS  18
ps2vnc_calibration_core_to_tail.h	17	MACRO	#define SCREEN_FIT_REPEAT_POLLS         4
ps2vnc_calibration_core_to_tail.h	18	MACRO	#define SCREEN_FIT_START_WIDTH   (OUTPUT_WIDTH)
ps2vnc_calibration_core_to_tail.h	19	MACRO	#define SCREEN_FIT_START_HEIGHT  (OUTPUT_HEIGHT)
ps2vnc_calibration_core_to_tail.h	20	MACRO	#define SCREEN_FIT_ACTION_MOVE   0x10000u
ps2vnc_calibration_core_to_tail.h	22	EXTERN	extern int ps2vnc_display_save_to_pi (int width, int height, int offset_x, int offset_y);
ps2vnc_calibration_core_to_tail.h	23	EXTERN	extern void screen_fit_clamp_interactive (int *width, int *height, int *offset_x, int *offset_y);
ps2vnc_calibration_core_to_tail.h	24	EXTERN	extern int screen_fit_geometry_valid (int width, int height, int offset_x, int offset_y);
ps2vnc_calibration_core_to_tail.h	25	EXTERN	extern void screen_fit_prim_sprite (GSGLOBAL *g, int x0, int y0, int x1, int y1, int z, u64 color);
ps2vnc_display_core_to_tail.h	2	MACRO	#define PS2VNC_DISPLAY_CORE_TO_TAIL_H
ps2vnc_display_core_to_tail.h	11	EXTERN	extern int ps2vnc_global_rollback_display_transaction (int old_sock, int transport_dirty, short unsigned int *rfb_framebuffer, short unsigned int *gs_framebuffer, GSGLOBAL **display, GSTEXTURE *tex, GSTEXTURE *osk_tex);
ps2vnc_display_core_to_tail.h	13	EXTERN	extern void ps2vnc_remote_display_fail (unsigned int error_code);
ps2vnc_display_core_to_tail.h	14	EXTERN	extern int ps2vnc_remote_display_lease_expired (void);
ps2vnc_display_core_to_tail.h	16	EXTERN	extern int ps2vnc_startup_finalize_display_transaction (void);
