file	start_line	end_line	function	geometry_score	signals	local_calls
src/config/text.c	8	14	pstvnc_config_trim_left	0		
src/config/text.c	17	28	pstvnc_config_trim_right	0		
src/config/text.c	31	151	pstvnc_config_parse_int	0		
src/config/text.c	154	177	pstvnc_config_parse_bool	0		
src/video/geometry.c	6	27	pstvnc_video_geometry_rect_fits	1	DIMENSIONS	
src/video/geometry.c	29	90	pstvnc_video_geometry_safe_area_valid	2	DIMENSIONS,OFFSETS_CENTERING	
src/video/geometry.c	92	140	pstvnc_video_geometry_safe_area_rect	2	DIMENSIONS,OFFSETS_CENTERING	pstvnc_video_geometry_rect_fits,pstvnc_video_geometry_safe_area_valid
src/video/geometry.c	142	193	pstvnc_video_geometry_presented_rect	2	SAFE_PRESENTATION,DIMENSIONS	pstvnc_video_geometry_rect_fits
src/video/mode.c	268	276	pstvnc_video_mode_supports_backend	0		
src/video/mode.c	278	289	pstvnc_video_mode_default_backend	0		pstvnc_video_mode_supports_backend
src/video/mode.c	291	305	pstvnc_video_mode_by_name	0		
working/b4a/ps2vnc_calibration_core.inc	5	84	ps2vnc_display_tx_parse	0		ps2vnc_display_tx_parse_profile,ps2vnc_display_tx_profiles_equal,ps2vnc_display_tx_take_line
working/b4a/ps2vnc_calibration_core.inc	87	127	ps2vnc_display_transaction_fetch_from_pi	0		ps2vnc_display_tx_parse,ps2vnc_management_get
working/b4a/ps2vnc_calibration_core.inc	130	152	ps2vnc_display_tx_state_name	0		
working/b4a/ps2vnc_calibration_core.inc	163	293	ps2vnc_display_transaction_select_startup_authority	0		ps2vnc_display_profile_valid,ps2vnc_display_tx_profiles_equal,screenf
working/b4a/ps2vnc_calibration_core.inc	296	344	ps2vnc_display_transaction_startup_preflight	0		ps2vnc_display_transaction_fetch_from_pi,ps2vnc_display_transaction_select_startup_authority,ps2vnc_display_tx_state_name,screenf
working/b4a/ps2vnc_calibration_core.inc	357	385	ps2vnc_startup_prepare_display_transaction	0		ps2vnc_display_transaction_restore_to_pi,screenf
working/b4a/ps2vnc_calibration_core.inc	405	675	ps2vnc_startup_connect_reconciled	0	DISPLAY_MODE,FRAMEBUFFER_RFB,GS_TRANSPORT	ethGetNetIFLinkStatus,initial_rfb_connect_with_retry,probe_extended_desktop_size,receive_framebuffer_update,request_and_confirm_desktop_size,request_framebuffer,reset_rfb_transport_state,rfb_connect_and_handshake_limited,screenf,set_gs555_pixel_format,set_raw_encoding
working/b4a/ps2vnc_calibration_core.inc	689	795	ps2vnc_startup_mode_save_to_pi	0		ps2vnc_http_find_header_end,ps2vnc_http_status_is_200,pstvnc_video_mode_by_name,send_exact
working/b4a/ps2vnc_calibration_core.inc	798	987	ps2vnc_display_save_to_pi	2	DIMENSIONS,OFFSETS_CENTERING,DISPLAY_MODE,CALIBRATION	ps2vnc_http_find_header_end,ps2vnc_http_status_is_200,screen_fit_geometry_valid,send_exact
working/b4a/ps2vnc_calibration_core.inc	995	1023	ps2vnc_config_get_display_for_mode	0		ps2vnc_config_parse_display_for_mode,ps2vnc_management_get
working/b4a/ps2vnc_calibration_core.inc	1032	1071	ps2vnc_config_presented_geometry_for_mode	2	SAFE_PRESENTATION,DIMENSIONS,MANAGEMENT_CONFIG	pstvnc_video_geometry_presented_rect,pstvnc_video_geometry_safe_area_rect
working/b4a/ps2vnc_calibration_core.inc	1093	1265	ps2vnc_startup_apply_authoritative_profile	0	DISPLAY_MODE,MANAGEMENT_CONFIG	calculate_presented_desktop_geometry,ps2vnc_backend_transaction_name,ps2vnc_config_apply_display,ps2vnc_config_get_display_for_mode,ps2vnc_config_presented_geometry_for_mode,ps2vnc_display_profile_resolve_candidate,ps2vnc_display_profile_valid,ps2vnc_display_tx_profiles_equal,pstvnc_video_mode_default_backend,screenf
working/b4a/ps2vnc_calibration_core.inc	1269	1457	ps2vnc_config_load_from_pi	0	DISPLAY_MODE,MANAGEMENT_CONFIG	ps2vnc_config_apply_display,ps2vnc_config_parse_display_for_mode,ps2vnc_config_parse_startup_mode,ps2vnc_config_presented_geometry_for_mode,ps2vnc_display_profile_resolve_candidate,ps2vnc_management_get,screenf
working/b4a/ps2vnc_calibration_core.inc	1466	1506	debug_emit_geometry_snapshot	0	FRAMEBUFFER_RFB,CALIBRATION	
working/b4a/ps2vnc_calibration_core.inc	1515	1560	screen_fit_clamp_interactive	2	DIMENSIONS,OFFSETS_CENTERING,CALIBRATION	
working/b4a/ps2vnc_calibration_core.inc	1568	1571	screen_fit_draw_x	0	CALIBRATION	ps2vnc_display_output_x
working/b4a/ps2vnc_calibration_core.inc	1573	1576	screen_fit_draw_y	0	CALIBRATION	ps2vnc_display_output_y
working/b4a/ps2vnc_calibration_core.inc	1578	1584	screen_fit_prim_sprite	0	CALIBRATION,GS_TRANSPORT	screen_fit_draw_x,screen_fit_draw_y
working/b4a/ps2vnc_calibration_tail.inc	3	36	screen_fit_prim_sprite_clipped	0	CALIBRATION,GS_TRANSPORT	screen_fit_prim_sprite
working/b4a/ps2vnc_calibration_tail.inc	38	68	screen_fit_draw_char	1	SCALING_ASPECT,CALIBRATION,GS_TRANSPORT	osk_find_glyph,screen_fit_prim_sprite
working/b4a/ps2vnc_calibration_tail.inc	71	94	screen_fit_draw_text_centered	1	SCALING_ASPECT,CALIBRATION,GS_TRANSPORT	screen_fit_draw_char
working/b4a/ps2vnc_calibration_tail.inc	110	209	screen_fit_draw_corner_marker	0	CALIBRATION,GS_TRANSPORT	screen_fit_prim_sprite
