file	start_line	caller	geometry_calls
src/video/geometry.c	92	pstvnc_video_geometry_safe_area_rect	pstvnc_video_geometry_safe_area_valid
working/b4a/ps2vnc_calibration_core.inc	1032	ps2vnc_config_presented_geometry_for_mode	pstvnc_video_geometry_presented_rect,pstvnc_video_geometry_safe_area_rect
working/b4a/ps2vnc_calibration_core.inc	1093	ps2vnc_startup_apply_authoritative_profile	calculate_presented_desktop_geometry,ps2vnc_config_presented_geometry_for_mode
working/b4a/ps2vnc_calibration_core.inc	1269	ps2vnc_config_load_from_pi	ps2vnc_config_presented_geometry_for_mode
working/b4a/ps2vnc_calibration_tail.inc	707	calculate_safe_desktop_geometry	pstvnc_video_geometry_safe_area_rect
working/b4a/ps2vnc_calibration_tail.inc	749	calculate_presented_desktop_geometry	calculate_safe_desktop_geometry,pstvnc_video_geometry_presented_rect
working/b4a/ps2vnc_calibration_tail.inc	1003	ps2vnc_run_runtime_calibration	calculate_presented_desktop_geometry
working/b4a/ps2vnc_display_tail.inc	1	display_live_desktop	calculate_presented_desktop_geometry,ps2vnc_config_presented_geometry_for_mode
working/b4a/ps2vnc_management_core.inc	668	screen_fit_geometry_valid_for_mode	pstvnc_video_geometry_safe_area_valid
working/b4a/ps2vnc_management_core.inc	691	screen_fit_geometry_valid	screen_fit_geometry_valid_for_mode
working/b4a/ps2vnc_management_core.inc	948	ps2vnc_config_parse_display_section	screen_fit_geometry_valid_for_mode
