file	start_line	end_line	function	geometry_score	signals	local_calls
src/video/geometry.c	29	90	pstvnc_video_geometry_safe_area_valid	2	DIMENSIONS,OFFSETS_CENTERING	
src/video/geometry.c	92	140	pstvnc_video_geometry_safe_area_rect	2	DIMENSIONS,OFFSETS_CENTERING	pstvnc_video_geometry_rect_fits,pstvnc_video_geometry_safe_area_valid
src/video/geometry.c	142	193	pstvnc_video_geometry_presented_rect	2	SAFE_PRESENTATION,DIMENSIONS	pstvnc_video_geometry_rect_fits
working/b4a/ps2vnc_calibration_core.inc	798	987	ps2vnc_display_save_to_pi	2	DIMENSIONS,OFFSETS_CENTERING,DISPLAY_MODE,CALIBRATION	ps2vnc_http_find_header_end,ps2vnc_http_status_is_200,screen_fit_geometry_valid,send_exact
working/b4a/ps2vnc_calibration_core.inc	1032	1071	ps2vnc_config_presented_geometry_for_mode	2	SAFE_PRESENTATION,DIMENSIONS,MANAGEMENT_CONFIG	pstvnc_video_geometry_presented_rect,pstvnc_video_geometry_safe_area_rect
working/b4a/ps2vnc_calibration_core.inc	1515	1560	screen_fit_clamp_interactive	2	DIMENSIONS,OFFSETS_CENTERING,CALIBRATION	
working/b4a/ps2vnc_calibration_tail.inc	211	408	draw_screen_fit_calibration	2	DIMENSIONS,OFFSETS_CENTERING,CALIBRATION,GS_TRANSPORT,UI	ps2vnc_display_finish_draw,ps2vnc_display_flip,screen_fit_draw_corner_marker,screen_fit_draw_text_centered,screen_fit_prim_sprite,screen_fit_prim_sprite_clipped
working/b4a/ps2vnc_calibration_tail.inc	411	691	run_screen_fit_calibration	2	DIMENSIONS,OFFSETS_CENTERING,FRAMEBUFFER_RFB,CALIBRATION,GS_TRANSPORT,UI	draw_screen_fit_calibration,ps2vnc_display_save_to_pi,screen_fit_apply_preset,screen_fit_clamp_interactive,screenf
working/b4a/ps2vnc_calibration_tail.inc	707	738	calculate_safe_desktop_geometry	2	SAFE_PRESENTATION,DIMENSIONS,DISPLAY_MODE,CALIBRATION	pstvnc_video_geometry_safe_area_rect
working/b4a/ps2vnc_calibration_tail.inc	749	779	calculate_presented_desktop_geometry	2	SAFE_PRESENTATION,DIMENSIONS,DISPLAY_MODE	calculate_safe_desktop_geometry,pstvnc_video_geometry_presented_rect
