file	line	function	classification	mutable_state_refs	calibration_refs	platform_refs	rfb_refs	ui_refs
working/b4a/ps2vnc_calibration_core.inc	161	ps2vnc_display_transaction_select_startup_authority	CALIBRATION_COUPLED	-	YES	NO	NO	NO
working/b4a/ps2vnc_calibration_tail.inc	209	draw_screen_fit_calibration	PLATFORM_COUPLED	-	YES	YES	NO	YES
working/b4a/ps2vnc_display_tail.inc	1451	main	PLATFORM_COUPLED	-	YES	YES	YES	YES
working/b4a/ps2vnc_framebuffer_tail.inc	531	ps2vnc_display_commit_update_hires	PLATFORM_COUPLED	-	NO	YES	YES	NO
working/b4a/ps2vnc_runtime_tail.inc	989	request_and_confirm_desktop_size	PLATFORM_COUPLED	-	NO	YES	YES	NO
working/b4a/ps2vnc_calibration_core.inc	294	ps2vnc_display_transaction_startup_preflight	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_calibration_core.inc	1030	ps2vnc_config_presented_geometry_for_mode	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_calibration_core.inc	1538	screen_fit_clamp_interactive	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_calibration_tail.inc	705	calculate_safe_desktop_geometry	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_calibration_tail.inc	766	calculate_presented_desktop_geometry	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_core.inc	666	screen_fit_geometry_valid_for_mode	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_core.inc	750	screen_fit_apply_preset	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_core.inc	985	ps2vnc_config_parse_display_section	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	1	ps2vnc_display_profile_valid	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	92	ps2vnc_display_profile_resolve_candidate	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	248	ps2vnc_display_transaction_begin_to_pi	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	1511	ps2vnc_display_tx_parse_profile	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_management_tail.inc	1572	ps2vnc_display_tx_profiles_equal	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_tail.inc	240	display_confirm_disarm_transaction	PURE_GEOMETRY_CANDIDATE	-	NO	NO	NO	NO
working/b4a/ps2vnc_calibration_core.inc	403	ps2vnc_startup_connect_reconciled	STATEFUL_GEOMETRY	active_video_mode,desktop_width,desktop_height,desktop_geometry_locked	YES	YES	YES	NO
working/b4a/ps2vnc_calibration_core.inc	796	ps2vnc_display_save_to_pi	STATEFUL_GEOMETRY	active_video_mode	YES	NO	YES	NO
working/b4a/ps2vnc_calibration_core.inc	1116	ps2vnc_startup_apply_authoritative_profile	STATEFUL_GEOMETRY	active_video_mode	YES	NO	YES	NO
working/b4a/ps2vnc_calibration_core.inc	1292	ps2vnc_config_load_from_pi	STATEFUL_GEOMETRY	active_video_mode	YES	NO	NO	NO
working/b4a/ps2vnc_calibration_core.inc	1489	debug_emit_geometry_snapshot	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_output_x,desktop_output_y	YES	NO	NO	NO
working/b4a/ps2vnc_calibration_tail.inc	409	run_screen_fit_calibration	STATEFUL_GEOMETRY	desktop_width,desktop_height	YES	YES	NO	YES
