occurrences	identifier
84	desktop_width
69	desktop_height
34	offset_x
34	offset_y
32	desktop_output_x
32	desktop_output_y
22	logical_height
22	logical_width
21	desktop_geometry_locked
18	desktop_output_height
18	desktop_output_width
16	desktop_pressed
14	raster_height
13	ps2vnc_hires_requires_raster_mapping
13	raster_width
12	screen_fit_offset_x
12	screen_fit_offset_y
9	display_calibration_request
9	hotkey_desktop_session
9	rfb_extended_desktop_height
9	rfb_extended_desktop_width
8	desktop_changed
7	HOTKEY_CONTEXT_DESKTOP
7	calculate_presented_desktop_geometry
7	desktop_name
7	force_screen_fit_calibration
7	request_and_confirm_desktop_size
7	rfb_extended_desktop_seen
6	debug_emit_geometry_snapshot
6	desktop_context
6	desktop_hotkey_context
6	display_confirm_previous_desktop_h
6	display_confirm_previous_desktop_w
6	display_confirm_previous_screen_fit_offset_x
6	display_confirm_previous_screen_fit_offset_y
6	previous_screen_fit_offset_x
6	previous_screen_fit_offset_y
6	probe_extended_desktop_size
6	raster_y
6	rfb_extended_desktop_reason
6	rfb_extended_desktop_result
6	rfb_extended_desktop_screen_count
5	expected_logical_h
5	expected_logical_w
5	logical_h
5	logical_w
5	ps2vnc_config_presented_geometry_for_mode
5	screen_fit_geometry_valid
5	set_raw_extended_desktop_encoding
5	standard_logical_height
5	standard_logical_width
4	ps2vnc_display_draw_desktop
4	ps2vnc_display_logical_desktop_size
4	ps2vnc_display_prepare_desktop
4	ps2vnc_display_publish_full_desktop
4	run_screen_fit_calibration
4	screen_fit_geometry_valid_for_mode
3	PS2VNC_CONFIG_INVALID_GEOMETRY
3	RFB_ENCODING_EXTENDED_DESKTOP_SIZE
3	cached_desktop_height
3	cached_desktop_width
3	persist_calibration
3	previous_desktop_h
3	previous_desktop_w
3	ps2vnc_run_runtime_calibration
3	saved_geometry_locked
3	startup_force_calibration_requested
2	GS_SETREG_XYOFFSET_1
2	OffsetX
2	OffsetY
2	PS2VNC_CALIBRATION_CORE_TO_TAIL_H
2	calculate_safe_desktop_geometry
2	display_live_desktop
2	draw_screen_fit_calibration
2	gsKit_set_display_offset
2	ps2vnc_display_prepare_desktop_hires
2	ps2vnc_display_prepare_desktop_standard
2	ps2vnc_display_publish_full_desktop_hires
2	ps2vnc_display_publish_full_desktop_standard
2	ps2vnc_reconfigure_current_desktop_hires
2	ps2vnc_reconfigure_current_desktop_standard
2	send_set_desktop_size_and_probe
2	standard_offset_x
2	standard_offset_y
1	GS_XYOFFSET_1
1	GS_XYOFFSET_2
1	StartYOffset
