symbol	file	line	source
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	451	target->mode != active_video_mode) {
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	499	desktop_geometry_locked = 0;
desktop_width	working/b4a/ps2vnc_calibration_core.inc	515	desktop_width = target_width;
desktop_height	working/b4a/ps2vnc_calibration_core.inc	516	desktop_height = target_height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	517	desktop_geometry_locked = 0;
desktop_width	working/b4a/ps2vnc_calibration_core.inc	525	desktop_width,
desktop_height	working/b4a/ps2vnc_calibration_core.inc	526	desktop_height);
desktop_width	working/b4a/ps2vnc_calibration_core.inc	568	(desktop_width != target_width ||
desktop_height	working/b4a/ps2vnc_calibration_core.inc	569	desktop_height != target_height)) {
desktop_width	working/b4a/ps2vnc_calibration_core.inc	573	desktop_width,
desktop_height	working/b4a/ps2vnc_calibration_core.inc	574	desktop_height,
desktop_width	working/b4a/ps2vnc_calibration_core.inc	597	desktop_width = target_width;
desktop_height	working/b4a/ps2vnc_calibration_core.inc	598	desktop_height = target_height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	599	desktop_geometry_locked = 1;
desktop_width	working/b4a/ps2vnc_calibration_core.inc	624	desktop_width = target_width;
desktop_height	working/b4a/ps2vnc_calibration_core.inc	625	desktop_height = target_height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	626	desktop_geometry_locked = 1;
desktop_width	working/b4a/ps2vnc_calibration_core.inc	631	if (desktop_width != target_width ||
desktop_height	working/b4a/ps2vnc_calibration_core.inc	632	desktop_height != target_height ||
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	633	!desktop_geometry_locked) {
desktop_width	working/b4a/ps2vnc_calibration_core.inc	643	desktop_width,
desktop_height	working/b4a/ps2vnc_calibration_core.inc	644	desktop_height);
desktop_width	working/b4a/ps2vnc_calibration_core.inc	659	desktop_width = target_width;
desktop_height	working/b4a/ps2vnc_calibration_core.inc	660	desktop_height = target_height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	661	desktop_geometry_locked = 0;
desktop_width	working/b4a/ps2vnc_calibration_core.inc	668	desktop_width = target_width;
desktop_height	working/b4a/ps2vnc_calibration_core.inc	669	desktop_height = target_height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_core.inc	670	desktop_geometry_locked = 0;
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	839	if (active_video_mode == NULL ||
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	840	active_video_mode->name == NULL)
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	851	active_video_mode->name,
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1026	* rectangle for its own video mode without changing active_video_mode or
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1160	* before active_video_mode is changed.
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1241	* screen_fit_apply_preset() validates against active_video_mode,
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1245	active_video_mode = target->mode;
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1259	active_video_mode = target->mode;
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1359	active_video_mode = startup_mode;
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1363	active_video_mode->name
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1371	active_video_mode->name
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1378	active_video_mode->name
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1386	active_video_mode,
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1447	active_video_mode,
active_video_mode	working/b4a/ps2vnc_calibration_core.inc	1454	active_video_mode,
desktop_width	working/b4a/ps2vnc_calibration_core.inc	1507	desktop_width,
desktop_height	working/b4a/ps2vnc_calibration_core.inc	1508	desktop_height,
desktop_output_x	working/b4a/ps2vnc_calibration_core.inc	1509	desktop_output_x,
desktop_output_y	working/b4a/ps2vnc_calibration_core.inc	1510	desktop_output_y,
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	458	if (desktop_width >
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	465	(int)desktop_width;
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	468	if (desktop_height >
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	475	(int)desktop_height;
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	874	* sizes its VRAM desktop texture from desktop_width/desktop_height, so
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	874	* sizes its VRAM desktop texture from desktop_width/desktop_height, so
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	889	if (active_display_backend != PS2VNC_BACKEND_HIRES)
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	904	if (desktop_width != width ||
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	905	desktop_height != height) {
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	920	desktop_width = width;
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	921	desktop_height = height;
desktop_output_x	working/b4a/ps2vnc_calibration_tail.inc	922	desktop_output_x = out_x;
desktop_output_y	working/b4a/ps2vnc_calibration_tail.inc	923	desktop_output_y = out_y;
desktop_output_width	working/b4a/ps2vnc_calibration_tail.inc	924	desktop_output_width = width;
desktop_output_height	working/b4a/ps2vnc_calibration_tail.inc	925	desktop_output_height = height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_tail.inc	926	desktop_geometry_locked = 1;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	974	if (active_display_backend != PS2VNC_BACKEND_STANDARD ||
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	975	active_video_mode == NULL ||
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	986	if (desktop_width != active_video_mode->standard_logical_width ||
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	986	if (desktop_width != active_video_mode->standard_logical_width ||
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	987	desktop_height != active_video_mode->standard_logical_height ||
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	987	desktop_height != active_video_mode->standard_logical_height ||
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	988	tex->Width != desktop_width ||
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	989	tex->Height != desktop_height)
desktop_output_x	working/b4a/ps2vnc_calibration_tail.inc	997	desktop_output_x = out_x;
desktop_output_y	working/b4a/ps2vnc_calibration_tail.inc	998	desktop_output_y = out_y;
desktop_output_width	working/b4a/ps2vnc_calibration_tail.inc	999	desktop_output_width = width;
desktop_output_height	working/b4a/ps2vnc_calibration_tail.inc	1000	desktop_output_height = height;
desktop_geometry_locked	working/b4a/ps2vnc_calibration_tail.inc	1001	desktop_geometry_locked = 1;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1034	if (active_display_backend != PS2VNC_BACKEND_HIRES &&
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1035	active_display_backend != PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1071	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1140	* on active_video_mode.
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1152	gsGlobal->Mode = active_video_mode->gs_mode;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1153	gsGlobal->Interlace = active_video_mode->interlace;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1154	gsGlobal->Field = active_video_mode->field;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1156	gsGlobal->Height = active_video_mode->hires_height;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1168	active_video_mode->hires_passes
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1187	if (active_video_mode == NULL ||
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1189	active_video_mode,
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1191	active_video_mode->standard_fb_width == 0 ||
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1192	active_video_mode->standard_fb_height == 0)
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1201	gsGlobal->Mode = active_video_mode->gs_mode;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1202	gsGlobal->Interlace = active_video_mode->interlace;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1203	gsGlobal->Field = active_video_mode->field;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1210	gsGlobal->Width = active_video_mode->standard_fb_width;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1211	gsGlobal->Height = active_video_mode->standard_fb_height;
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1228	active_video_mode->standard_offset_x,
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1229	active_video_mode->standard_offset_y);
active_video_mode	working/b4a/ps2vnc_calibration_tail.inc	1248	pstvnc_video_mode_default_backend(active_video_mode);
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1257	active_display_backend = backend;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1320	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1326	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1346	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1351	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1373	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1378	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1397	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1402	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1413	active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1417	if (active_display_backend == PS2VNC_BACKEND_HIRES) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1419	active_display_backend = PS2VNC_BACKEND_NONE;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1423	if (active_display_backend == PS2VNC_BACKEND_STANDARD) {
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1425	active_display_backend = PS2VNC_BACKEND_NONE;
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	1510	desktop_width == 0 ||
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	1511	desktop_height == 0)
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	1516	tex->Width = desktop_width;
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	1517	tex->Height = desktop_height;
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1546	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1550	if (active_display_backend == PS2VNC_BACKEND_STANDARD)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1578	if (active_display_backend == PS2VNC_BACKEND_HIRES)
active_display_backend	working/b4a/ps2vnc_calibration_tail.inc	1581	if (active_display_backend != PS2VNC_BACKEND_STANDARD)
desktop_width	working/b4a/ps2vnc_calibration_tail.inc	1584	if (tex->Width != desktop_width ||
desktop_height	working/b4a/ps2vnc_calibration_tail.inc	1585	tex->Height != desktop_height ||
desktop_output_x	working/b4a/ps2vnc_calibration_tail.inc	1589	x0 = ps2vnc_display_output_x((float)desktop_output_x);
desktop_output_y	working/b4a/ps2vnc_calibration_tail.inc	1590	y0 = ps2vnc_display_output_y((float)desktop_output_y);
desktop_output_x	working/b4a/ps2vnc_calibration_tail.inc	1593	(float)(desktop_output_x + desktop_output_width));
desktop_output_width	working/b4a/ps2vnc_calibration_tail.inc	1593	(float)(desktop_output_x + desktop_output_width));
desktop_output_y	working/b4a/ps2vnc_calibration_tail.inc	1595	(float)(desktop_output_y + desktop_output_height));
desktop_output_height	working/b4a/ps2vnc_calibration_tail.inc	1595	(float)(desktop_output_y + desktop_output_height));
active_video_mode	working/b4a/ps2vnc_display_core.inc	53	active_video_mode = mode;
desktop_width	working/b4a/ps2vnc_display_core.inc	80	if (desktop_width != logical_width ||
desktop_height	working/b4a/ps2vnc_display_core.inc	81	desktop_height != logical_height) {
desktop_width	working/b4a/ps2vnc_display_core.inc	94	desktop_width = logical_width;
desktop_height	working/b4a/ps2vnc_display_core.inc	95	desktop_height = logical_height;
desktop_output_x	working/b4a/ps2vnc_display_core.inc	96	desktop_output_x = out_x;
desktop_output_y	working/b4a/ps2vnc_display_core.inc	97	desktop_output_y = out_y;
desktop_output_width	working/b4a/ps2vnc_display_core.inc	98	desktop_output_width = width;
desktop_output_height	working/b4a/ps2vnc_display_core.inc	99	desktop_output_height = height;
desktop_geometry_locked	working/b4a/ps2vnc_display_core.inc	100	desktop_geometry_locked = 1;
active_video_mode	working/b4a/ps2vnc_display_core.inc	518	if (active_video_mode != previous_mode ||
active_display_backend	working/b4a/ps2vnc_display_core.inc	519	active_display_backend != previous_backend ||
desktop_width	working/b4a/ps2vnc_display_core.inc	520	desktop_width != previous_desktop_w ||
desktop_height	working/b4a/ps2vnc_display_core.inc	521	desktop_height != previous_desktop_h ||
desktop_output_x	working/b4a/ps2vnc_display_core.inc	522	desktop_output_x != previous_x ||
desktop_output_y	working/b4a/ps2vnc_display_core.inc	523	desktop_output_y != previous_y ||
desktop_output_width	working/b4a/ps2vnc_display_core.inc	524	desktop_output_width != previous_w ||
desktop_output_height	working/b4a/ps2vnc_display_core.inc	525	desktop_output_height != previous_h ||
active_video_mode	working/b4a/ps2vnc_display_core.inc	566	(mode != NULL) ? mode : active_video_mode;
active_video_mode	working/b4a/ps2vnc_display_core.inc	822	(active_video_mode != NULL &&
active_video_mode	working/b4a/ps2vnc_display_core.inc	823	active_video_mode->name != NULL)
active_video_mode	working/b4a/ps2vnc_display_core.inc	824	? active_video_mode->name
active_video_mode	working/b4a/ps2vnc_display_core.inc	1036	active_video_mode;
active_video_mode	working/b4a/ps2vnc_display_core.inc	1043	if (target == active_video_mode) {
active_video_mode	working/b4a/ps2vnc_display_core.inc	1200	active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_core.inc	1218	active_video_mode ?
active_video_mode	working/b4a/ps2vnc_display_core.inc	1219	active_video_mode->name : "?");
active_video_mode	working/b4a/ps2vnc_display_core.inc	1229	: active_video_mode);
desktop_width	working/b4a/ps2vnc_display_tail.inc	99	if (desktop_width != logical_w ||
desktop_height	working/b4a/ps2vnc_display_tail.inc	100	desktop_height != logical_h) {
desktop_width	working/b4a/ps2vnc_display_tail.inc	118	desktop_width = logical_w;
desktop_height	working/b4a/ps2vnc_display_tail.inc	119	desktop_height = logical_h;
desktop_output_x	working/b4a/ps2vnc_display_tail.inc	121	desktop_output_x = target_x;
desktop_output_y	working/b4a/ps2vnc_display_tail.inc	122	desktop_output_y = target_y;
desktop_output_width	working/b4a/ps2vnc_display_tail.inc	123	desktop_output_width = target_w;
desktop_output_height	working/b4a/ps2vnc_display_tail.inc	124	desktop_output_height = target_h;
desktop_geometry_locked	working/b4a/ps2vnc_display_tail.inc	128	desktop_geometry_locked = 1;
active_video_mode	working/b4a/ps2vnc_display_tail.inc	322	active_video_mode) {
active_video_mode	working/b4a/ps2vnc_display_tail.inc	383	target_mode != active_video_mode) {
active_video_mode	working/b4a/ps2vnc_display_tail.inc	386	display_menu_selection_for_mode(active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	411	display_menu_selection_for_mode(active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	456	active_video_mode->name);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	543	if (target_mode == active_video_mode) {
active_video_mode	working/b4a/ps2vnc_display_tail.inc	567	: active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	573	: active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	635	active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	676	active_video_mode);
active_video_mode	working/b4a/ps2vnc_display_tail.inc	692	active_video_mode,
desktop_output_x	working/b4a/ps2vnc_display_tail.inc	693	desktop_output_x,
desktop_output_y	working/b4a/ps2vnc_display_tail.inc	694	desktop_output_y,
desktop_output_width	working/b4a/ps2vnc_display_tail.inc	695	desktop_output_width,
desktop_output_height	working/b4a/ps2vnc_display_tail.inc	696	desktop_output_height,
active_video_mode	working/b4a/ps2vnc_display_tail.inc	869	active_video_mode->name,
desktop_geometry_locked	working/b4a/ps2vnc_display_tail.inc	1010	if (desktop_geometry_locked &&
desktop_output_x	working/b4a/ps2vnc_display_tail.inc	1012	desktop_output_x,
desktop_output_y	working/b4a/ps2vnc_display_tail.inc	1013	desktop_output_y,
desktop_output_width	working/b4a/ps2vnc_display_tail.inc	1014	desktop_output_width,
desktop_output_height	working/b4a/ps2vnc_display_tail.inc	1015	desktop_output_height,
desktop_output_x	working/b4a/ps2vnc_display_tail.inc	1019	safe_x0 = (float)desktop_output_x;
desktop_output_y	working/b4a/ps2vnc_display_tail.inc	1020	safe_y0 = (float)desktop_output_y;
desktop_output_width	working/b4a/ps2vnc_display_tail.inc	1021	safe_w = (float)desktop_output_width;
desktop_output_height	working/b4a/ps2vnc_display_tail.inc	1022	safe_h = (float)desktop_output_height;
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	49	(desktop_width >> 8) & 0xFF,
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	50	desktop_width & 0xFF,
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	51	(desktop_height >> 8) & 0xFF,
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	52	desktop_height & 0xFF
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	120	unsigned int base = (y + row) * desktop_width + x;
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	161	? &rfb_framebuffer[(ty + row) * desktop_width + tx]
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	172	(ty + row) * desktop_width + tx;
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	774	if (w != desktop_width ||
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	775	h != desktop_height) {
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	811	desktop_width,
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	812	desktop_height)) {
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	897	(y + row) * desktop_width + x
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	901	(y + row) * desktop_width + x
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	928	total_bytes != (desktop_width * desktop_height * 2)) {
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	928	total_bytes != (desktop_width * desktop_height * 2)) {
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	933	desktop_width * desktop_height * 2
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	933	desktop_width * desktop_height * 2
desktop_width	working/b4a/ps2vnc_framebuffer_core.inc	1020	if (rfb_extended_desktop_width != desktop_width ||
desktop_height	working/b4a/ps2vnc_framebuffer_core.inc	1021	rfb_extended_desktop_height != desktop_height) {
active_video_mode	working/b4a/ps2vnc_framebuffer_core.inc	1058	return active_video_mode->interlace == GS_INTERLACED &&
active_video_mode	working/b4a/ps2vnc_framebuffer_core.inc	1059	active_video_mode->field == GS_FRAME;
active_display_backend	working/b4a/ps2vnc_framebuffer_core.inc	1107	return active_display_backend == PS2VNC_BACKEND_HIRES &&
