RECEIVER_START	receive_epoch_ms=1788139811418	receive_monotonic_ns=37914997711728	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788139902716	receive_monotonic_ns=38006296216941	src=192.168.50.2:62511	payload=PS2VNC_ID version=1 test=M4I-C2-HW2 digest=0366569620c55b9657523032173d64fdddb744547fdbbf96e3edc105bacdb033
TELEMETRY	receive_epoch_ms=1788139902716	receive_monotonic_ns=38006296425329	src=192.168.50.2:62511	payload=DBG frame=0 stage=NET_READY(1) bytes=0 msg=0 rect=0/0 xywh=0,0,0,0 enc=00000000 ctl=0 cerr=0 osk=0 hdr=000000000000000000000000 hs=0/0 hav=0 he=0/0 rn=0 rc=0 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139902930	receive_monotonic_ns=38006509657909	src=192.168.50.2:62511	payload=GEOM fit=702x476@3,-2 full=0 desk=704x462 out=12,0 cfg=1 force=0
TELEMETRY	receive_epoch_ms=1788139903371	receive_monotonic_ns=38006951396755	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=18 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139903669	receive_monotonic_ns=38007249050184	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=36 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139903962	receive_monotonic_ns=38007541906575	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=54 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139904260	receive_monotonic_ns=38007839910780	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=71 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139904553	receive_monotonic_ns=38008132903669	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=89 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139904851	receive_monotonic_ns=38008430705153	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=107 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788139905150	receive_monotonic_ns=38008729846483	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=297,234,15,21 enc=00000000 ctl=124 cerr=0 osk=0 hdr=012900ea000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
