RECEIVER_START	receive_epoch_ms=1788142714770	receive_monotonic_ns=40818349942098	listen=192.168.50.1:5999
TELEMETRY	receive_epoch_ms=1788142794487	receive_monotonic_ns=40898067460675	src=192.168.50.2:62511	payload=PS2VNC_ID version=1 test=M4I-FINAL-HW1 digest=071b3a7edaa1313b7e342a2c10533aa85ebbea7146543e61b3f10095ef6617ea
TELEMETRY	receive_epoch_ms=1788142794488	receive_monotonic_ns=40898067650693	src=192.168.50.2:62511	payload=DBG frame=0 stage=NET_READY(1) bytes=0 msg=0 rect=0/0 xywh=0,0,0,0 enc=00000000 ctl=0 cerr=0 osk=0 hdr=000000000000000000000000 hs=0/0 hav=0 he=0/0 rn=0 rc=0 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142794701	receive_monotonic_ns=40898281553326	src=192.168.50.2:62511	payload=GEOM fit=702x476@3,-2 full=0 desk=704x462 out=12,0 cfg=1 force=0
TELEMETRY	receive_epoch_ms=1788142795143	receive_monotonic_ns=40898723439269	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=19 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142795442	receive_monotonic_ns=40899021710117	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=36 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142795733	receive_monotonic_ns=40899313072617	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=54 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142796031	receive_monotonic_ns=40899611134744	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=72 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142796323	receive_monotonic_ns=40899903348164	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=89 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142796620	receive_monotonic_ns=40900200359409	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=107 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
TELEMETRY	receive_epoch_ms=1788142796917	receive_monotonic_ns=40900496927378	src=192.168.50.2:62511	payload=DBG frame=1 stage=WAIT_RFB(14) bytes=0 msg=0 rect=9/9 xywh=350,229,15,21 enc=00000000 ctl=124 cerr=0 osk=0 hdr=015e00e5000f001500000000 hs=522/1164 hav=642 he=534/1164 rn=1164 rc=923 hkm=0000 hks=0/0 hka=0 hkt=0 hhp=0 hcd=0 hkl=0 hq=0000 sm=0 dm=0 rar=0 b4=0 ppr=0 ppa=0 q=0
