reading from file build/experiments/wire-q1-q12-proof/diagnostics/P4-HW1-TXDIAG-SUDO-20260919T042808Z/wire-5902.pcap, link-type EN10MB (Ethernet), snapshot length 262144
2026-09-19 00:29:02.592975 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6510:6526, ack 2293371747, win 65535, length 16
2026-09-19 00:29:02.594374 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6526:6534, ack 2293371747, win 65535, length 8
2026-09-19 00:29:02.594527 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371747:2293371763, ack 6534, win 63, length 16
2026-09-19 00:29:02.594557 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371763:2293371767, ack 6534, win 63, length 4
2026-09-19 00:29:02.597871 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6534:6550, ack 2293371767, win 65525, length 16
2026-09-19 00:29:02.640129 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6550:6574, ack 2293371767, win 65525, length 24
2026-09-19 00:29:02.640337 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371767:2293371783, ack 6574, win 63, length 16
2026-09-19 00:29:02.640359 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371783:2293371799, ack 6574, win 63, length 16
2026-09-19 00:29:02.640378 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371799:2293371815, ack 6574, win 63, length 16
2026-09-19 00:29:02.640394 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371815:2293371831, ack 6574, win 63, length 16
2026-09-19 00:29:02.640427 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371831:2293371847, ack 6574, win 63, length 16
2026-09-19 00:29:02.640443 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371847:2293371851, ack 6574, win 63, length 4
2026-09-19 00:29:02.643782 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6574:6590, ack 2293371851, win 65483, length 16
2026-09-19 00:29:02.688132 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6590:6594, ack 2293371851, win 65483, length 4
2026-09-19 00:29:02.688330 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371851:2293371867, ack 6594, win 63, length 16
2026-09-19 00:29:02.688353 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371867:2293371883, ack 6594, win 63, length 16
2026-09-19 00:29:02.692576 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6594:6610, ack 2293371883, win 65467, length 16
2026-09-19 00:29:02.740128 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6610:6630, ack 2293371883, win 65467, length 20
2026-09-19 00:29:02.740371 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371883:2293371899, ack 6630, win 63, length 16
2026-09-19 00:29:02.740392 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371899:2293371915, ack 6630, win 63, length 16
2026-09-19 00:29:02.740412 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371931, ack 6630, win 63, length 16
2026-09-19 00:29:02.740427 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371931:2293371947, ack 6630, win 63, length 16
2026-09-19 00:29:02.743152 IP 192.168.50.2.52432 > 192.168.50.1.5902: Flags [P.], seq 6630:6646, ack 2293371915, win 65451, length 16
2026-09-19 00:29:02.950773 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:03.370746 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:04.202750 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:05.866755 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:09.258766 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:15.914747 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
2026-09-19 00:29:29.226773 IP 192.168.50.1.5902 > 192.168.50.2.52432: Flags [P.], seq 2293371915:2293371947, ack 6646, win 63, length 32
